SUBJECT	VERB	OBJECT	typicality	sentence	computed_score	best_completions	baseline_score
house	absorb	rain	P	The house absorbed the rain .	-7.689253330230713	land_(-3.322988);estate_(-3.368979);collection_(-3.4187427);family_(-3.42446);garden_(-3.4585545);	-12.496475219726562
soil	absorb	rain	N	The soil absorbed the rain .	-4.77144718170166	water_(-2.1365516);energy_(-2.2504435);heat_(-2.5153625);moisture_(-3.3293893);gas_(-3.7676046);	-12.496475219726562
girl	attach	letter	P	The girl attached the letter .	-5.625426292419434	knot_(-3.7582116);rope_(-3.86161);string_(-4.00637);wire_(-4.2959366);cord_(-4.3125935);	-10.4738130569458
rope	attach	letter	N	The rope attached the letter .	-7.29054069519043	knot_(-3.0853338);rope_(-3.548749);hook_(-4.320436);pin_(-4.4156785);wire_(-4.5402703);	-10.4738130569458
chair	attach	note	P	The chair attached the note .	-7.679955959320068	bed_(-3.848732);body_(-4.1391234);head_(-4.147744);legs_(-4.250883);arm_(-4.304334);	-12.405129432678223
map	attach	note	N	The map attached the note .	-3.5741207599639893	note_(-3.5741208);picture_(-3.7394185);letter_(-3.8583798);card_(-4.025539);name_(-4.302722);	-12.405129432678223
girl	bake	beans	P	The girl baked the beans .	-4.6064772605896	bread_(-1.3275781);cookies_(-1.7335831);cake_(-2.0634732);cakes_(-2.6938329);eggs_(-3.4007058);	-13.249597549438477
wheel	bake	beans	N	The wheel baked the beans .	-4.29744291305542	earth_(-3.2326543);bread_(-3.2516544);cheese_(-3.5237615);dough_(-3.5275097);butter_(-3.5811043);	-13.249597549438477
baker	bake	cake	P	The baker baked the cake .	-2.9054512977600098	bread_(-0.70051336);dough_(-2.045319);cakes_(-2.2097793);cake_(-2.9054513);cookies_(-3.7451463);	-11.62639045715332
giraffe	bake	cake	N	The giraffe baked the cake .	-1.8353214263916016	cake_(-1.8353214);bread_(-2.2980413);eggs_(-2.9212303);cakes_(-3.4144335);potatoes_(-3.4299936);	-11.960060119628906
witch	bake	turkey	P	The witch baked the turkey .	-6.592200756072998	bread_(-2.0113378);cookies_(-2.106114);cake_(-2.3429646);cakes_(-3.26823);pie_(-3.375341);	-14.104968070983887
rabbit	bake	turkey	N	The rabbit baked the turkey .	-6.0538330078125	bread_(-2.3788183);eggs_(-2.9833763);potatoes_(-3.1054199);cake_(-3.1861646);egg_(-3.2339494);	-14.104968070983887
flea	bite	dog	P	The flea bit the dog .	-4.9531354904174805	air_(-3.4872684);man_(-3.550373);mouse_(-3.7743435);bullet_(-3.8008614);dust_(-3.9223144);	-11.185887336730957
spoon	bite	dog	N	The spoon bit the dog .	-8.416677474975586	bread_(-2.591783);air_(-3.0795903);food_(-3.1830049);meat_(-3.273868);spoon_(-3.3686843);	-10.874027252197266
cat	bite	turtle	P	The cat bit the turtle .	-8.680996894836426	man_(-2.9050977);air_(-3.1294134);dog_(-3.2746294);mouse_(-3.2890584);boy_(-3.922259);	-12.867902755737305
pebbles	bite	turtle	N	The pebbles bit the turtle .	-10.981419563293457	ground_(-2.0695567);sand_(-2.8658204);water_(-3.0343614);dirt_(-3.1323886);air_(-3.2652173);	-12.482447624206543
man	breed	cat	P	The man bred the cat .	-6.39804744720459	beast_(-1.887426);beasts_(-3.1162345);best_(-3.381255);animals_(-3.4090629);monsters_(-3.8506162);	-8.74451732635498
fish	breed	cat	N	The fish bred the cat .	-6.598359107971191	best_(-2.0795276);same_(-2.5531254);most_(-3.4656737);fastest_(-3.7829053);disease_(-3.973885);	-8.74451732635498
student	breed	cow	P	The student bred the cow .	-4.939779281616211	beast_(-2.8124902);animal_(-3.0248163);bird_(-3.4997785);horse_(-3.582318);child_(-3.6415594);	-13.216819763183594
horse	breed	cow	N	The horse bred the cow .	-8.216721534729004	best_(-1.8835983);following_(-2.9964275);fastest_(-3.5525746);colt_(-3.5596285);winner_(-3.9836302);	-13.216819763183594
chef	breed	dog	P	The chef bred the dog .	-3.8511269092559814	beast_(-2.5424922);animals_(-3.6692688);fish_(-3.7062018);horse_(-3.7670195);chicken_(-3.7768652);	-10.874027252197266
turtle	breed	dog	N	The turtle bred the dog .	-5.718536853790283	offspring_(-3.34685);turtle_(-3.4593625);birds_(-3.5679212);eggs_(-3.639708);children_(-3.758719);	-10.874027252197266
dentist	breed	gorilla	P	The dentist bred the gorilla .			
elephant	breed	gorilla	N	The elephant bred the gorilla .			
