SUBJECT	VERB	OBJECT	INSTRUMENT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
gardener	cut	grass	mower	T	6.65	0.65	The gardener cut the grass with the mower .			
waiter	deliver	drink	tray	T	6.8	0.4	The waiter delivered the drink with the tray .	0.005432342179119587	bill_(0.049798682);receipt_(0.029538529);straw_(0.029107766);note_(0.028503096);bottle_(0.025608752);	3.852390477732115e-07
mechanic	assemble	bicycle	wrench	T	4.9	2.49	The mechanic assembled the bicycle with the wrench .	0.002442179946228862	following_(0.1755733);pedals_(0.06152444);parts_(0.029139686);brakes_(0.01910743);engine_(0.017651608);	4.373697493065265e-07
carver	build	sculpture	chisel	T	5.85	1.98	The carver built the sculpture with the chisel .			
mechanic	check	tire	compressor	T	6.35	0.79	The mechanic checked the tire with the compressor .	0.0024211304262280464	spare_(0.39969996);pump_(0.018698066);gauge_(0.015182123);machine_(0.014945948);regulator_(0.013592149);	2.857757976926223e-07
housemaid	clean	window	cloth	T	6.7	0.56	The housemaid cleaned the window with the cloth .	0.1761852353811264	cloth_(0.17618524);broom_(0.17569596);rag_(0.11021606);sponge_(0.08621505);brush_(0.04726755);	7.712067429110903e-08
hairstylist	flip	hair	hairbrush	T	6.65	0.73	The hairstylist flipped the hair with the hairbrush .			
policeman	capture	thief	gun	T	5.95	1.02	The policeman captured the thief with the gun .	0.0874936655163765	knife_(0.11257274);gun_(0.087493666);weapon_(0.064135656);camera_(0.04610504);car_(0.022661157);	3.078245072174468e-06
painter	paint	picture	brush	T	5.95	2.01	The painter painted the picture with the brush .	0.11085861921310425	brush_(0.11085862);pencil_(0.02867467);following_(0.026292589);ink_(0.024152298);pen_(0.01980985);	5.810055085930799e-07
archer	release	arrow	bow	T	6.35	1.8	The archer released the arrow with the bow .	0.2854415476322174	bow_(0.28544155);arrow_(0.09374628);trigger_(0.07478925);shot_(0.020668482);hammer_(0.020181691);	1.1039487191055741e-07
