SUBJECT	VERB	OBJECT	RECIPIENT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
volunteer	bring	food	refugee	T	5.5	1.53	The volunteer brought the food to the refugee .	9.121883522311691e-06	house_(0.14125678);table_(0.07680467);shelter_(0.03740124);kitchen_(0.033445366);family_(0.028367555);	4.376266952021979e-05
spy	pass	information	government	T	6.1	0.77	The spy passed the information to the government .	0.009181509725749493	king_(0.055984236);police_(0.047340248);president_(0.031545207);King_(0.019624108);authorities_(0.017375058);	3.5549459425965324e-05
dealer	sell	car	manager	T	4.55	1.63	The dealer sold the car to the manager .	0.0009896238334476948	government_(0.06600806);owner_(0.045979694);police_(0.041914966);buyer_(0.03793873);bank_(0.0261841);	7.23326375009492e-05
parent	give	present	child	T	6.7	0.46	The parent gave the present to the child .	0.842312753200531	child_(0.84231275);student_(0.01592036);baby_(0.014018805);infant_(0.012336866);parent_(0.011933616);	8.546561730327085e-05
child	tell	lie	parent	T	6.0	0.84	The child told the lie to the parent .	0.0032633072696626186	child_(0.14694782);man_(0.04394813);woman_(0.042298656);mother_(0.039395336);boy_(0.027895784);	1.6900072296266444e-05
child	lend	pen	deskmate	T	5.45	1.66	The child lent the pen to the deskmate .			
usurer	lend	money	gambler	T	4.75	1.92	The usurer lent the money to the gambler .			
scientist	report	finding	community	T	5.8	1.29	The scientist reported the finding to the community .	0.0012163815554231405	police_(0.11839924);authorities_(0.1062371);government_(0.07301806);court_(0.051278632);media_(0.039091915);	8.40198335936293e-05
vandal	spray	paint	statue	T	6.05	0.86	The vandal sprayed the paint to the statue .	0.0004766352940350771	ground_(0.243108);floor_(0.14391068);sidewalk_(0.060702335);ceiling_(0.05613652);wall_(0.056027144);	5.845347186550498e-05
priest	teach	bible	believer	T	6.6	0.58	The priest taught the bible to the believer .			
policeman	put	criminal	jail	T	6.15	1.28	The policeman put the criminal to the jail .	0.030841106548905373	ground_(0.32467872);hospital_(0.059572987);bed_(0.036381453);jail_(0.030841107);death_(0.030712519);	4.103139417566126e-06
waiter	bring	glass	customer	T	6.6	0.49	The waiter brought the glass to the customer .	0.0001809012028388679	table_(0.869391);bar_(0.010387886);tray_(0.0053911335);desk_(0.0044121915);bedside_(0.0041130967);	0.00020732395933009684
president	give	speech	journalist	T	5.45	1.2	The president gave the speech to the journalist .	5.306809543981217e-05	crowd_(0.20419265);nation_(0.16335537);audience_(0.07150399);people_(0.07126579);troops_(0.03625637);	8.756783063290641e-05
salesperson	send	questionnaire	customer	T	5.45	1.28	The salesperson sent the questionnaire to the customer .	0.02480868250131607	police_(0.119312435);office_(0.03435307);manager_(0.029820684);customer_(0.024808683);bank_(0.021580359);	0.00012822271673940122
employer	offer	job	unemployed	T	6.55	0.59	The employer offered the job to the unemployed .	0.005394561681896448	student_(0.1578532);students_(0.058129404);child_(0.057168297);girl_(0.04463329);children_(0.04239293);	2.6575087304081535e-06
employee	pass	report	boss	T	6.7	0.46	The employee passed the report to the boss .	0.03714399412274361	manager_(0.08742623);supervisor_(0.06426322);secretary_(0.041060932);clerk_(0.037679017);boss_(0.037143994);	1.0968884680551128e-06
teacher	lend	book	student	T	5.95	1.47	The teacher lent the book to the student .	0.21598052978515625	student_(0.21598053);students_(0.08553204);child_(0.08418102);children_(0.044504307);boy_(0.04204724);	0.00024950061924755573
pusher	sell	drug	addict	T	4.65	2.61	The pusher sold the drug to the addict .			
priest	promise	salvation	believer	T	5.9	1.76	The priest promised the salvation to the believer .			
hostess	explain	procedure	passenger	T	3.65	2.39	The hostess explained the procedure to the passenger .	0.0016022627241909504	guests_(0.19191658);men_(0.049004972);waiter_(0.033232126);group_(0.03159904);audience_(0.030357998);	0.00013134411710780114
child	throw	ball	friend	T	6.35	0.79	The child threw the ball to the friend .	0.00018986500799655914	ball_(0.12546864);ground_(0.0754746);field_(0.025943799);pitcher_(0.019292254);coach_(0.017723696);	8.289688412332907e-05
librarian	put	book	shelf	T	6.6	0.49	The librarian put the book to the shelf .	0.03910446912050247	side_(0.5673555);table_(0.07589482);floor_(0.041503843);desk_(0.039352395);shelf_(0.03910447);	6.716248321936291e-07
reporter	bring	news	editor	T	6.1	1.26	The reporter brought the news to the editor .	0.0004948161658830941	table_(0.118339);room_(0.095034115);station_(0.037732445);office_(0.03306857);house_(0.03074201);	7.93652652646415e-05
collector	donate	painting	museum	T	5.5	1.2	The collector donated the painting to the museum .	0.6455662250518799	museum_(0.6455662);Museum_(0.046349607);school_(0.027218338);church_(0.020643465);university_(0.018192133);	4.128263299207902e-06
porter	load	luggage	van	T	4.65	2.2	The porter loaded the luggage to the van .	0.036682698875665665	car_(0.17690843);plane_(0.047794323);carriage_(0.039209288);door_(0.03808327);van_(0.0366827);	0.0011419423390179873
mechanic	rent	truck	dealer	T	4.5	1.86	The mechanic rented the truck to the dealer .	0.007447731681168079	family_(0.08154439);owner_(0.06567346);bank_(0.017905632);police_(0.016084246);landlord_(0.0150443725);	2.236651880593854e-06
programmer	load	file	server	T	6.3	0.71	The programmer loaded the file to the server .	0.07402198761701584	system_(0.13937551);computer_(0.085687034);machine_(0.084265634);server_(0.07402199);disk_(0.06978316);	1.7134283552877605e-05
traveller	hand	bag	policeman	T	2.75	1.48	The traveller handed the bag to the policeman .	0.010194391012191772	man_(0.11804894);boy_(0.05985414);driver_(0.048147433);woman_(0.044233244);guard_(0.043840155);	2.5163492409774335e-06
sergeant	assign	mission	soldier	T	6.1	1.37	The sergeant assigned the mission to the soldier .	0.01989983767271042	sergeant_(0.0584973);lieutenant_(0.04335524);pilot_(0.04289241);officer_(0.034532078);captain_(0.025201328);	7.847927918191999e-05
diplomat	carry	message	ally	T	5.6	1.36	The diplomat carried the message to the ally .	8.367111149709672e-06	king_(0.07740993);Emperor_(0.06224798);emperor_(0.05047576);president_(0.03300207);King_(0.029707855);	3.3537558920215815e-05
witness	report	crime	policeman	T	6.4	1.16	The witness reported the crime to the policeman .	0.002439669333398342	police_(0.8206479);authorities_(0.06757444);sheriff_(0.017211404);magistrate_(0.009564134);court_(0.008964106);	2.46469198827981e-06
student	send	email	professor	T	6.25	0.89	The student sent the email to the professor .	0.017355889081954956	school_(0.12921816);police_(0.08719765);university_(0.039825555);teacher_(0.0341013);editor_(0.028002212);	9.940513336914591e-06
sculptor	teach	art	pupil	T	5.55	1.36	The sculptor taught the art to the pupil .	0.0004099068755749613	children_(0.47121495);students_(0.06260753);boys_(0.05118955);child_(0.031846575);boy_(0.024974573);	1.126989536714973e-05
demonstrator	throw	stone	policeman	T	4.7	1.68	The demonstrator threw the stone to the policeman .	7.536393241025507e-05	ground_(0.7922289);floor_(0.074982226);crowd_(0.009823613);street_(0.009760811);side_(0.009677309);	1.970813173102215e-06
nurse	hand	lancet	surgeon	T	6.0	1.3	The nurse handed the lancet to the surgeon .	0.01676633022725582	doctor_(0.5320375);boy_(0.05107124);patient_(0.03929051);nurse_(0.039041184);man_(0.026323842);	2.5996127078542486e-05
doctor	offer	support	patient	T	6.65	0.79	The doctor offered the support to the patient .	0.046389225870370865	boy_(0.058416534);patient_(0.046389226);child_(0.044653628);girl_(0.04246976);man_(0.0382387);	4.0771032217890024e-05
investor	rent	land	farmer	T	4.3	2.0	The investor rented the land to the farmer .	0.005086991935968399	city_(0.084547795);town_(0.063422486);school_(0.046956442);church_(0.045113277);government_(0.036947116);	7.211639604065567e-05
beautician	spread	cream	face	T	6.15	1.49	The beautician spread the cream to the face .	0.02307737246155739	skin_(0.057665627);floor_(0.057461195);baby_(0.05625899);table_(0.051489215);body_(0.028226735);	0.0003941832692362368
professor	donate	book	student	T	6.0	1.05	The professor donated the book to the student .	0.00011370649735908955	library_(0.45665953);museum_(0.09780194);school_(0.06864944);university_(0.062288884);Library_(0.03525984);	0.00024950061924755573
jeweller	put	necklace	safe	T	6.15	1.46	The jeweller put the necklace to the safe .	0.0003126291558146477	light_(0.10866942);table_(0.10158493);side_(0.07389742);fire_(0.04709258);floor_(0.041573446);	4.201988849672489e-05
hairstylist	spray	foam	hair	T	5.85	1.11	The hairstylist sprayed the foam to the hair .	0.05482424050569534	floor_(0.23885871);hair_(0.05482424);ground_(0.040315945);table_(0.032615297);ceiling_(0.0301415);	0.00018037701374851167
patient	report	symptom	doctor	T	6.65	0.48	The patient reported the symptom to the doctor .	0.3012252151966095	doctor_(0.30122522);physician_(0.17152528);police_(0.09537228);hospital_(0.05435398);nurse_(0.048372533);	3.676653250295203e-06
witness	explain	circumstances	policeman	T	6.3	1.49	The witness explained the circumstances to the policeman .	0.002261368092149496	court_(0.2787516);jury_(0.27489465);police_(0.11346436);judge_(0.06042298);officer_(0.013802686);	2.46469198827981e-06
mechanic	spread	coating	car	T	5.3	1.38	The mechanic spread the coating to the car .	0.004750244319438934	floor_(0.0990486);ground_(0.05298227);surface_(0.03834352);table_(0.023148293);sides_(0.0203807);	0.00027931685326620936
crew	load	container	ship	T	6.0	1.64	The crew loaded the container to the ship .	0.09086740761995316	ship_(0.09086741);dock_(0.07906956);deck_(0.060037468);truck_(0.05120381);surface_(0.039449606);	1.2960898857272696e-05
boss	promise	promotion	employee	T	6.15	0.57	The boss promised the promotion to the employee .	0.0002699214091990143	top_(0.060133487);boss_(0.048663273);club_(0.034612056);team_(0.032104455);captain_(0.024003211);	1.6759873687988147e-05
scientist	report	finding	journalist	T	5.55	1.32	The scientist reported the finding to the journalist .	0.0005739752668887377	police_(0.11839924);authorities_(0.1062371);government_(0.07301806);court_(0.051278632);media_(0.039091915);	8.756783063290641e-05
soldier	throw	bomb	enemy	T	6.35	0.85	The soldier threw the bomb to the enemy .	0.0004091476439498365	ground_(0.7960209);floor_(0.0950531);side_(0.012734967);street_(0.005828247);crowd_(0.0032360042);	6.552691502292873e-06
waiter	pour	wine	glass	T	6.1	1.51	The waiter poured the wine to the glass .	0.023270389065146446	table_(0.6021785);side_(0.055588428);glass_(0.023270389);sides_(0.022718394);plate_(0.01822849);	1.928272467921488e-06
grandfather	tell	story	grandchild	T	6.85	0.36	The grandfather told the story to the grandchild .			
professor	teach	language	refugee	T	3.45	1.63	The professor taught the language to the refugee .	2.981871693918947e-05	children_(0.45243973);students_(0.20623215);boys_(0.03265859);girls_(0.028149355);child_(0.02466406);	4.376266952021979e-05
journalist	carry	article	editor	T	5.9	1.61	The journalist carried the article to the editor .	0.032294612377882004	press_(0.063667014);court_(0.049967855);police_(0.04094446);station_(0.03686177);editor_(0.032294612);	7.93652652646415e-05
