SUBJECT	VERB	OBJECT	TIME	typicality	LM	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
cyclist	complete	race	tour	T	during	5.35	2.01	The cyclist completed the race during the tour .	0.0014311776030808687	rain_(0.07107752);night_(0.06427789);heat_(0.06262288);day_(0.05729001);afternoon_(0.04404457);	1.142293399425398e-06
spectator	enjoy	game	championship	T	during	5.9	1.73	The spectator enjoyed the game during the championship .	0.0006912917015142739	match_(0.2776429);break_(0.13599437);interval_(0.103327334);game_(0.054864384);final_(0.03143693);	4.3064483179477975e-07
refugee	find	shelter	bombing	T	during	5.15	2.2	The refugee found the shelter during the bombing .	0.0021989690139889717	night_(0.50130683);storm_(0.07831348);rain_(0.0604177);day_(0.045202285);winter_(0.018166235);	4.45214391220361e-06
demonstrator	carry	flag	demonstration	T	during	5.95	1.28	The demonstrator carried the flag during the demonstration .	0.04123281314969063	march_(0.381813);protest_(0.27010122);rally_(0.063215956);demonstration_(0.041232813);protests_(0.026612258);	1.2202310273323747e-08
soldier	check	rifle	drill	T	during	5.6	1.83	The soldier checked the rifle during the drill .	0.0013947858242318034	search_(0.28319654);incident_(0.055938985);raid_(0.051166907);arrest_(0.04941346);interview_(0.047316425);	6.730276140842761e-07
roofer	climb	ladder	repair	T	during	6.3	1.19	The roofer climbed the ladder during the repair .	0.001829298329539597	storm_(0.22659178);incident_(0.13672109);fire_(0.042054284);collapse_(0.030287098);night_(0.029005846);	1.8564196579973213e-07
child	climb	tree	game	T	during	5.35	1.62	The child climbed the tree during the game .	0.015528530813753605	incident_(0.14721486);storm_(0.053619355);search_(0.026125707);fire_(0.022176744);investigation_(0.021728983);	5.547994987864513e-06
hound	fetch	bird	hunting	T	during	5.7	1.76	The hound fetched the bird during the hunting .	0.0012205835664644837	hunt_(0.29297292);search_(0.1099896);chase_(0.06581573);raid_(0.01863712);flight_(0.017750185);	5.127937583893072e-06
scoutmaster	assemble	tent	excursion	T	during	6.2	1.54	The scoutmaster assembled the tent during the excursion .			
president	deliver	speech	election	T	after	6.2	1.81	The president delivered the speech after the election .	0.03020339645445347	shooting_(0.09095906);meeting_(0.067274);inauguration_(0.0551743);ceremony_(0.048895705);vote_(0.041691937);	3.560527943591296e-07
waiter	deliver	drink	party	T	during	6.15	1.65	The waiter delivered the drink during the party .	0.02509859949350357	interview_(0.07671014);incident_(0.057915337);ceremony_(0.05040244);meeting_(0.04221479);game_(0.034522988);	1.4614782912758528e-06
policeman	capture	thief	chase	T	during	6.1	0.94	The policeman captured the thief during the chase .	0.36619406938552856	chase_(0.36619407);operation_(0.11177324);search_(0.101210475);raid_(0.058403883);investigation_(0.04914293);	1.0949306670227088e-06
mother	hang	laundry	morning	T	during	5.55	1.36	The mother hung the laundry during the morning .	0.00401292834430933	storm_(0.113501705);summer_(0.07279018);day_(0.069725536);fire_(0.028108971);winter_(0.023582792);	5.111364316690015e-06
bodybuilder	lift	weight	workout	T	during	6.55	1.32	The bodybuilder lifted the weight during the workout .	0.1643700748682022	workout_(0.16437007);competition_(0.07738922);show_(0.057243314);event_(0.042476054);interview_(0.041633844);	9.151008839580754e-08
player	enjoy	game	tournament	T	during	6.35	0.79	The player enjoyed the game during the tournament .	0.015263069421052933	demo_(0.10595519);session_(0.06750663);tutorial_(0.056161933);game_(0.049402285);campaign_(0.0322858);	2.7394250992074376e-06
child	cut	paper	lesson	T	during	3.8	2.44	The child cut the paper during the lesson .	0.06689678877592087	experiment_(0.08810844);lesson_(0.06689679);demonstration_(0.061166815);drawing_(0.057080112);test_(0.056799915);	3.303632354345609e-07
veterinarian	examine	dog	surgery	T	before	6.4	1.2	The veterinarian examined the dog before the surgery .	0.01849370077252388	shooting_(0.097168796);incident_(0.059325855);accident_(0.04745955);attack_(0.043312423);autopsy_(0.04251278);	9.816805004447815e-07
surfer	flip	board	summer	T	during	6.25	1.18	The surfer flipped the board during the summer .	0.0006195043097250164	contest_(0.15748084);competition_(0.10214261);race_(0.059310768);break_(0.053585675);session_(0.04605193);	1.4853277434667689e-06
footballer	deliver	kick	match	T	during	6.5	1.36	The footballer delivered the kick during the match .	0.387351930141449	match_(0.38735193);game_(0.302397);final_(0.02028207);celebration_(0.016773427);celebrations_(0.012925751);	1.7938820747076534e-05
coach	check	team	match	T	before	6.2	0.87	The coach checked the team before the match .	0.508173942565918	match_(0.50817394);game_(0.4063775);session_(0.0037288554);start_(0.003537487);games_(0.0034320785);	1.7938820747076534e-05
mother	decorate	house	christmas	T	before	6.3	1.05	The mother decorated the house before the christmas .			
soldier	carry	rifle	march	T	during	6.0	1.34	The soldier carried the rifle during the march .	0.01576882041990757	attack_(0.121421);incident_(0.08743391);operation_(0.063074626);raid_(0.044593718);assault_(0.03812499);	2.3414656880049733e-06
programmer	describe	software	meeting	T	during	5.9	1.3	The programmer described the software during the meeting .	0.03152363374829292	interview_(0.41085428);presentation_(0.08257542);conference_(0.053601008);demo_(0.03192821);meeting_(0.031523634);	2.593894168967381e-05
mason	fix	roof	hurricane	T	after	5.4	1.74	The mason fixed the roof after the hurricane .	0.02406151406466961	fire_(0.34025776);storm_(0.10759298);earthquake_(0.08690539);flood_(0.037955582);collapse_(0.03763637);	2.407035282203651e-08
climber	face	wall	training	T	during	6.15	1.42	The climber faced the wall during the training .	0.0026353243738412857	climb_(0.30171674);ascent_(0.20583066);fall_(0.11573658);descent_(0.099769644);attempt_(0.017542804);	9.388487001160684e-07
student	complete	project	exam	T	before	5.6	1.28	The student completed the project before the exam .	0.03734225779771805	deadline_(0.14690764);test_(0.062621735);incident_(0.048222087);exam_(0.037342258);fire_(0.023219883);	1.8986223437877925e-07
athlete	celebrate	victory	competition	T	after	6.8	0.4	The athlete celebrated the victory after the competition .	0.01900313049554825	game_(0.31705642);match_(0.22009325);race_(0.0830702);event_(0.038183205);win_(0.031344853);	2.0858581137872534e-06
guest	hang	coat	party	T	during	5.8	1.25	The guest hung the coat during the party .	0.07535933703184128	ceremony_(0.07782539);party_(0.07535934);event_(0.052344456);interview_(0.051205486);service_(0.041611824);	1.4614782912758528e-06
professor	deliver	lecture	conference	T	during	5.7	1.65	The professor delivered the lecture during the conference .	0.06540336459875107	session_(0.15217705);event_(0.091116555);conference_(0.065403365);meeting_(0.046653144);seminar_(0.04529788);	2.9443942821671953e-06
priest	celebrate	marriage	mass	T	during	4.85	1.98	The priest celebrated the marriage during the mass .	0.0512838177382946	service_(0.13566801);Mass_(0.13254751);ceremony_(0.11896085);mass_(0.051283818);baptism_(0.041891616);	1.4476018804998603e-05
player	gather	balls	training	T	after	5.75	1.18	The player gathered the balls after the training .	0.0005980617133900523	match_(0.5116652);game_(0.33762935);incident_(0.0074482285);final_(0.006476566);goal_(0.0062305676);	2.5497165552224033e-06
