SUBJECT	VERB	OBJECT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
woman	paint	toenail	T	6.1	1.51	The woman painted the toenail .	0.02088884823024273	artist_(0.3299531);dentist_(0.038104326);girl_(0.03700418);doctor_(0.02560693);boy_(0.02271532);	3.6578385333996266e-06
reporter	hold	camera	T	4.5	1.57	The reporter held the camera .	0.021241098642349243	man_(0.1147972);woman_(0.11143602);photographer_(0.049096815);girl_(0.03634702);reporter_(0.021241099);	1.0184139398461411e-07
programmer	use	computer	T	7.0	0.0	The programmer used the computer .	0.003930496983230114	students_(0.02829877);author_(0.027260585);student_(0.025256006);user_(0.021011256);man_(0.019968098);	1.0760000890286392e-07
mason	mix	cement	T	6.65	0.65	The mason mixed the cement .			
lumberjack	use	saw	T	6.15	1.77	The lumberjack used the saw .			
firefighter	fight	fire	T	7.0	0.0	The firefighter fought the fire .	0.001285536214709282	man_(0.032930054);children_(0.028297095);boy_(0.022783022);cat_(0.019275092);boys_(0.018888151);	8.155885211635905e-08
policeman	capture	thief	T	6.8	0.51	The policeman captured the thief .	0.0032652923837304115	police_(0.7047868);cops_(0.03904186);authorities_(0.029390069);Police_(0.027887806);FBI_(0.0120885605);	5.850245088367956e-08
knight	hold	sword	T	6.5	0.92	The knight held the sword .	0.02426079288125038	man_(0.079355314);woman_(0.054651275);girl_(0.047689147);boy_(0.035499778);knight_(0.024260793);	5.617464466922684e-07
deejay	mix	music	T	6.65	1.11	The deejay mixed the music .			
librarian	climb	ladder	T	5.1	1.67	The librarian climbed the ladder .			
photographer	use	camera	T	6.65	1.31	The photographer used the camera .	0.019414417445659637	author_(0.035420015);man_(0.030010507);FBI_(0.020646289);students_(0.020199355);photographer_(0.019414417);	3.041116514168607e-08
politician	sign	agreement	T	6.35	0.73	The politician signed the agreement .	0.00014196739357430488	parties_(0.24225071);two_(0.0304607);players_(0.02380095);president_(0.02132291);government_(0.019812612);	1.7826735643211578e-07
