SUBJECT	VERB	OBJECT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
woman	paint	toenail	T	6.1	1.51	The woman painted the toenail .			
reporter	hold	camera	T	4.5	1.57	The reporter held the camera .	0.07476595789194107	camera_(0.07476596);phone_(0.066461064);microphone_(0.05930679);gun_(0.05253714);flashlight_(0.016424982);	2.7938167477259412e-06
programmer	use	computer	T	7.0	0.0	The programmer used the computer .	0.017407985404133797	keyboard_(0.01849654);computer_(0.017407985);software_(0.0154742515);latter_(0.013583857);code_(0.013006274);	1.2714430113192066e-06
mason	mix	cement	T	6.65	0.65	The mason mixed the cement .	0.00022349004575517029	ingredients_(0.106870145);drinks_(0.042934958);parts_(0.031417068);two_(0.02938873);herbs_(0.02744545);	1.1804238475576767e-08
bodybuilder	lift	weight	T	6.45	1.66	The bodybuilder lifted the weight .	0.0019496445311233401	lid_(0.04469553);gun_(0.034227315);bag_(0.033299647);body_(0.028970575);bottle_(0.021149995);	2.4753582295033993e-08
lumberjack	use	saw	T	6.15	1.77	The lumberjack used the saw .	0.00014246704813558608	knife_(0.03055505);gun_(0.019860227);money_(0.018953037);same_(0.017631426);word_(0.014813487);	8.839859219733626e-06
tailor	sew	dress	T	6.55	0.59	The tailor sewed the dress .	0.05499713495373726	dress_(0.054997135);garment_(0.036076292);fabric_(0.032020923);curtains_(0.023142373);apron_(0.022012128);	3.706024074290326e-07
skier	gain	speed	T	6.75	0.43	The skier gained the speed .	0.0021848806645721197	advantage_(0.11350719);victory_(0.079376854);points_(0.046754297);lead_(0.039210353);point_(0.038201798);	9.294121241509856e-07
jockey	ride	horse	T	6.2	1.47	The jockey rode the horse .	0.17712950706481934	horse_(0.1771295);bull_(0.081495695);winner_(0.034493662);machine_(0.030222993);dog_(0.020563956);	4.3178258124498825e-07
fighter	kick	opponent	T	5.55	1.77	The fighter kicked the opponent .	0.00018390540208201855	ground_(0.07221127);door_(0.057464335);floor_(0.033235576);wall_(0.032224856);table_(0.019567575);	1.4727983170814696e-06
singer	perform	music	T	6.7	0.56	The singer performed the music .	0.0009758428204804659	song_(0.78280354);track_(0.047453653);vocals_(0.0125435805);chorus_(0.009930059);single_(0.009063928);	1.1710781109286472e-06
firefighter	fight	fire	T	7.0	0.0	The firefighter fought the fire .	0.14690768718719482	fire_(0.14690769);blaze_(0.054122873);flames_(0.053469777);attack_(0.03584851);charge_(0.019714715);	2.1711921363021247e-06
policeman	capture	thief	T	6.8	0.51	The policeman captured the thief .	0.003956477623432875	girl_(0.04317452);man_(0.03617788);boy_(0.0334771);gun_(0.024499882);woman_(0.021628607);	2.056566700048279e-06
farmer	plow	field	T	6.8	0.51	The farmer plowed the field .	0.0971299260854721	land_(0.12311568);field_(0.097129926);fields_(0.088829935);ground_(0.04430875);lawn_(0.03535922);	6.61728662976202e-08
thief	grab	money	T	5.0	2.21	The thief grabbed the money .	0.01009365078061819	knife_(0.07434873);gun_(0.034476593);keys_(0.03425122);key_(0.033760328);bag_(0.01959386);	4.016383627458708e-06
knight	hold	sword	T	6.5	0.92	The knight held the sword .	0.15551382303237915	sword_(0.15551382);knife_(0.06722901);dagger_(0.040204164);gun_(0.02820909);bow_(0.020683883);	7.482918107371006e-08
sailor	tie	rope	T	6.25	0.7	The sailor tied the rope .	0.1674433797597885	rope_(0.16744338);knot_(0.16476646);boat_(0.07925117);ropes_(0.030767387);string_(0.02312556);	2.686321067812969e-06
deejay	mix	music	T	6.65	1.11	The deejay mixed the music .	0.01526899915188551	drinks_(0.28336895);drink_(0.049334362);dishes_(0.029192146);two_(0.020525357);food_(0.019139566);	1.7156954754682374e-06
athlete	start	match	T	4.15	2.37	The athlete started the match .	0.01434684731066227	race_(0.3594547);competition_(0.12920207);final_(0.12041039);event_(0.091997884);marathon_(0.042154744);	2.5875287974486127e-05
librarian	climb	ladder	T	5.1	1.67	The librarian climbed the ladder .	0.060566630214452744	stairs_(0.550469);steps_(0.3109041);ladder_(0.06056663);staircase_(0.03043281);hill_(0.004622117);	3.87340577390205e-07
photographer	use	camera	T	6.65	1.31	The photographer used the camera .	0.03116118535399437	camera_(0.031161185);latter_(0.017735258);name_(0.017189233);photograph_(0.016644478);pseudonym_(0.0123903705);	2.7938167477259412e-06
politician	sign	agreement	T	6.35	0.73	The politician signed the agreement .	0.01675681583583355	petition_(0.11319219);statement_(0.07635222);letter_(0.05361966);bill_(0.050979495);document_(0.044593863);	3.487207322905306e-07
magician	read	hand	T	4.4	2.08	The magician read the hand .	0.001425189315341413	note_(0.09562814);message_(0.06837319);words_(0.061787058);letter_(0.060826175);card_(0.04959046);	7.980907867022324e-06
doctor	use	stethoscope	T	5.85	1.68	The doctor used the stethoscope .			
champion	hold	cup	T	6.4	0.86	The champion held the cup .	0.010019509121775627	title_(0.504012);championship_(0.28083166);trophy_(0.044758786);cup_(0.010019509);belt_(0.0071981945);	3.205308374276683e-08
bartender	shake	drink	T	6.25	1.37	The bartender shook the drink .	0.02242630161345005	bottle_(0.5737835);glass_(0.07092382);cup_(0.033593543);bartender_(0.025818571);drink_(0.022426302);	3.7810036701557692e-06
dealer	check	car	T	5.9	0.94	The dealer checked the car .	0.0034406622871756554	screen_(0.028559547);card_(0.025545763);ID_(0.022635486);list_(0.018919168);time_(0.01298581);	1.909465754579287e-05
botanist	examine	plant	T	6.55	1.16	The botanist examined the plant .	0.04959047585725784	plant_(0.049590476);specimen_(0.0438029);tree_(0.03668703);plants_(0.030368421);specimens_(0.025291456);	5.466833681566641e-05
porter	stack	suitcase	T	5.5	2.27	The porter stacked the suitcase .	0.0006484262412413955	bags_(0.18625338);boxes_(0.17461713);sacks_(0.029320203);plates_(0.024235386);packages_(0.01870199);	5.092275401352708e-08
carpenter	flip	board	T	6.35	0.91	The carpenter flipped the board .	0.0009455231484025717	switch_(0.54323375);switches_(0.036775984);lever_(0.031104965);key_(0.029944435);page_(0.02675178);	9.545694013013417e-08
climber	climb	rock	T	6.8	0.4	The climber climbed the rock .	0.005042927339673042	stairs_(0.22296332);ladder_(0.21749513);steps_(0.17301059);hill_(0.06339122);wall_(0.034343746);	3.4256818253197707e-06
electrician	check	device	T	5.35	1.77	The electrician checked the device .	0.010701482184231281	screen_(0.03582345);wires_(0.034769624);time_(0.02666388);gauge_(0.024780361);controls_(0.0197561);	8.442621037829667e-07
skipper	assemble	sailboat	T	3.8	1.83	The skipper assembled the sailboat .			
baker	sell	bread	T	6.45	1.16	The baker sold the bread .	0.04160343110561371	bread_(0.04160343);fish_(0.028159982);goods_(0.027005726);recipe_(0.023090832);food_(0.020079961);	1.4510720802718424e-07
driver	hear	horn	T	5.75	1.79	The driver heard the horn .	0.007007618434727192	noise_(0.08408188);sound_(0.05406471);gunshot_(0.03380516);alarm_(0.025268793);click_(0.023019392);	1.1258774357258972e-08
sculptor	carve	stone	T	5.55	1.66	The sculptor carved the stone .	0.031606484204530716	statue_(0.043838218);stone_(0.031606484);altar_(0.029308485);monument_(0.024715997);image_(0.021230137);	1.2382456588966306e-06
pilot	begin	race	T	4.8	2.23	The pilot began the race .	0.0015632766298949718	descent_(0.26281548);engine_(0.09424749);takeoff_(0.058714528);procedure_(0.044665102);climb_(0.024030874);	1.1909704333845639e-08
journalist	write	article	T	6.85	0.36	The journalist wrote the article .	0.04089583083987236	story_(0.13193697);letter_(0.09043653);report_(0.046218704);article_(0.04089583);book_(0.034075245);	3.997110070486087e-06
mother	hold	child	T	6.9	0.3	The mother held the child .	0.1223747506737709	baby_(0.2728812);child_(0.12237475);boy_(0.0368397);children_(0.02766322);knife_(0.018557299);	7.239470141939819e-05
customer	read	menu	T	5.45	2.29	The customer read the menu .	0.05726979300379753	note_(0.080868945);letter_(0.06824521);card_(0.06529285);paper_(0.06389766);menu_(0.057269793);	1.6354945842067536e-08
goalkeeper	throw	ball	T	6.15	1.24	The goalkeeper threw the ball .	0.7840317487716675	ball_(0.78403175);shot_(0.03497745);pitch_(0.010919576);penalty_(0.010053006);goal_(0.009287966);	3.340313980970677e-07
philologist	examine	book	T	6.2	1.25	The philologist examined the book .	0.03024376928806305	manuscript_(0.04952224);book_(0.03024377);manuscripts_(0.022167305);inscription_(0.021444941);document_(0.017800866);	1.8744070985121652e-05
confectioner	decorate	cake	T	6.05	1.36	The confectioner decorated the cake .	0.01726599596440792	room_(0.06041605);house_(0.057714913);interior_(0.03221802);table_(0.024953444);walls_(0.023208247);	4.0514689203519083e-07
sweeper	clean	street	T	6.5	0.92	The sweeper cleaned the street .	0.0024294364266097546	floor_(0.12883736);room_(0.06551908);area_(0.03073592);table_(0.030303502);house_(0.027678411);	3.854390342894476e-06
cobbler	sew	shoe	T	6.6	0.49	The cobbler sewed the shoe .	0.001960186520591378	cloth_(0.027005611);fabric_(0.018355437);knife_(0.0122065125);bag_(0.0119958455);paper_(0.010609187);	9.062063988096725e-09
surfer	catch	wave	T	7.0	0.0	The surfer caught the wave .	0.005586046725511551	light_(0.030658133);wind_(0.030657344);eye_(0.025035352);drift_(0.02408072);thought_(0.019885123);	1.3115028423271724e-06
guard	tie	prisoner	T	4.8	2.29	The guard tied the prisoner .	0.0015359349781647325	rope_(0.17797782);knot_(0.12166341);ropes_(0.063514136);cord_(0.045225836);knots_(0.018919865);	2.572616430995822e-08
demonstrator	sign	petition	T	5.25	1.97	The demonstrator signed the petition .	0.019167374819517136	contract_(0.10408502);agreement_(0.07689122);papers_(0.06739572);statement_(0.064329624);document_(0.0393235);	1.3539999343947784e-08
businessman	read	report	T	6.45	0.67	The businessman read the report .	0.01853296533226967	note_(0.12679558);letter_(0.07209954);paper_(0.06546176);message_(0.06247728);card_(0.039786212);	1.6197003560591838e-07
producer	release	film	T	6.3	1.31	The producer released the film .	0.023866867646574974	song_(0.23478603);album_(0.16110346);single_(0.09341317);track_(0.052421328);music_(0.03352074);	2.665929343947937e-08
general	win	battle	T	6.1	1.04	The general won the battle .	0.023333795368671417	election_(0.6047644);seat_(0.06893902);elections_(0.05721201);battle_(0.023333795);vote_(0.014379497);	3.169645523826148e-08
horse	pull	cart	T	4.95	1.69	The horse pulled the cart .	0.021711837500333786	reins_(0.79300505);trigger_(0.043097116);cart_(0.021711838);lever_(0.018704766);wheel_(0.010296578);	1.0725344168349693e-08
butcher	sell	meat	T	6.95	0.22	The butcher sold the meat .	0.03294449299573898	meat_(0.032944493);fish_(0.029764542);knife_(0.027379148);goods_(0.015189156);pig_(0.013044993);	1.3944452703640309e-08
professor	write	book	T	5.5	1.43	The professor wrote the book .	0.05328133702278137	book_(0.053281337);letter_(0.037704524);poem_(0.037099652);text_(0.03441329);story_(0.032427225);	2.184381264669355e-05
mechanic	fix	tire	T	6.45	0.86	The mechanic fixed the tire .	0.0042438809759914875	engine_(0.043021847);door_(0.03825767);lock_(0.027375);wheel_(0.026694486);car_(0.01795333);	8.880708719516406e-07
candidate	celebrate	victory	T	5.9	1.81	The candidate celebrated the victory .	0.08540383726358414	day_(0.08682829);victory_(0.08540384);event_(0.082217015);election_(0.077118345);occasion_(0.05486055);	4.2578438552709486e-08
footballer	chase	ball	T	5.75	1.95	The footballer chased the ball .	0.03547954931855202	dog_(0.048664495);ball_(0.03547955);girl_(0.029952746);car_(0.025349502);man_(0.020282947);	3.340313980970677e-07
artist	assemble	art	T	6.35	1.19	The artist assembled the art .	0.001055222237482667	pieces_(0.04776162);figures_(0.028809395);painting_(0.020284299);paintings_(0.019192485);sculptures_(0.014218615);	4.6084721816441743e-07
astronaut	reach	moon	T	5.4	1.83	The astronaut reached the moon .	0.007214903365820646	top_(0.029934432);surface_(0.023624595);ground_(0.023360988);platform_(0.02115953);cockpit_(0.018844234);	1.3312634328244144e-09
engineer	complete	project	T	6.25	1.48	The engineer completed the project .	0.046252645552158356	work_(0.15619323);job_(0.087794535);task_(0.05408359);project_(0.046252646);design_(0.021708012);	7.607091561112611e-07
soldier	carry	rifle	T	7.0	0.0	The soldier carried the rifle .	0.06931053102016449	gun_(0.115641505);knife_(0.07206805);rifle_(0.06931053);pistol_(0.05207318);weapon_(0.04535653);	2.8175646260564235e-09
terrorist	release	hostage	T	3.45	1.77	The terrorist released the hostage .	0.005320580676198006	bomb_(0.09142068);gun_(0.058468737);weapon_(0.053282965);grenade_(0.0504257);pistol_(0.021608567);	5.448953857012384e-07
killer	pull	trigger	T	6.6	0.58	The killer pulled the trigger .	0.9471598267555237	trigger_(0.9471598);strings_(0.017726993);plug_(0.006369308);gun_(0.0049998234);knife_(0.004315007);	2.916079289150275e-08
spectator	buy	ticket	T	6.45	1.32	The spectator bought the ticket .	0.014293929561972618	ball_(0.17144752);play_(0.020552453);shot_(0.016643424);prize_(0.014936495);story_(0.014894119);	4.1323127675241267e-07
cheerleader	shake	flag	T	5.15	2.06	The cheerleader shook the flag .	0.003187015186995268	bottle_(0.09967495);hand_(0.07879728);wheel_(0.045908205);bag_(0.03699616);reins_(0.03486422);	7.106227144504373e-07
