SUBJECT	VERB	OBJECT	LOCATION	typicality	mean_rat	std_rat	LM	sentence	computed_score	best_completions	baseline_score
boxer	deliver	punch	ring	T	6.85	0.48	on	The boxer delivered the punch on the ring .	0.00287636648863554	chin_(0.20915279);head_(0.10029903);nose_(0.06752896);face_(0.055835675);right_(0.02881013);	3.5628261230158387e-06
singer	begin	performance	theater	T	5.35	1.96	in	The singer began the performance in the theater .	0.0019062610808759928	song_(0.09190383);._(0.04199678);middle_(0.027106473);evening_(0.022055404);background_(0.01847387);	7.358844413829502e-07
mechanic	assemble	bicycle	garage	T	4.2	2.29	in	The mechanic assembled the bicycle in the garage .	0.27016282081604004	workshop_(0.32641727);garage_(0.27016282);shop_(0.118216895);shed_(0.048954487);basement_(0.014645464);	1.8518058197969367e-07
waiter	clear	table	restaurant	T	6.4	1.28	at	The waiter cleared the table at the restaurant .	0.025902528315782547	end_(0.6831886);restaurant_(0.025902528);back_(0.019547258);time_(0.013403498);moment_(0.00982373);	8.37094887629064e-07
mechanic	check	tire	garage	T	6.7	0.46	in	The mechanic checked the tire in the garage .	0.052884381264448166	car_(0.13393173);truck_(0.09480711);van_(0.056357227);garage_(0.05288438);vehicle_(0.03712714);	1.8518058197969367e-07
surfer	catch	wave	sea	T	6.75	0.54	in	The surfer caught the wave in the sea .	0.003960124216973782	water_(0.04417604);photo_(0.039448373);ocean_(0.03476781);video_(0.033828847);Pacific_(0.029115826);	2.6956413421430625e-06
player	begin	match	stadium	T	6.25	1.41	in	The player began the match in the stadium .	0.0027282482478767633	position_(0.08215134);._(0.07727273);box_(0.07497762);match_(0.049985703);following_(0.036674958);	4.920876790492912e-07
guide	describe	monument	square	T	5.75	1.81	in	The guide described the monument in the square .	0.00025118215125985444	video_(0.08955848);book_(0.050878055);caption_(0.048468426);following_(0.036383938);museum_(0.026308032);	8.792412700131536e-07
student	drink	beer	pub	T	4.95	2.29	at	The student drank the beer at the pub .	0.00720059173181653	party_(0.16675788);bar_(0.10454606);time_(0.074232176);school_(0.043190863);library_(0.04012278);	7.67983146943152e-06
guest	hang	coat	passageway	T	5.2	2.16	in	The guest hung the coat in the passageway .			
gardener	cut	grass	garden	T	6.9	0.3	in	The gardener cut the grass in the garden .	0.15653197467327118	garden_(0.15653197);backyard_(0.1373068);yard_(0.107871644);courtyard_(0.04225652);morning_(0.040574037);	4.551279175757372e-08
hound	fetch	bird	forest	T	3.9	2.39	in	The hound fetched the bird in the forest .	0.010457435622811317	morning_(0.10125999);dark_(0.038820162);evening_(0.03746166);night_(0.030987818);afternoon_(0.028896825);	8.70569124344911e-07
soldier	fight	enemy	battlefield	T	5.85	1.82	in	The soldier fought the enemy in the battlefield .	0.01392276119440794	field_(0.111017235);trenches_(0.101147525);desert_(0.09341316);jungle_(0.072805494);forest_(0.046445113);	1.220053178485614e-07
surfer	grab	board	beach	T	6.65	1.11	at	The surfer grabbed the board at the beach .	0.024929864332079887	end_(0.17241104);bottom_(0.14491352);top_(0.110871956);start_(0.0443067);beginning_(0.040022876);	7.45107797683886e-08
demonstrator	carry	flag	square	T	5.05	1.77	in	The demonstrator carried the flag in the square .	0.009851616807281971	street_(0.20207508);air_(0.18650717);crowd_(0.07283776);background_(0.046835314);rain_(0.044519734);	8.903501225177024e-07
librarian	climb	ladder	library	T	6.4	0.8	in	The librarian climbed the ladder in the library .	0.20667016506195068	library_(0.20667017);dark_(0.099609934);rain_(0.08507521);attic_(0.06979726);basement_(0.04601559);	4.5426435235640383e-07
coach	check	team	locker-room	T	5.85	1.65	in	The coach checked the team in the locker-room .			
athlete	celebrate	victory	podium	T	6.5	0.67	on	The athlete celebrated the victory on the podium .	0.12949901819229126	field_(0.2474807);court_(0.22165586);podium_(0.12949902);track_(0.054985825);ice_(0.044255387);	4.5042438046039024e-07
child	climb	tree	garden	T	5.0	1.87	in	The child climbed the tree in the garden .	0.015168800950050354	photo_(0.18505412);video_(0.16122554);backyard_(0.061833043);picture_(0.05395417);park_(0.053128023);	2.570596734585706e-06
refugee	find	shelter	church	T	4.8	1.81	in	The refugee found the shelter in the church .	0.018889887258410454	woods_(0.082496464);forest_(0.06940647);desert_(0.02616685);park_(0.02460794);basement_(0.023628062);	5.5357122619170696e-06
