SUBJECT	VERB	OBJECT	typicality	sentence	computed_score	best_completions	baseline_score
house	absorb	rain	P	The house absorbed the rain .	-6.283915042877197	blast_(-4.059115);shock_(-4.1292977);impact_(-4.2737985);fire_(-4.455256);entire_(-4.4587502);	-9.90079402923584
soil	absorb	rain	N	The soil absorbed the rain .	-4.994807720184326	carbon_(-2.9736362);water_(-3.2036853);heat_(-3.283565);excess_(-3.301784);nutrients_(-3.774959);	-9.90079402923584
girl	attach	letter	P	The girl attached the letter .	-4.670491695404053	rope_(-4.4107566);camera_(-4.644216);letter_(-4.6704917);photo_(-4.7707725);ring_(-4.797361);	-8.79542064666748
rope	attach	letter	N	The rope attached the letter .	-8.732076644897461	two_(-3.7196326);rope_(-3.9749732);back_(-4.5384727);front_(-4.9818854);top_(-4.982282);	-8.79542064666748
chair	attach	note	P	The chair attached the note .	-7.364444255828857	chair_(-3.1243398);seat_(-4.399875);door_(-4.722881);device_(-4.7543445);two_(-4.9076114);	-6.234289169311523
map	attach	note	N	The map attached the note .	-6.607990741729736	map_(-3.0629163);above_(-3.1485333);following_(-3.4118848);image_(-4.1101346);first_(-4.328366);	-6.234289169311523
girl	bake	beans	P	The girl baked the beans .	-7.37680196762085	cookies_(-1.7878584);cake_(-2.4467251);bread_(-3.0669339);pie_(-3.6536803);pies_(-4.0836654);	-12.893646240234375
wheel	bake	beans	N	The wheel baked the beans .	-6.019252300262451	bread_(-3.6133764);dough_(-4.1352267);cake_(-4.3800235);wheels_(-4.587314);ground_(-4.6196933);	-12.893646240234375
baker	bake	cake	P	The baker baked the cake .	-1.7852786779403687	cake_(-1.7852787);cookies_(-2.7275622);cakes_(-2.9304967);bread_(-3.2539523);pies_(-3.5388644);	-19.470396041870117
giraffe	bake	cake	N	The giraffe baked the cake .	-2.6084659099578857	cake_(-2.608466);cookies_(-3.0053623);bread_(-3.1410892);first_(-4.025824);best_(-4.2126985);	-20.040721893310547
witch	bake	turkey	P	The witch baked the turkey .	-7.044902801513672	cake_(-2.322216);cookies_(-3.6691856);bread_(-3.7475777);first_(-4.1087837);best_(-4.246746);	-18.1173038482666
rabbit	bake	turkey	N	The rabbit baked the turkey .	-5.1206231117248535	cake_(-2.2845786);bread_(-2.9948905);cookies_(-3.213114);egg_(-3.7278464);pie_(-3.8588889);	-18.1173038482666
flea	bite	dog	P	The flea bit the dog .	-3.532174825668335	dust_(-1.4406372);hand_(-2.9353347);tail_(-3.4808822);dog_(-3.5321748);man_(-4.431848);	-17.11178970336914
spoon	bite	dog	N	The spoon bit the dog .	-5.421419620513916	dust_(-3.0216548);floor_(-3.725436);bottom_(-3.7540157);air_(-3.8333461);tip_(-3.8594844);	-16.607742309570312
cat	bite	turtle	P	The cat bit the turtle .	-10.2284517288208	dog_(-0.56826526);dust_(-2.9662716);man_(-3.8514988);bullet_(-4.4494796);ball_(-4.489946);	-13.94898509979248
pebbles	bite	turtle	N	The pebbles bit the turtle .	-10.758437156677246	ground_(-2.6725602);dust_(-3.1197953);floor_(-3.1283937);surface_(-3.249846);air_(-3.6192079);	-14.73978328704834
man	breed	cat	P	The man bred the cat .	-5.4960856437683105	first_(-3.4605937);most_(-3.6120944);dog_(-4.081718);best_(-4.2852244);perfect_(-4.522247);	-12.30627727508545
fish	breed	cat	N	The fish bred the cat .	-6.886296272277832	first_(-3.194463);fish_(-3.2938282);most_(-3.5269291);same_(-3.797315);way_(-3.8959935);	-12.30627727508545
student	breed	cow	P	The student bred the cow .	-5.987162113189697	"dog_(-3.8163552);first_(-3.8663278);most_(-4.532679);""_(-4.84611);cat_(-5.0205636);"	-12.107352256774902
horse	breed	cow	N	The horse bred the cow .	-3.368464231491089	horse_(-2.36925);cow_(-3.3684642);first_(-3.704211);man_(-4.1352797);most_(-4.199504);	-12.107352256774902
chef	breed	dog	P	The chef bred the dog .	-4.918237209320068	chicken_(-3.5720842);first_(-4.0639815);dish_(-4.106806);world_(-4.362512);best_(-4.4596195);	-16.607742309570312
turtle	breed	dog	N	The turtle bred the dog .	-6.3677144050598145	first_(-3.0828328);same_(-3.096581);way_(-3.6636052);world_(-3.7131734);most_(-3.7659154);	-16.607742309570312
dentist	breed	gorilla	P	The dentist bred the gorilla .	-6.529442310333252	first_(-3.145348);dog_(-3.8227086);most_(-4.410912);perfect_(-4.481087);baby_(-4.5526433);	-14.371170997619629
elephant	breed	gorilla	N	The elephant bred the gorilla .	-5.074272632598877	elephant_(-2.6435628);lion_(-2.659676);tiger_(-2.978951);cow_(-3.5513005);horse_(-3.6463552);	-14.371170997619629
woman	build	frame	P	The woman built the frame .	-7.545008659362793	house_(-3.5065258);world_(-3.9784343);home_(-3.9841795);first_(-4.278117);bridge_(-4.7900724);	-17.568113327026367
ant	build	frame	N	The ant built the frame .	-7.902900695800781	first_(-3.6104891);world_(-3.6902468);ant_(-3.8879244);bridge_(-4.459404);wall_(-4.5354843);	-17.568113327026367
tree	build	house	P	The tree built the house .	-3.3939526081085205	world_(-3.27617);house_(-3.3939526);tree_(-3.798196);city_(-4.0644464);bridge_(-4.096307);	-13.212278366088867
dolphin	build	house	N	The dolphin built the house .	-4.412529468536377	world_(-2.968796);boat_(-3.4103243);first_(-3.9322283);ship_(-4.087914);bridge_(-4.1878285);	-13.212278366088867
girl	build	laptop	P	The girl built the laptop .	-8.166489601135254	house_(-3.3944867);world_(-3.8500226);bridge_(-4.5352182);first_(-4.542474);wall_(-4.588212);	-15.532190322875977
wool	build	laptop	N	The wool built the laptop .	-10.58321762084961	world_(-3.4964557);first_(-4.689777);house_(-4.7556567);fabric_(-4.7556796);whole_(-4.9284015);	-15.532190322875977
torch	burn	cloth	P	The torch burned the cloth .	-8.805549621582031	night_(-2.0872118);darkness_(-3.85685);dark_(-3.925194);last_(-4.055901);sky_(-4.1654286);	-13.947959899902344
paper	burn	cloth	N	The paper burned the cloth .	-7.540827751159668	paper_(-3.0809584);day_(-4.0319624);same_(-4.242381);way_(-4.2624235);night_(-4.332301);	-13.947959899902344
sun	burn	ham	P	The sun burned the ham .	-10.16667652130127	sky_(-3.0161104);earth_(-4.126958);skin_(-4.221196);leaves_(-4.3350267);grass_(-4.4448442);	-13.442800521850586
rabbit	burn	ham	N	The rabbit burned the ham .	-7.361005783081055	house_(-3.5669842);candle_(-4.061903);grass_(-4.3771954);tree_(-4.7075787);whole_(-4.8491497);	-13.442800521850586
man	bury	book	P	The man buried the book .	-8.132211685180664	body_(-1.3849355);bodies_(-2.6758978);remains_(-3.746416);dead_(-4.067194);first_(-4.1756077);	-14.262734413146973
plant	bury	book	N	The plant buried the book .	-8.344390869140625	remains_(-2.8365784);bodies_(-3.2149963);body_(-3.2651367);first_(-3.99411);bones_(-4.185295);	-14.262734413146973
ship	capsize	boat	P	The ship capsized the boat .	-7.585024356842041	night_(-1.5311531);day_(-1.7198128);morning_(-2.0218682);next_(-3.3301797);moment_(-3.7913918);	-14.478645324707031
bone	capsize	boat	N	The bone capsized the boat .	-2.954833507537842	ship_(-2.4737468);boat_(-2.9548335);vessel_(-4.226936);first_(-4.786285);car_(-4.791633);	-14.478645324707031
woman	capsize	canoe	P	The woman capsized the canoe .	-6.186612606048584	boat_(-2.8772178);ship_(-3.2538962);USS_(-3.539602);ferry_(-3.8284125);Titanic_(-4.7433143);	-11.056221008300781
