SUBJECT	VERB	OBJECT	RECIPIENT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
volunteer	bring	food	refugee	T	5.5	1.53	The volunteer brought the food to the refugee .	8.134003292070702e-05	shelter_(0.09021343);hospital_(0.041809674);church_(0.0338443);car_(0.024602653);school_(0.022680247);	4.4697543444272014e-07
spy	pass	information	government	T	6.1	0.77	The spy passed the information to the government .	0.031683068722486496	CIA_(0.11533484);NSA_(0.045015097);FBI_(0.03185285);government_(0.03168307);embassy_(0.028362952);	8.394644055442768e-07
dealer	sell	car	manager	T	4.55	1.63	The dealer sold the car to the manager .	0.0010317423148080707	owner_(0.13921915);buyer_(0.12580186);customer_(0.07228493);police_(0.032769337);dealer_(0.026297374);	5.439833898890356e-07
parent	give	present	child	T	6.7	0.46	The parent gave the present to the child .	0.7757060527801514	child_(0.77570605);children_(0.031375315);kid_(0.022068808);son_(0.02008744);baby_(0.017529402);	1.630334509172826e-06
child	tell	lie	parent	T	6.0	0.84	The child told the lie to the parent .	0.024536125361919403	teacher_(0.43768936);principal_(0.045395084);mother_(0.04398164);police_(0.042108055);parents_(0.030471353);	1.286157811364319e-07
child	lend	pen	deskmate	T	5.45	1.66	The child lent the pen to the deskmate .			
usurer	lend	money	gambler	T	4.75	1.92	The usurer lent the money to the gambler .			
scientist	report	finding	community	T	5.8	1.29	The scientist reported the finding to the community .	0.0003835750976577401	journal_(0.2140547);media_(0.12023102);BBC_(0.09873536);press_(0.075483866);IPCC_(0.040587895);	2.653552201081766e-06
vandal	spray	paint	statue	T	6.05	0.86	The vandal sprayed the paint to the statue .	0.004174286499619484	car_(0.05900157);building_(0.044183727);wall_(0.044171255);ground_(0.043339383);windshield_(0.03817312);	1.5121793239813996e-06
priest	teach	bible	believer	T	6.6	0.58	The priest taught the bible to the believer .	7.780071609886363e-05	children_(0.10393799);students_(0.06417642);kids_(0.038731523);boy_(0.030034509);boys_(0.029951217);	5.570386178987974e-07
policeman	put	criminal	jail	T	6.15	1.28	The policeman put the criminal to the jail .	0.0011121247662231326	ground_(0.4395155);floor_(0.09477238);death_(0.09040553);sword_(0.046574786);test_(0.042031895);	5.957783173471398e-07
waiter	bring	glass	customer	T	6.6	0.49	The waiter brought the glass to the customer .	0.007552177179604769	table_(0.42133453);kitchen_(0.047863606);bartender_(0.026444292);waitress_(0.018740512);desk_(0.016009076);	1.506438138676458e-07
president	give	speech	journalist	T	5.45	1.2	The president gave the speech to the journalist .	1.5893587260507047e-05	nation_(0.26645046);CIA_(0.042463314);Congress_(0.035846196);troops_(0.03455392);Senate_(0.031098008);	1.440263588392554e-07
salesperson	send	questionnaire	customer	T	5.45	1.28	The salesperson sent the questionnaire to the customer .	0.15180176496505737	customer_(0.15180176);client_(0.10480602);company_(0.059666347);buyer_(0.054574415);manufacturer_(0.022525478);	1.7580310540665778e-08
employer	offer	job	unemployed	T	6.55	0.59	The employer offered the job to the unemployed .	0.00400389451533556	applicant_(0.16241892);candidate_(0.0715967);woman_(0.0516968);student_(0.051503897);man_(0.044247303);	2.0875286566024442e-07
employee	pass	report	boss	T	6.7	0.46	The employee passed the report to the boss .	0.03426273539662361	supervisor_(0.16423841);FBI_(0.108498245);police_(0.080053486);company_(0.047631197);manager_(0.0418547);	2.397943262621993e-06
teacher	lend	book	student	T	5.95	1.47	The teacher lent the book to the student .	0.20240765810012817	student_(0.20240766);students_(0.17591251);boy_(0.06890883);class_(0.054441966);children_(0.038661726);	2.2138709709906834e-07
pusher	sell	drug	addict	T	4.65	2.61	The pusher sold the drug to the addict .	0.030407315120100975	dealer_(0.08431225);buyer_(0.077837594);victim_(0.05256699);driver_(0.047506265);customer_(0.036516972);	4.895345000477391e-07
priest	promise	salvation	believer	T	5.9	1.76	The priest promised the salvation to the believer .	0.0022820578888058662	people_(0.07794767);faithful_(0.035634942);poor_(0.031524356);children_(0.030603563);sinners_(0.029787399);	5.570386178987974e-07
hostess	explain	procedure	passenger	T	3.65	2.39	The hostess explained the procedure to the passenger .	0.0025968097615987062	reporter_(0.17117915);driver_(0.045314033);customer_(0.04024552);photographer_(0.028084971);man_(0.027875982);	3.173212519413937e-07
