SUBJECT	VERB	OBJECT	TIME	typicality	LM	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
cyclist	complete	race	tour	T	during	5.35	2.01	The cyclist completed the race during the tour .	0.0005747120594605803	stage_(0.18324295);race_(0.15461287);day_(0.093303666);event_(0.06874862);season_(0.054796282);	1.1605250620050356e-05
spectator	enjoy	game	championship	T	during	5.9	1.73	The spectator enjoyed the game during the championship .	0.0002772963198367506	night_(0.1281448);afternoon_(0.12718432);evening_(0.1199348);day_(0.08462692);game_(0.08337277);	5.083427458885126e-05
refugee	find	shelter	bombing	T	during	5.15	2.2	The refugee found the shelter during the bombing .	0.000576363003347069	night_(0.76626885);day_(0.03989914);evening_(0.024620585);storm_(0.021988638);morning_(0.013950248);	2.8238061986485263e-06
demonstrator	carry	flag	demonstration	T	during	5.95	1.28	The demonstrator carried the flag during the demonstration .	0.0748334676027298	ceremony_(0.14832975);protest_(0.09248414);march_(0.08146913);parade_(0.07879372);demonstration_(0.07483347);	7.639154659955238e-07
soldier	check	rifle	drill	T	during	5.6	1.83	The soldier checked the rifle during the drill .	0.0026285566855221987	exchange_(0.040470485);wait_(0.031121016);conversation_(0.02790149);flight_(0.025558738);night_(0.023985494);	5.290462468110491e-06
roofer	climb	ladder	repair	T	during	6.3	1.19	The roofer climbed the ladder during the repair .	0.0013405398931354284	night_(0.20198527);storm_(0.056101106);fire_(0.035519145);climb_(0.031291682);fall_(0.0190456);	7.553988780273357e-06
child	climb	tree	game	T	during	5.35	1.62	The child climbed the tree during the game .	0.00833611935377121	night_(0.30527478);day_(0.064534195);ceremony_(0.026133895);evening_(0.02290775);morning_(0.019290427);	1.8151631593354978e-05
hound	fetch	bird	hunting	T	during	5.7	1.76	The hound fetched the bird during the hunting .	0.0002673525596037507	night_(0.5515373);day_(0.08141275);evening_(0.039038617);hunt_(0.017210089);battle_(0.012796479);	2.606366979307495e-05
scoutmaster	assemble	tent	excursion	T	during	6.2	1.54	The scoutmaster assembled the tent during the excursion .			
president	deliver	speech	election	T	after	6.2	1.81	The president delivered the speech after the election .	0.023773374035954475	ceremony_(0.08634729);parade_(0.049372267);meeting_(0.030549092);election_(0.023773374);debate_(0.02271931);	1.742731183185242e-05
waiter	deliver	drink	party	T	during	6.15	1.65	The waiter delivered the drink during the party .	0.0070294346660375595	meal_(0.21536365);break_(0.09611929);conversation_(0.03969098);interview_(0.034698546);ceremony_(0.0315043);	0.00023396449978463352
policeman	capture	thief	chase	T	during	6.1	0.94	The policeman captured the thief during the chase .	0.10441111028194427	robbery_(0.10790222);fight_(0.10718286);chase_(0.10441111);night_(0.100497596);struggle_(0.04424921);	0.00017274821584578604
mother	hang	laundry	morning	T	during	5.55	1.36	The mother hung the laundry during the morning .	0.012615788727998734	day_(0.740581);night_(0.1053022);week_(0.047857083);afternoon_(0.013939909);morning_(0.012615789);	0.00023555451480206102
bodybuilder	lift	weight	workout	T	during	6.55	1.32	The bodybuilder lifted the weight during the workout .			
player	enjoy	game	tournament	T	during	6.35	0.79	The player enjoyed the game during the tournament .	0.006249275989830494	day_(0.20433617);game_(0.19102654);night_(0.03137131);mission_(0.030220982);week_(0.019192796);	0.0013270495692268014
child	cut	paper	lesson	T	during	3.8	2.44	The child cut the paper during the lesson .	0.02853328548371792	night_(0.12522456);day_(0.11657795);play_(0.04977285);game_(0.034962345);reading_(0.029811028);	2.7545625016500708e-06
