SUBJECT	VERB	OBJECT	typicality
house	absorb	rain	P
soil	absorb	rain	N
girl	attach	letter	P
rope	attach	letter	N
chair	attach	note	P
map	attach	note	N
girl	bake	beans	P
wheel	bake	beans	N
baker	bake	cake	P
giraffe	bake	cake	N
witch	bake	turkey	P
rabbit	bake	turkey	N
flea	bite	dog	P
spoon	bite	dog	N
cat	bite	turtle	P
pebbles	bite	turtle	N
man	breed	cat	P
fish	breed	cat	N
student	breed	cow	P
horse	breed	cow	N
chef	breed	dog	P
turtle	breed	dog	N
dentist	breed	gorilla	P
elephant	breed	gorilla	N
woman	build	frame	P
ant	build	frame	N
tree	build	house	P
dolphin	build	house	N
girl	build	laptop	P
wool	build	laptop	N
torch	burn	cloth	P
paper	burn	cloth	N
sun	burn	ham	P
rabbit	burn	ham	N
man	bury	book	P
plant	bury	book	N
ship	capsize	boat	P
bone	capsize	boat	N
woman	capsize	canoe	P
rabbit	capsize	canoe	N
dentist	capsize	ship	P
raft	capsize	ship	N
net	catch	ball	P
water	catch	ball	N
daughter	catch	bird	P
rabbit	catch	bird	N
closet	chafe	girl	P
air	chafe	girl	N
elephant	chew	turtle	P
infant	chew	turtle	N
freezer	chill	juice	P
man	chill	juice	N
wind	chill	table	P
stove	chill	table	N
wind	chill	water	P
student	chill	water	N
knife	chop	tree	P
chicken	chop	tree	N
water	clean	house	P
dirt	clean	house	N
broom	clean	room	P
mud	clean	room	N
girl	clip	dog	P
woman	clip	dog	N
scissors	clip	magazine	P
dog	clip	magazine	N
knife	clip	paper	P
pillow	clip	paper	N
child	close	bottle	P
water	close	bottle	N
monkey	close	door	P
water	close	door	N
brick	construct	boat	P
hay	construct	boat	N
girl	construct	building	P
dog	construct	building	N
boat	contain	lion	P
purse	contain	lion	N
cup	cook	egg	P
elephant	cook	egg	N
woman	cook	turkey	P
rabbit	cook	turkey	N
freezer	cool	oil	P
moon	cool	oil	N
ac	cool	water	P
sun	cool	water	N
train	crash	bike	P
spatula	crash	bike	N
plane	crash	house	P
water	crash	house	N
boat	crash	scooter	P
pillow	crash	scooter	N
sand	create	house	P
rabbit	create	house	N
girl	create	skyscraper	P
horse	create	skyscraper	N
clown	crop	bush	P
shirt	crop	bush	N
scissors	crop	pants	P
fire	crop	pants	N
scissors	crop	paper	P
fire	crop	paper	N
student	crop	plant	P
pillow	crop	plant	N
house	curb	bike	P
water	curb	bike	N
stairs	curb	scooter	P
ant	curb	scooter	N
house	curb	train	P
rabbit	curb	train	N
coach	cut	bread	P
pillow	cut	bread	N
knife	damage	pillow	P
cotton	damage	pillow	N
scissors	damage	shirt	P
wool	damage	shirt	N
water	dampen	cloth	P
pebbles	dampen	cloth	N
lion	destroy	house	P
grass	destroy	house	N
pen	dig	dirt	P
grass	dig	dirt	N
knife	dig	ground	P
air	dig	ground	N
shovel	dig	hole	P
water	dig	hole	N
pin	dig	mud	P
air	dig	mud	N
girl	dig	sand	P
air	dig	sand	N
leg	drag	bag	P
water	drag	bag	N
shovel	drain	sink	P
pen	drain	sink	N
chef	draw	pumpkin	P
house	draw	pumpkin	N
woman	drink	beer	P
table	drink	beer	N
chef	drink	milk	P
chair	drink	milk	N
chef	drive	car	P
lion	drive	car	N
robot	drive	train	P
rabbit	drive	train	N
bowl	dump	water	P
water	dump	water	N
mouse	enter	basket	P
elephant	enter	basket	N
mouse	enter	cup	P
girl	enter	cup	N
woman	enter	room	P
boat	enter	room	N
eraser	erase	stain	P
air	erase	stain	N
man	erect	building	P
rabbit	erect	building	N
student	erect	wall	P
rabbit	erect	wall	N
knife	etch	pebbles	P
pillow	etch	pebbles	N
knife	etch	rock	P
pillow	etch	rock	N
cake	feed	rabbit	P
air	feed	rabbit	N
monkey	fill	bucket	P
elephant	fill	bucket	N
water	fill	cup	P
car	fill	cup	N
water	fill	plate	P
house	fill	plate	N
mud	fill	sink	P
car	fill	sink	N
