SUBJECT	VERB	OBJECT	LOCATION	typicality	mean_rat	std_rat	LM	sentence	computed_score	best_completions	baseline_score
boxer	deliver	punch	ring	T	6.85	0.48	on	The boxer delivered the punch on the ring .	0.010469813831150532	chin_(0.05258113);first_(0.037289586);night_(0.030633122);final_(0.021110915);opening_(0.019412411);	9.783778978089686e-07
singer	begin	performance	theater	T	5.35	1.96	in	The singer began the performance in the theater .	0.0005184271140024066	style_(0.023149285);middle_(0.022130191);same_(0.016869579);role_(0.014151198);first_(0.013418749);	7.548424605374748e-07
mechanic	assemble	bicycle	garage	T	4.2	2.29	in	The mechanic assembled the bicycle in the garage .	0.1947222650051117	garage_(0.19472227);morning_(0.029931422);shop_(0.027405497);back_(0.02688691);basement_(0.025604827);	3.308534335388913e-09
waiter	clear	table	restaurant	T	6.4	1.28	at	The waiter cleared the table at the restaurant .	0.019783644005656242	table_(0.12298438);end_(0.07724873);bar_(0.066987485);front_(0.041787177);back_(0.032447696);	2.9441475817293394e-06
mechanic	check	tire	garage	T	6.7	0.46	in	The mechanic checked the tire in the garage .	0.10847681015729904	garage_(0.10847681);car_(0.06413568);back_(0.052023526);parking_(0.039763547);rear_(0.036002394);	3.308534335388913e-09
surfer	catch	wave	sea	T	6.75	0.54	in	The surfer caught the wave in the sea .	0.0024365512654185295	middle_(0.078003);Pacific_(0.044797454);first_(0.033508256);early_(0.032199997);surf_(0.02531073);	3.17564490615041e-06
player	begin	match	stadium	T	6.25	1.41	in	The player began the match in the stadium .	8.72119635459967e-05	middle_(0.073721476);centre_(0.05890922);No_(0.0522963);second_(0.03389227);right_(0.02500127);	2.4485436256327375e-07
guide	describe	monument	square	T	5.75	1.81	in	The guide described the monument in the square .	0.00019147610873915255	following_(0.033851657);words_(0.018649643);same_(0.018538425);most_(0.017772414);context_(0.014989641);	1.2155649073974928e-06
student	drink	beer	pub	T	4.95	2.29	at	The student drank the beer at the pub .	0.004897052422165871	party_(0.0572002);bar_(0.05054567);time_(0.050189067);same_(0.030659605);end_(0.02639114);	0.00013024837244302034
guest	hang	coat	passageway	T	5.2	2.16	in	The guest hung the coat in the passageway .			
gardener	cut	grass	garden	T	6.9	0.3	in	The gardener cut the grass in the garden .	0.2318083941936493	garden_(0.2318084);yard_(0.047746304);backyard_(0.04624695);front_(0.0378209);park_(0.025678128);	1.013017481454881e-06
