SUBJECT	VERB	OBJECT	LOCATION	typicality	mean_rat	std_rat	LM	sentence	computed_score	best_completions	baseline_score
boxer	deliver	punch	ring	T	6.85	0.48	on	The boxer delivered the punch on the ring .	0.0005802551168017089	chin_(0.25822565);head_(0.12260157);jaw_(0.10165985);face_(0.07848079);nose_(0.07095289);	0.0002460243122186512
singer	begin	performance	theater	T	5.35	1.96	in	The singer began the performance in the theater .	0.013863597996532917	studio_(0.039445158);stadium_(0.0320534);car_(0.026616774);morning_(0.02018839);park_(0.019952636);	4.870238626608625e-06
mechanic	assemble	bicycle	garage	T	4.2	2.29	in	The mechanic assembled the bicycle in the garage .	0.22400888800621033	garage_(0.22400889);workshop_(0.15701209);shed_(0.04232473);basement_(0.031379428);morning_(0.031222621);	1.0195766662945971e-05
waiter	clear	table	restaurant	T	6.4	1.28	at	The waiter cleared the table at the restaurant .	0.033834490925073624	table_(0.21269183);end_(0.11957221);bar_(0.09516305);entrance_(0.06490447);restaurant_(0.03383449);	1.989476913877297e-06
mechanic	check	tire	garage	T	6.7	0.46	in	The mechanic checked the tire in the garage .	0.06668365746736526	back_(0.18030396);garage_(0.06668366);car_(0.05972282);mirror_(0.049130395);truck_(0.046491913);	1.0195766662945971e-05
surfer	catch	wave	sea	T	6.75	0.54	in	The surfer caught the wave in the sea .	0.002119517419487238	face_(0.11862704);middle_(0.08309888);eye_(0.061245583);back_(0.053315774);water_(0.051006116);	7.358133734669536e-05
player	begin	match	stadium	T	6.25	1.41	in	The player began the match in the stadium .	0.0019783852621912956	middle_(0.21694139);lead_(0.12498511);center_(0.06745065);centre_(0.03461086);beginning_(0.024883876);	1.9115712348138914e-05
guide	describe	monument	square	T	5.75	1.81	in	The guide described the monument in the square .	0.0004318812279962003	book_(0.08049014);background_(0.0538488);text_(0.041526683);park_(0.038185608);article_(0.027995704);	0.0009366368758492172
student	drink	beer	pub	T	4.95	2.29	at	The student drank the beer at the pub .	0.010187695734202862	bar_(0.4061621);table_(0.13438535);party_(0.03020222);door_(0.019374322);time_(0.018183855);	1.2773502930940595e-06
guest	hang	coat	passageway	T	5.2	2.16	in	The guest hung the coat in the passageway .			
gardener	cut	grass	garden	T	6.9	0.3	in	The gardener cut the grass in the garden .	0.4108220636844635	garden_(0.41082206);yard_(0.17363313);backyard_(0.13107103);courtyard_(0.06031404);morning_(0.013396327);	0.00011931100743822753
hound	fetch	bird	forest	T	3.9	2.39	in	The hound fetched the bird in the forest .	0.007304881699383259	morning_(0.3643078);night_(0.06823222);dark_(0.03999515);end_(0.024581527);darkness_(0.023275807);	9.036746632773429e-05
soldier	fight	enemy	battlefield	T	5.85	1.82	in	The soldier fought the enemy in the battlefield .	0.023209884762763977	field_(0.15807863);forest_(0.05608258);battle_(0.051672492);trenches_(0.042459786);woods_(0.037252676);	4.51781170340837e-06
surfer	grab	board	beach	T	6.65	1.11	at	The surfer grabbed the board at the beach .	0.03182768076658249	waist_(0.14120089);bottom_(0.06527024);back_(0.062451933);end_(0.051177382);beach_(0.03182768);	3.349413236719556e-05
demonstrator	carry	flag	square	T	5.05	1.77	in	The demonstrator carried the flag in the square .	0.0314306765794754	parade_(0.14697087);background_(0.08277478);procession_(0.075922556);street_(0.04101805);square_(0.031430677);	0.001959527377039194
librarian	climb	ladder	library	T	6.4	0.8	in	The librarian climbed the ladder in the library .	0.0748850628733635	back_(0.12653829);library_(0.07488506);corner_(0.066416405);attic_(0.048903685);darkness_(0.033849888);	0.0001510238362243399
coach	check	team	locker-room	T	5.85	1.65	in	The coach checked the team in the locker-room .			
athlete	celebrate	victory	podium	T	6.5	0.67	on	The athlete celebrated the victory on the podium .	0.06628073751926422	beach_(0.23302603);podium_(0.06628074);field_(0.047641896);island_(0.028072527);stage_(0.026473727);	6.545402357005514e-06
child	climb	tree	garden	T	5.0	1.87	in	The child climbed the tree in the garden .	0.032656461000442505	morning_(0.08739189);dark_(0.08594229);forest_(0.06306667);darkness_(0.06156997);distance_(0.05424749);	9.991141996579245e-05
refugee	find	shelter	church	T	4.8	1.81	in	The refugee found the shelter in the church .	0.012209316715598106	forest_(0.06659767);village_(0.05543173);woods_(0.0420518);morning_(0.04150667);night_(0.03539881);	7.089143036864698e-05
president	deliver	speech	parliament	T	6.3	1.31	in	The president delivered the speech in the parliament .	0.0006573889986611903	auditorium_(0.080593504);Capitol_(0.06602103);courtroom_(0.0422776);morning_(0.034501594);hall_(0.034127977);	3.1476876756642014e-05
lumberjack	cut	tree	forest	T	6.55	1.16	in	The lumberjack cut the tree in the forest .	0.02505534328520298	morning_(0.19834809);afternoon_(0.0721414);yard_(0.06872426);woods_(0.04528957);middle_(0.040322386);	8.13297156128101e-05
policeman	capture	thief	street	T	6.3	1.35	in	The policeman captured the thief in the street .	0.05700169876217842	street_(0.0570017);process_(0.045156866);car_(0.031145565);forest_(0.030841623);act_(0.027358688);	0.00010961492080241442
veterinarian	examine	dog	clinic	T	6.5	1.24	at	The veterinarian examined the dog at the clinic .	0.025554578751325607	hospital_(0.20732707);scene_(0.06593898);door_(0.06555237);table_(0.043887977);lab_(0.03512254);	1.8133530375052942e-06
monkey	grab	banana	zoo	T	6.2	0.75	at	The monkey grabbed the banana at the zoo .	0.001300153904594481	end_(0.10044072);bottom_(0.05865017);back_(0.035181865);corner_(0.032816973);mouth_(0.027865244);	0.00019542714289855212
burglar	climb	wall	garden	T	4.95	2.04	in	The burglar climbed the wall in the garden .	0.014228257350623608	dark_(0.105821945);darkness_(0.08869701);kitchen_(0.05087867);hallway_(0.041065622);basement_(0.03529533);	8.821523806545883e-05
