SUBJECT	VERB	OBJECT	LOCATION	typicality	mean_rat	std_rat	LM	sentence	computed_score	best_completions	baseline_score
boxer	deliver	punch	ring	T	6.85	0.48	on	The boxer delivered the punch on the ring .	0.002417275682091713	head_(0.18007699);ground_(0.08167348);cheek_(0.06952114);chin_(0.061074775);nose_(0.052594494);	8.912450539355632e-06
singer	begin	performance	theater	T	5.35	1.96	in	The singer began the performance in the theater .	0.004353391472250223	studio_(0.19695072);stadium_(0.04638598);hospital_(0.03069513);morning_(0.029458022);street_(0.019034918);	2.0265924050022477e-08
mechanic	assemble	bicycle	garage	T	4.2	2.29	in	The mechanic assembled the bicycle in the garage .	0.10658025741577148	garage_(0.10658026);morning_(0.062480293);workshop_(0.04851712);car_(0.029476695);basement_(0.029294621);	5.479316769196885e-07
waiter	clear	table	restaurant	T	6.4	1.28	at	The waiter cleared the table at the restaurant .	0.007236558943986893	table_(0.21881805);bar_(0.14916445);end_(0.13260928);door_(0.08503456);back_(0.04224307);	1.4867752895497688e-07
mechanic	check	tire	garage	T	6.7	0.46	in	The mechanic checked the tire in the garage .	0.04541729763150215	back_(0.13979577);car_(0.09938942);truck_(0.050810076);garage_(0.045417298);front_(0.033616416);	5.479316769196885e-07
surfer	catch	wave	sea	T	6.75	0.54	in	The surfer caught the wave in the sea .	0.0038869851268827915	air_(0.17467372);middle_(0.06559585);water_(0.055237457);eye_(0.050363585);face_(0.05024835);	2.2987369163729454e-07
player	begin	match	stadium	T	6.25	1.41	in	The player began the match in the stadium .	0.02556958608329296	quarterfinals_(0.12701014);Netherlands_(0.0819817);semifinals_(0.076283924);final_(0.07558827);draw_(0.05706361);	5.496385568903861e-08
guide	describe	monument	square	T	5.75	1.81	in	The guide described the monument in the square .	5.939523543929681e-05	book_(0.106186576);1920s_(0.049466044);1930s_(0.037077587);1950s_(0.036631852);article_(0.031693824);	1.0668937875379925e-06
student	drink	beer	pub	T	4.95	2.29	at	The student drank the beer at the pub .	0.0020224852487444878	table_(0.6459109);bar_(0.160785);door_(0.014372382);counter_(0.013903221);window_(0.010299208);	3.683114755403949e-07
guest	hang	coat	passageway	T	5.2	2.16	in	The guest hung the coat in the passageway .			
gardener	cut	grass	garden	T	6.9	0.3	in	The gardener cut the grass in the garden .	0.2021569311618805	garden_(0.20215693);yard_(0.043895554);grass_(0.04178999);field_(0.03500029);backyard_(0.03166177);	1.04417459567685e-07
hound	fetch	bird	forest	T	3.9	2.39	in	The hound fetched the bird in the forest .	0.005666602402925491	back_(0.05846948);air_(0.054904945);morning_(0.0378875);kitchen_(0.037279516);cage_(0.033103);	8.401362805443569e-08
soldier	fight	enemy	battlefield	T	5.85	1.82	in	The soldier fought the enemy in the battlefield .	0.0080605149269104	field_(0.11087903);street_(0.043398373);woods_(0.03583674);battle_(0.033389214);forest_(0.03334858);	1.0115230431040345e-08
surfer	grab	board	beach	T	6.65	1.11	at	The surfer grabbed the board at the beach .	0.004351218231022358	end_(0.123484366);waist_(0.087318026);ready_(0.08506014);bottom_(0.08242542);top_(0.06724404);	7.817448732794219e-08
demonstrator	carry	flag	square	T	5.05	1.77	in	The demonstrator carried the flag in the square .	0.007936007343232632	air_(0.20687908);center_(0.04122803);middle_(0.03823449);stands_(0.03259739);courtyard_(0.026851574);	1.029979557642946e-06
librarian	climb	ladder	library	T	6.4	0.8	in	The librarian climbed the ladder in the library .	0.00890050083398819	back_(0.07745182);corner_(0.05572424);darkness_(0.043973844);hall_(0.041104823);dark_(0.03767651);	1.0087549640047655e-07
coach	check	team	locker-room	T	5.85	1.65	in	The coach checked the team in the locker-room .			
athlete	celebrate	victory	podium	T	6.5	0.67	on	The athlete celebrated the victory on the podium .	0.11746805161237717	podium_(0.11746805);field_(0.11417981);ground_(0.049352832);beach_(0.0435592);stage_(0.031035382);	6.635517735276153e-08
child	climb	tree	garden	T	5.0	1.87	in	The child climbed the tree in the garden .	0.05601060763001442	distance_(0.07578813);morning_(0.06463884);garden_(0.056010608);forest_(0.03450924);darkness_(0.03168903);	1.6090076826458244e-07
refugee	find	shelter	church	T	4.8	1.81	in	The refugee found the shelter in the church .	0.00366583582945168	forest_(0.074928716);village_(0.06387825);woods_(0.06020703);mountains_(0.050673444);desert_(0.04602022);	7.299877779587405e-06
president	deliver	speech	parliament	T	6.3	1.31	in	The president delivered the speech in the parliament .	0.0015697597991675138	morning_(0.113957725);stadium_(0.051986106);evening_(0.05196494);auditorium_(0.05051975);afternoon_(0.04859067);	2.789343156450741e-08
lumberjack	cut	tree	forest	T	6.55	1.16	in	The lumberjack cut the tree in the forest .	0.02035525068640709	process_(0.10996905);middle_(0.08478743);fall_(0.045867678);morning_(0.027324427);back_(0.02666922);	2.9520771605007212e-08
policeman	capture	thief	street	T	6.3	1.35	in	The policeman captured the thief in the street .	0.17878201603889465	street_(0.17878202);woods_(0.04364494);forest_(0.042630166);night_(0.03337956);alley_(0.026292177);	1.3200236708144075e-06
veterinarian	examine	dog	clinic	T	6.5	1.24	at	The veterinarian examined the dog at the clinic .	0.01607607491314411	table_(0.15543228);door_(0.12472767);gate_(0.06196033);hospital_(0.027761871);entrance_(0.02498372);	9.542298506914904e-09
monkey	grab	banana	zoo	T	6.2	0.75	at	The monkey grabbed the banana at the zoo .	0.000596919097006321	waist_(0.11863385);ready_(0.066012934);bottom_(0.060351353);end_(0.05937984);top_(0.05319156);	9.401866662983593e-08
burglar	climb	wall	garden	T	4.95	2.04	in	The burglar climbed the wall in the garden .	0.006970736663788557	distance_(0.085371055);dark_(0.07490811);darkness_(0.07017156);hallway_(0.0650911);alley_(0.045789886);	1.2118343306610768e-07
surgeon	examine	patient	hospital	T	6.55	1.32	at	The surgeon examined the patient at the hospital .	0.45666494965553284	hospital_(0.45666495);scene_(0.048460253);table_(0.04245714);bedside_(0.040097985);time_(0.032635607);	1.0530832241784083e-06
policeman	check	bag	airport	T	5.95	1.32	at	The policeman checked the bag at the airport .	0.0009147368837147951	door_(0.17213053);table_(0.1720762);counter_(0.05116835);desk_(0.04876301);bottom_(0.040722508);	6.121366746825174e-10
chemist	mix	substance	laboratory	T	6.65	1.11	in	The chemist mixed the substance in the laboratory .	0.01858067698776722	water_(0.15671939);pot_(0.023358814);oil_(0.023218581);laboratory_(0.018580677);bath_(0.015479527);	2.2315691516894276e-09
cyclist	complete	race	peak	T	4.2	2.2	on	The cyclist completed the race on the peak .	1.045462909132766e-06	road_(0.6300035);track_(0.1245426);podium_(0.053688977);highway_(0.021473264);pavement_(0.020023609);	1.7645095340412809e-06
botanist	examine	plant	greenhouse	T	6.05	1.2	in	The botanist examined the plant in the greenhouse .	0.005322392098605633	garden_(0.06336022);1950s_(0.04501138);field_(0.040633578);morning_(0.03695991);1930s_(0.02989214);	3.28561213791545e-08
engineer	complete	project	office	T	6.1	0.99	in	The engineer completed the project in the office .	0.0006230117869563401	morning_(0.16865993);1970s_(0.07943435);afternoon_(0.06404131);1950s_(0.046003073);1960s_(0.04372447);	1.7186864154083992e-09
passenger	buy	ticket	station	T	6.55	0.86	at	The passenger bought the ticket at the station .	0.24648417532444	station_(0.24648418);gate_(0.06963586);end_(0.05327636);bank_(0.04396103);airport_(0.03259621);	1.0848710729760569e-07
porter	carry	bag	room	T	4.25	2.61	in	The porter carried the bag in the room .	0.0272055771201849	back_(0.11488403);cart_(0.07927379);carriage_(0.05338636);car_(0.040903084);trunk_(0.031950705);	4.4501021534415486e-07
priest	celebrate	marriage	church	T	6.15	1.39	in	The priest celebrated the marriage in the church .	0.2116674780845642	church_(0.21166748);morning_(0.10917769);evening_(0.08128213);chapel_(0.06932599);village_(0.064134285);	7.299877779587405e-06
scoutmaster	assemble	tent	forest	T	6.4	0.66	in	The scoutmaster assembled the tent in the forest .	0.008047946728765965	corner_(0.15000862);back_(0.062428918);courtyard_(0.05739474);tent_(0.035623033);morning_(0.031984642);	2.9520771605007212e-08
soldier	gather	ammunition	armory	T	6.2	1.36	in	The soldier gathered the ammunition in the armory .			
musician	entertain	crowd	theater	T	6.4	1.36	in	The musician entertained the crowd in the theater .	0.016606340184807777	park_(0.04681093);hall_(0.037681963);courtyard_(0.032167926);street_(0.03153473);background_(0.024757585);	2.0265924050022477e-08
