SUBJECT	VERB	OBJECT	typicality	LC_sim	AC_sim	computed_score
house	absorb	rain	P	0.39041515179151537	0.6323955759299477	1.022810727721463
soil	absorb	rain	N	0.4818503374328456	0.5913691313787591	1.0732194688116048
girl	attach	letter	P	0.3128948573794144	0.6128235233412647	0.925718380720679
rope	attach	letter	N	0.3685471429508097	0.4828831492531691	0.8514302922039788
chair	attach	note	P	0.32388246292462053	0.5620012830516627	0.8858837459762833
map	attach	note	N	0.3376698493854237	0.5960411703059046	0.9337110196913283
girl	bake	beans	P	0.4234690110586433		0.4234690110586433
wheel	bake	beans	N	0.3982596499579559		0.3982596499579559
baker	bake	cake	P	0.613959764563706	0.669125975043296	1.2830857396070021
giraffe	bake	cake	N	0.33519335404543243	0.5253523330812352	0.8605456871266677
witch	bake	turkey	P	0.42226231105687195	0.40803328868090893	0.8302955997377809
rabbit	bake	turkey	N	0.4509703140773245	0.5429088354118397	0.9938791494891641
flea	bite	dog	P	0.5242486707354428	0.5051186015684704	1.0293672723039133
spoon	bite	dog	N	0.49279778394377965	0.49441525988210655	0.9872130438258861
cat	bite	turtle	P	0.501738750647286	0.5664632935844969	1.068202044231783
pebbles	bite	turtle	N	0.45312610962421945	0.4699068182494814	0.9230329278737008
man	breed	cat	P	0.49337799632631885	0.6574594596266782	1.150837455952997
fish	breed	cat	N	0.5038153056537594	0.653200582740474	1.1570158883942334
student	breed	cow	P	0.39615643464906547	0.5721162367496366	0.9682726713987021
horse	breed	cow	N	0.6439685616780781	0.6608033890431849	1.3047719507212632
chef	breed	dog	P	0.404809065398168	0.5765816258189113	0.9813906912170793
turtle	breed	dog	N	0.4462565717678722	0.5567464166264435	1.0030029883943157
dentist	breed	gorilla	P	0.3152033560187026		0.3152033560187026
elephant	breed	gorilla	N	0.573138876654326		0.573138876654326
woman	build	frame	P	0.37101320021658574	0.5946412420773411	0.9656544422939268
ant	build	frame	N	0.37620746678830647	0.5405456789877293	0.9167531457760358
tree	build	house	P	0.45331517641102076	0.5777680262581225	1.0310832026691432
dolphin	build	house	N	0.3122205413085928	0.48274236614613353	0.7949629074547263
girl	build	laptop	P	0.4299203405139853	0.6561970705474008	1.086117411061386
wool	build	laptop	N	0.34929244405025306	0.44049684244143217	0.7897892864916852
torch	burn	cloth	P	0.4804151812010579	0.37787939394697445	0.8582945751480324
paper	burn	cloth	N	0.5247587810951946	0.5156502378471188	1.0404090189423134
sun	burn	ham	P	0.46526882878905856		0.46526882878905856
rabbit	burn	ham	N	0.42775288471484313		0.42775288471484313
man	bury	book	P	0.460875210185894	0.5605578369479038	1.0214330471337978
plant	bury	book	N	0.41375316386288896	0.48154265814367747	0.8952958220065664
ship	capsize	boat	P	0.651335856148218	0.772282617253923	1.4236184734021409
bone	capsize	boat	N	0.318151422586025	0.4574561090005957	0.7756075315866207
woman	capsize	canoe	P	0.3686979981684265	0.42142893962266553	0.790126937791092
rabbit	capsize	canoe	N	0.28815873295518796	0.3045270287861878	0.5926857617413758
dentist	capsize	ship	P	0.2701097216368448	0.42797288640012404	0.6980826080369689
raft	capsize	ship	N	0.5311979729549404	0.5182595236141034	1.049457496569044
net	catch	ball	P	0.5063144443736255	0.4758542198757732	0.9821686642493987
water	catch	ball	N	0.4510278587678427	0.4728680643890749	0.9238959231569176
daughter	catch	bird	P	0.39057824098091243	0.5579685171875721	0.9485467581684845
rabbit	catch	bird	N	0.4832855676100643	0.6227579085411021	1.1060434761511664
closet	chafe	girl	P	0.29921822554394945	0.5142425168806966	0.813460742424646
air	chafe	girl	N	0.27850001004140673	0.5079020122493951	0.7864020222908019
elephant	chew	turtle	P	0.49380338556307124	0.6035998860942907	1.0974032716573618
infant	chew	turtle	N	0.39116554688384464	0.5218131618035147	0.9129787086873593
freezer	chill	juice	P	0.45489959801124774	0.4882137963513597	0.9431133943626074
man	chill	juice	N	0.4209152949644376	0.5832531808050677	1.0041684757695053
wind	chill	table	P	0.5060954685353325	0.5112921788722528	1.0173876474075851
stove	chill	table	N	0.49775172010403385	0.5540283946264445	1.0517801147304784
wind	chill	water	P	0.6054602118074052	0.5765990877081562	1.1820592995155614
student	chill	water	N	0.3711773843372719	0.5067791918508622	0.877956576188134
knife	chop	tree	P	0.5141863035067209	0.5311329440799262	1.045319247586647
chicken	chop	tree	N	0.47240192660122865	0.5535955637752639	1.0259974903764926
water	clean	house	P	0.550796375441435	0.5918446870183498	1.1426410624597847
dirt	clean	house	N	0.5648803565735621	0.5248691288569225	1.0897494854304846
broom	clean	room	P	0.4883054599981405	0.4503683980853059	0.9386738580834464
mud	clean	room	N	0.463339345281677	0.4987913161702556	0.9621306614519326
girl	clip	dog	P	0.5623734865525373	0.6347552238936419	1.1971287104461792
woman	clip	dog	N	0.547505423463865	0.6447234762426116	1.1922288997064765
scissors	clip	magazine	P	0.43981799871529037	0.4527861054615955	0.8926041041768858
dog	clip	magazine	N	0.44005697242416475	0.5475941727228093	0.987651145146974
knife	clip	paper	P	0.5091477147230692	0.4922744101058163	1.0014221248288855
pillow	clip	paper	N	0.43626083863525117	0.5010311780396992	0.9372920166749503
child	close	bottle	P	0.434713056267554	0.6645643130416912	1.0992773693092452
water	close	bottle	N	0.5306975268267796	0.5986883806432024	1.129385907469982
monkey	close	door	P	0.33125499233794636	0.5379323508540476	0.8691873431919939
water	close	door	N	0.3420975810820689	0.5872810026560873	0.9293785837381562
brick	construct	boat	P	0.4976263730223918	0.5092611458075897	1.0068875188299815
hay	construct	boat	N	0.36604779662728965	0.4281858071476382	0.7942336037749278
girl	construct	building	P	0.3658146681306762	0.5734382152941808	0.939252883424857
dog	construct	building	N	0.32495011418001424	0.5205141230957091	0.8454642372757233
boat	contain	lion	P	0.35092769393718554	0.6134325955653576	0.9643602895025432
purse	contain	lion	N	0.37014165871338567	0.46198156413996705	0.8321232228533527
cup	cook	egg	P	0.4601354668938224	0.4995560818213519	0.9596915487151743
elephant	cook	egg	N	0.4083604898803949	0.5711766154703701	0.9795371053507651
woman	cook	turkey	P	0.46573730546500985	0.5948275532353697	1.0605648587003795
rabbit	cook	turkey	N	0.4920448586134567	0.5429088354118397	1.0349536940252964
freezer	cool	oil	P	0.39291992177587376	0.4910856324303761	0.8840055542062499
moon	cool	oil	N	0.4040695671233885	0.4905110592149949	0.8945806263383833
ac	cool	water	P	0.31677801583153253	0.38098309628466387	0.6977611121161964
sun	cool	water	N	0.5737757355220624	0.5396003479840045	1.1133760835060669
train	crash	bike	P	0.5094943433507348	0.6079978308324422	1.1174921741831771
spatula	crash	bike	N	0.25077007240807814	0.37671140280600557	0.6274814752140837
plane	crash	house	P	0.6414399603445232	0.5758503694763366	1.2172903298208597
water	crash	house	N	0.4591862838950133	0.5918446870183498	1.0510309709133632
boat	crash	scooter	P	0.5585928195657359	0.5056953984859273	1.0642882180516633
pillow	crash	scooter	N	0.37477630829842673	0.3570206100530575	0.7317969183514843
sand	create	house	P	0.41961261066258426	0.513144490784246	0.9327571014468302
rabbit	create	house	N	0.3634705392567626	0.5248695467448928	0.8883400860016555
girl	create	skyscraper	P	0.36688345883242607	0.46076197763836607	0.8276454364707921
horse	create	skyscraper	N	0.30798375343056855	0.43061701679200864	0.7386007702225772
clown	crop	bush	P	0.40877525133281456	0.3937924026310741	0.8025676539638886
shirt	crop	bush	N	0.41031150757423823	0.4517032482973791	0.8620147558716174
scissors	crop	pants	P	0.4446249444056443	0.4489980297825056	0.8936229741881498
fire	crop	pants	N	0.44166208987530237	0.46040689431706827	0.9020689841923706
scissors	crop	paper	P	0.470382447616553	0.4439752618990666	0.9143577095156197
fire	crop	paper	N	0.3913955013347749	0.4461624787205032	0.8375579800552782
student	crop	plant	P	0.41484841897529345	0.5480692429520803	0.9629176619273737
pillow	crop	plant	N	0.35651067721269897	0.49038709610155423	0.8468977733142532
house	curb	bike	P	0.46272771931869844	0.6289940889085431	1.0917218082272415
water	curb	bike	N	0.42984144471359553	0.5408254999896596	0.9706669447032551
stairs	curb	scooter	P	0.4140048461220308	0.3751250999059129	0.7891299460279437
ant	curb	scooter	N	0.3284065961957519	0.3992311443624476	0.7276377405581995
house	curb	train	P	0.4307745289348885	0.5929788613232727	1.0237533902581613
rabbit	curb	train	N	0.30568134562823973	0.4737154853960523	0.779396831024292
coach	cut	bread	P	0.2963803455187809	0.5272738228683399	0.8236541683871208
pillow	cut	bread	N	0.40813591913162833	0.537437909870936	0.9455738290025644
knife	damage	pillow	P	0.5208158207267577	0.48023371459537995	1.0010495353221376
cotton	damage	pillow	N	0.5005246259017025	0.43059257185194	0.9311171977536425
scissors	damage	shirt	P	0.429896622299724	0.48353557902493305	0.913432201324657
wool	damage	shirt	N	0.47849579271394393	0.5032265857997927	0.9817223785137367
water	dampen	cloth	P	0.42073945672622015	0.5030552741681773	0.9237947308943975
pebbles	dampen	cloth	N	0.36143186142085487	0.460041926367737	0.8214737877885918
lion	destroy	house	P	0.34197423261193033	0.5218869029392654	0.8638611355511958
grass	destroy	house	N	0.39913255252812374	0.5221312736331999	0.9212638261613236
pen	dig	dirt	P	0.3239516215600036		0.3239516215600036
grass	dig	dirt	N	0.5016980653521694		0.5016980653521694
knife	dig	ground	P	0.3927906566730737	0.5475444857175713	0.940335142390645
air	dig	ground	N	0.509304577990134	0.602995505805763	1.112300083795897
shovel	dig	hole	P	0.6284716362027122	0.5453744040934905	1.1738460402962025
water	dig	hole	N	0.4534286475627978	0.6062059346900638	1.0596345822528617
pin	dig	mud	P	0.44072337292452907	0.37523518383295246	0.8159585567574815
air	dig	mud	N	0.4232181179181721	0.42035937734643275	0.8435774952646049
girl	dig	sand	P	0.38508455688820603	0.5471206225976223	0.9322051794858284
air	dig	sand	N	0.4465550553350624	0.6385605237028146	1.085115579037877
leg	drag	bag	P	0.4861012716247994	0.5556606473490661	1.0417619189738654
water	drag	bag	N	0.4937794012156165	0.5848770681159838	1.0786564693316003
shovel	drain	sink	P	0.45128211279872554	0.4079199583113175	0.859202071110043
pen	drain	sink	N	0.33275822608804867	0.42114772843058296	0.7539059545186316
chef	draw	pumpkin	P	0.36257576701508065		0.36257576701508065
house	draw	pumpkin	N	0.44182540233758716		0.44182540233758716
woman	drink	beer	P	0.4474824681745937	0.6398971334261944	1.0873796016007882
table	drink	beer	N	0.44390602731402906	0.5332116792387565	0.9771177065527855
chef	drink	milk	P	0.34809323433097006	0.5547558995460848	0.9028491338770549
chair	drink	milk	N	0.3900179512668967	0.49938714853873667	0.8894050998056333
chef	drive	car	P	0.3555658222305463	0.5584814035416265	0.9140472257721728
lion	drive	car	N	0.3431759102814977	0.509786103134727	0.8529620134162248
robot	drive	train	P	0.36498228139246847	0.5063353418073195	0.871317623199788
rabbit	drive	train	N	0.2954193284513389	0.4737154853960523	0.7691348138473912
bowl	dump	water	P	0.5103142028392426	0.53626354796358	1.0465777508028227
water	dump	water	N	0.8150611002870669	0.8052532622055396	1.6203143624926066
mouse	enter	basket	P	0.31558222559468807	0.44552670479175666	0.7611089303864447
elephant	enter	basket	N	0.31544049441918515	0.5108332450829824	0.8262737395021675
mouse	enter	cup	P	0.33917839885613155	0.42657449489750016	0.7657528937536318
girl	enter	cup	N	0.43302706667393304	0.7038262213542691	1.136853288028202
woman	enter	room	P	0.421499508377618	0.5844733678901333	1.0059728762677513
boat	enter	room	N	0.4465409282743372	0.6230782593855323	1.0696191876598695
eraser	erase	stain	P	0.4738608711483788		0.4738608711483788
air	erase	stain	N	0.31894515155001957		0.31894515155001957
man	erect	building	P	0.4530529809424114	0.6044390651129684	1.0574920460553798
rabbit	erect	building	N	0.299354175309586	0.4895161177731882	0.7888702930827742
student	erect	wall	P	0.34416650362894147	0.5760319856256199	0.9201984892545614
rabbit	erect	wall	N	0.3302305901374519	0.5234662119953251	0.8536968021327769
knife	etch	pebbles	P	0.38529293617558336		0.38529293617558336
pillow	etch	pebbles	N	0.43444694507059844		0.43444694507059844
knife	etch	rock	P	0.4208859070497758	0.5074330986778428	0.9283190057276186
pillow	etch	rock	N	0.405318888400371	0.568914477430009	0.97423336583038
cake	feed	rabbit	P	0.41611780386450514	0.437041124505451	0.8531589283699561
air	feed	rabbit	N	0.44846667573747906	0.4892808446888626	0.9377475204263417
