SUBJECT	VERB	OBJECT	RECIPIENT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
volunteer	bring	food	refugee	T	5.5	1.53	The volunteer brought the food to the refugee .	0.0007412118720822036	hospital_(0.056103118);front_(0.022294834);table_(0.021873958);restaurant_(0.020578805);house_(0.019733755);	3.7775216696900316e-06
spy	pass	information	government	T	6.1	0.77	The spy passed the information to the government .	0.006334527395665646	FBI_(0.16601576);CIA_(0.088172995);US_(0.027374594);U_(0.026482819);British_(0.021111207);	2.1297369130479638e-06
dealer	sell	car	manager	T	4.55	1.63	The dealer sold the car to the manager .	0.0010874018771573901	buyer_(0.18287706);owner_(0.04967946);seller_(0.040705264);victim_(0.03506444);man_(0.029249197);	1.2679145129368408e-06
parent	give	present	child	T	6.7	0.46	The parent gave the present to the child .	0.3352566361427307	child_(0.33525664);children_(0.043775257);daughter_(0.027430244);boy_(0.027395528);student_(0.025692947);	1.7666588973952457e-05
child	tell	lie	parent	T	6.0	0.84	The child told the lie to the parent .	0.0018044166499748826	police_(0.29745972);authorities_(0.032301866);doctor_(0.025332756);parents_(0.025189754);teacher_(0.024208121);	4.329885996412486e-06
child	lend	pen	deskmate	T	5.45	1.66	The child lent the pen to the deskmate .			
usurer	lend	money	gambler	T	4.75	1.92	The usurer lent the money to the gambler .			
scientist	report	finding	community	T	5.8	1.29	The scientist reported the finding to the community .	0.0004123833787161857	journal_(0.047969293);American_(0.04727895);National_(0.045727592);US_(0.032914996);World_(0.0298722);	4.593874473357573e-05
vandal	spray	paint	statue	T	6.05	0.86	The vandal sprayed the paint to the statue .	0.0026663271710276604	ceiling_(0.049015667);roof_(0.03470008);windows_(0.0295049);floor_(0.026962874);face_(0.023676764);	1.8824072967049688e-08
priest	teach	bible	believer	T	6.6	0.58	The priest taught the bible to the believer .	2.047278576355893e-05	children_(0.1452195);poor_(0.067454554);young_(0.041504);students_(0.028175507);kids_(0.025950948);	8.206984603020828e-08
policeman	put	criminal	jail	T	6.15	1.28	The policeman put the criminal to the jail .	6.191668944666162e-05	ground_(0.37948456);test_(0.2094594);floor_(0.047994934);sword_(0.025056468);witness_(0.01635988);	1.5317878876430768e-07
waiter	bring	glass	customer	T	6.6	0.49	The waiter brought the glass to the customer .	0.0013751614606007934	table_(0.6828699);bar_(0.01874876);front_(0.01381066);edge_(0.013252632);side_(0.011485134);	3.857921456074109e-06
president	give	speech	journalist	T	5.45	1.2	The president gave the speech to the journalist .	1.0796178685268387e-05	National_(0.072574675);nation_(0.0599443);American_(0.059688278);United_(0.024829628);U_(0.023187766);	1.5953389720380073e-06
salesperson	send	questionnaire	customer	T	5.45	1.28	The salesperson sent the questionnaire to the customer .	0.00949180033057928	company_(0.033617225);school_(0.017313248);students_(0.016890654);university_(0.014407385);student_(0.013295001);	3.4683671401580796e-06
employer	offer	job	unemployed	T	6.55	0.59	The employer offered the job to the unemployed .	0.012368731200695038	employee_(0.09400347);applicant_(0.06647815);candidate_(0.05143072);student_(0.04300707);person_(0.037305087);	1.1476096005935688e-05
employee	pass	report	boss	T	6.7	0.46	The employee passed the report to the boss .	0.0052896286360919476	police_(0.04509006);company_(0.03619607);FBI_(0.02886639);manager_(0.014018747);city_(0.012744656);	1.7456164641771466e-05
teacher	lend	book	student	T	5.95	1.47	The teacher lent the book to the student .	0.10496062785387039	students_(0.17920592);student_(0.10496063);school_(0.050286178);class_(0.033726558);boy_(0.028920796);	0.0003621840151026845
pusher	sell	drug	addict	T	4.65	2.61	The pusher sold the drug to the addict .	0.0023989835754036903	police_(0.042095944);patient_(0.02607065);undercover_(0.021007573);victim_(0.0199461);man_(0.018799344);	1.124481514125364e-06
priest	promise	salvation	believer	T	5.9	1.76	The priest promised the salvation to the believer .	0.001224134350195527	people_(0.080091126);poor_(0.059457853);faithful_(0.029429281);children_(0.029078433);man_(0.015835986);	8.206984603020828e-08
hostess	explain	procedure	passenger	T	3.65	2.39	The hostess explained the procedure to the passenger .	0.00134288240224123	guests_(0.036326513);host_(0.027945947);audience_(0.02393683);woman_(0.022382848);man_(0.019262861);	9.420674729199163e-08
child	throw	ball	friend	T	6.35	0.79	The child threw the ball to the friend .	0.0006940574967302382	other_(0.046665527);ground_(0.0409216);left_(0.037297368);right_(0.026543815);back_(0.018865945);	5.254712959867902e-06
