SUBJECT	VERB	OBJECT	LOCATION	typicality	mean_rat	std_rat LM
boxer	deliver	punch	ring	T	6.85	0.48  on
singer	begin	performance	theater	T	5.35	1.96  in
mechanic	assemble	bicycle	garage	T	4.2	2.29  in
waiter	clear	table	restaurant	T	6.4	1.28  at
mechanic	check	tire	garage	T	6.7	0.46  in
surfer	catch	wave	sea	T	6.75	0.54  in
player	begin	match	stadium	T	6.25	1.41  in
guide	describe	monument	square	T	5.75	1.81  in
student	drink	beer	pub	T	4.95	2.29  at
guest	hang	coat	passageway	T	5.2	2.16  in
gardener	cut	grass	garden	T	6.9	0.3 in
hound	fetch	bird	forest	T	3.9	2.39  in
soldier	fight	enemy	battlefield	T	5.85	1.82  in
surfer	grab	board	beach	T	6.65	1.11  at
demonstrator	carry	flag	square	T	5.05	1.77  in
librarian	climb	ladder	library	T	6.4	0.8 in
coach	check	team	locker_room	T	5.85	1.65  in
athlete	celebrate	victory	podium	T	6.5	0.67  on
child	climb	tree	garden	T	5.0	1.87  in
refugee	find	shelter	church	T	4.8	1.81  in
president	deliver	speech	parliament	T	6.3	1.31    in
lumberjack	cut	tree	forest	T	6.55	1.16  in
policeman	capture	thief	street	T	6.3	1.35    in
veterinarian	examine	dog	clinic	T	6.5	1.24  at
monkey	grab	banana	zoo	T	6.2	0.75  at
burglar	climb	wall	garden	T	4.95	2.04  in
surgeon	examine	patient	hospital	T	6.55	1.32  at
policeman	check	bag	airport	T	5.95	1.32  at
chemist	mix	substance	laboratory	T	6.65	1.11  in
cyclist	complete	race	peak	T	4.2	2.2 on
botanist	examine	plant	greenhouse	T	6.05	1.2 in
engineer	complete	project	office	T	6.1	0.99  in
passenger	buy	ticket	station	T	6.55	0.86  at
porter	carry	bag	room	T	4.25	2.61  in
priest	celebrate	marriage	church	T	6.15	1.39  in
scoutmaster	assemble	tent	forest	T	6.4	0.66  in
soldier	gather	ammunition	armory	T	6.2	1.36  in
musician	entertain	crowd	theater	T	6.4	1.36  in
fisherman	catch	fish	sea	T	6.7	1.1  in
soldier	dig	trench	battlefield	T	5.7	1.76  in
child	draw	flower	school	T	6.35	1.01  at
singer	hold	microphone	stage	T	6.75	0.62  on
professor	deliver	lecture	university	T	6.65	0.65  at
soldier	celebrate	victory	battlefield	T	5.6	1.85  in
carver	build	sculpture	workshop	T	6.2	0.75  in
philologist	examine	book	library	T	6.2	1.12  in
spectator	buy	ticket	box_office	T	6.55	0.59  in
cook	clean	fish	kitchen	T	6.7	0.71  in
mother	hang	laundry	terrace	T	5.65	1.24  in
soldier	carry	rifle	battlefield	T	6.55	1.32  in
actor	win	award	theater	T	5.6	1.43  in
