SUBJECT	VERB	OBJECT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
woman	paint	toenail	T	6.1	1.51	The woman painted the toenail .			
reporter	hold	camera	T	4.5	1.57	The reporter held the camera .	0.05335663631558418	camera_(0.053356636);microphone_(0.0498714);phone_(0.030043378);news_(0.020775856);press_(0.017923305);	1.2929242984682787e-05
programmer	use	computer	T	7.0	0.0	The programmer used the computer .	0.001584832207299769	code_(0.02747648);term_(0.022746326);same_(0.018928286);word_(0.018275514);following_(0.013010597);	0.0015885841567069292
mason	mix	cement	T	6.65	0.65	The mason mixed the cement .	0.009186270646750927	two_(0.025534194);clay_(0.009784407);water_(0.009651693);ingredients_(0.0095025655);cement_(0.009186271);	1.463875409779547e-10
bodybuilder	lift	weight	T	6.45	1.66	The bodybuilder lifted the weight .	0.033223867416381836	bar_(0.0785871);world_(0.033412993);weight_(0.033223867);first_(0.026809817);weights_(0.01737667);	1.933551175170578e-05
lumberjack	use	saw	T	6.15	1.77	The lumberjack used the saw .	0.0007576539064757526	"same_(0.018402828);rope_(0.017358698);power_(0.009436969);knife_(0.0078209555);""_(0.0068910248);"	2.4191705961129628e-05
tailor	sew	dress	T	6.55	0.59	The tailor sewed the dress .	0.017721937969326973	suit_(0.02883762);shirt_(0.02258471);dress_(0.017721938);clothes_(0.01661713);new_(0.011449391);	3.930529857143483e-08
skier	gain	speed	T	6.75	0.43	The skier gained the speed .	0.0007738327258266509	nickname_(0.3010203);title_(0.06014403);reputation_(0.038417585);top_(0.028277686);attention_(0.026118487);	3.4294990314265306e-07
jockey	ride	horse	T	6.2	1.47	The jockey rode the horse .	0.05884043499827385	horse_(0.058840435);train_(0.03312557);rails_(0.025989052);bus_(0.022608984);horses_(0.021724442);	8.837057066557463e-06
fighter	kick	opponent	T	5.55	1.77	The fighter kicked the opponent .	0.00997281726449728	ball_(0.10705195);door_(0.08980081);air_(0.013607741);ground_(0.012732383);bag_(0.010150366);	2.0314392656928248e-07
singer	perform	music	T	6.7	0.56	The singer performed the music .	0.0035628441255539656	"song_(0.36180985);hit_(0.04220973);track_(0.023628788);""_(0.014927184);cover_(0.014740563);"	6.649266651947983e-06
firefighter	fight	fire	T	7.0	0.0	The firefighter fought the fire .	0.14800691604614258	blaze_(0.15052247);fire_(0.14800692);flames_(0.038731467);wind_(0.01332817);urge_(0.011108779);	8.064598659984767e-05
policeman	capture	thief	T	6.8	0.51	The policeman captured the thief .	0.00011000595986843109	moment_(0.12501757);incident_(0.07490471);video_(0.044839367);shooting_(0.023096126);attack_(0.022956815);	3.3030580652848585e-06
farmer	plow	field	T	6.8	0.51	The farmer plowed the field .	0.14660722017288208	fields_(0.17704996);field_(0.14660722);land_(0.05181817);dirt_(0.029604277);earth_(0.0209085);	4.180057203484466e-06
thief	grab	money	T	5.0	2.21	The thief grabbed the money .	0.012578798457980156	keys_(0.02822677);phone_(0.027015053);bag_(0.0227903);cash_(0.019005578);camera_(0.01860814);	1.182485902972985e-05
knight	hold	sword	T	6.5	0.92	The knight held the sword .	0.1330156922340393	sword_(0.13301569);blade_(0.01739337);reins_(0.013984711);spear_(0.01291895);key_(0.012113752);	2.8161328373244032e-05
sailor	tie	rope	T	6.25	0.7	The sailor tied the rope .	0.01702144183218479	knot_(0.72071743);knots_(0.031560473);rope_(0.017021442);tie_(0.0054514315);boat_(0.0038808917);	1.375032411488064e-06
deejay	mix	music	T	6.65	1.11	The deejay mixed the music .	0.02504730597138405	crowd_(0.04372458);music_(0.025047306);two_(0.019420141);sound_(0.015468682);show_(0.0151450895);	4.294280643080128e-06
athlete	start	match	T	4.15	2.37	The athlete started the match .	0.005704970099031925	season_(0.16807233);day_(0.11557513);year_(0.07167469);game_(0.031047352);race_(0.030037533);	0.00012131578841945156
librarian	climb	ladder	T	5.1	1.67	The librarian climbed the ladder .	0.04598713293671608	stairs_(0.34241435);steps_(0.08816769);ladder_(0.045987133);staircase_(0.018287534);tower_(0.011494185);	5.809928893540928e-07
photographer	use	camera	T	6.65	1.31	The photographer used the camera .	0.03312284126877785	same_(0.035284914);camera_(0.03312284);lens_(0.017955346);photo_(0.01655336);image_(0.009511526);	1.2929242984682787e-05
politician	sign	agreement	T	6.35	0.73	The politician signed the agreement .	0.01943390443921089	bill_(0.17450844);letter_(0.08038492);document_(0.042748168);petition_(0.041223895);order_(0.022656834);	1.3192450296628522e-06
magician	read	hand	T	4.4	2.08	The magician read the hand .	0.001575498259626329	script_(0.035010956);book_(0.032395653);words_(0.030371666);letter_(0.017471611);spell_(0.014952017);	1.8993669073097408e-05
doctor	use	stethoscope	T	5.85	1.68	The doctor used the stethoscope .			
champion	hold	cup	T	6.4	0.86	The champion held the cup .	0.0022882719058543444	title_(0.06588608);record_(0.027121201);lead_(0.02598964);world_(0.017985063);first_(0.01578072);	2.524015144445002e-05
bartender	shake	drink	T	6.25	1.37	The bartender shook the drink .	0.01805739477276802	glass_(0.0718052);bottle_(0.06283062);hand_(0.03889206);beer_(0.022752617);bartender_(0.018684119);	0.00012980465544387698
dealer	check	car	T	5.9	0.94	The dealer checked the car .	0.052483152598142624	car_(0.052483153);vehicle_(0.045669526);condition_(0.0173714);engine_(0.017162206);gun_(0.010757876);	8.074366633081809e-06
botanist	examine	plant	T	6.55	1.16	The botanist examined the plant .	0.04430820420384407	plant_(0.044308204);plants_(0.029355058);soil_(0.013791649);remains_(0.013271498);bot_(0.012395714);	2.837829197233077e-05
porter	stack	suitcase	T	5.5	2.27	The porter stacked the suitcase .	0.0006928742513991892	deck_(0.02798678);shelves_(0.027816694);crates_(0.018851465);bar_(0.017667478);beer_(0.016081635);	4.129016573095612e-10
carpenter	flip	board	T	6.35	0.91	The carpenter flipped the board .	0.0011894210474565625	switch_(0.13805543);bird_(0.0427901);car_(0.03893973);lid_(0.02676061);keys_(0.022063794);	4.620732579496689e-05
climber	climb	rock	T	6.8	0.4	The climber climbed the rock .	0.0027595232240855694	first_(0.04251887);highest_(0.040790603);world_(0.028101541);last_(0.018108178);mountain_(0.01677354);	7.213060143840266e-06
electrician	check	device	T	5.35	1.77	The electrician checked the device .	0.002612035721540451	battery_(0.049660683);wiring_(0.03664572);electrical_(0.02029722);electric_(0.0145923495);power_(0.014024334);	1.8437447579344735e-05
skipper	assemble	sailboat	T	3.8	1.83	The skipper assembled the sailboat .			
baker	sell	bread	T	6.45	1.16	The baker sold the bread .	0.021620050072669983	cake_(0.083816685);cookies_(0.035904728);cakes_(0.03322013);bread_(0.02162005);pies_(0.019033248);	6.403133312460341e-08
driver	hear	horn	T	5.75	1.79	The driver heard the horn .	0.009580348618328571	crash_(0.063262634);noise_(0.03864955);car_(0.031131223);sound_(0.022788256);loud_(0.019181732);	6.03132477294821e-08
sculptor	carve	stone	T	5.55	1.66	The sculptor carved the stone .	0.002170772524550557	face_(0.04278587);statue_(0.028995905);figure_(0.02679924);figures_(0.020526066);likeness_(0.019727381);	8.890299795893952e-06
pilot	begin	race	T	4.8	2.23	The pilot began the race .	0.003727060044184327	flight_(0.0783569);process_(0.03356591);day_(0.02872359);mission_(0.018133717);night_(0.017773485);	0.00016798119759187102
