SUBJECT	VERB	OBJECT	RECIPIENT	typicality	mean_rat	std_rat
volunteer	bring	food	refugee	T	5.5	1.53
spy	pass	information	government	T	6.1	0.77
dealer	sell	car	manager	T	4.55	1.63
parent	give	present	child	T	6.7	0.46
child	tell	lie	parent	T	6.0	0.84
child	lend	pen	deskmate	T	5.45	1.66
usurer	lend	money	gambler	T	4.75	1.92
scientist	report	finding	community	T	5.8	1.29
vandal	spray	paint	statue	T	6.05	0.86
priest	teach	bible	believer	T	6.6	0.58
policeman	put	criminal	jail	T	6.15	1.28
waiter	bring	glass	customer	T	6.6	0.49
president	give	speech	journalist	T	5.45	1.2
salesperson	send	questionnaire	customer	T	5.45	1.28
employer	offer	job	unemployed	T	6.55	0.59
employee	pass	report	boss	T	6.7	0.46
teacher	lend	book	student	T	5.95	1.47
pusher	sell	drug	addict	T	4.65	2.61
priest	promise	salvation	believer	T	5.9	1.76
hostess	explain	procedure	passenger	T	3.65	2.39
child	throw	ball	friend	T	6.35	0.79
librarian	put	book	shelf	T	6.6	0.49
reporter	bring	news	editor	T	6.1	1.26
collector	donate	painting	museum	T	5.5	1.2
porter	load	luggage	van	T	4.65	2.2
mechanic	rent	truck	dealer	T	4.5	1.86
programmer	load	file	server	T	6.3	0.71
traveller	hand	bag	policeman	T	2.75	1.48
sergeant	assign	mission	soldier	T	6.1	1.37
diplomat	carry	message	ally	T	5.6	1.36
witness	report	crime	policeman	T	6.4	1.16
student	send	email	professor	T	6.25	0.89
sculptor	teach	art	pupil	T	5.55	1.36
demonstrator	throw	stone	policeman	T	4.7	1.68
nurse	hand	lancet	surgeon	T	6.0	1.3
doctor	offer	support	patient	T	6.65	0.79
investor	rent	land	farmer	T	4.3	2.0
beautician	spread	cream	face	T	6.15	1.49
professor	donate	book	student	T	6.0	1.05
jeweller	put	necklace	safe	T	6.15	1.46
hairstylist	spray	foam	hair	T	5.85	1.11
patient	report	symptom	doctor	T	6.65	0.48
witness	explain	circumstances	policeman	T	6.3	1.49
mechanic	spread	coating	car	T	5.3	1.38
crew	load	container	ship	T	6.0	1.64
boss	promise	promotion	employee	T	6.15	0.57
scientist	report	finding	journalist	T	5.55	1.32
soldier	throw	bomb	enemy	T	6.35	0.85
waiter	pour	wine	glass	T	6.1	1.51
grandfather	tell	story	grandchild	T	6.85	0.36
professor	teach	language	refugee	T	3.45	1.63
journalist	carry	article	editor	T	5.9	1.61
blacksmith	pour	metal	mold	T	6.0	1.48
priest	teach	bible	child	T	5.7	1.35
traveller	hand	bag	porter	T	4.6	2.56
billionaire	donate	money	foundation	T	6.75	0.54
salesperson	send	questionnaire	consumer	T	5.2	1.69
bartender	hand	drink	customer	T	6.85	0.36
dealer	sell	car	family	T	6.5	0.59
president	give	speech	people	T	6.6	0.73
farmer	spray	pesticide	tree	T	6.4	0.97
bank	assign	code	customer	T	6.45	1.02
diplomat	carry	message	president	T	6.55	1.12
student	send	email	friend	T	6.65	0.91
boss	assign	job	employee	T	6.95	0.22
mechanic	spread	coating	boat	T	2.9	1.26
witness	explain	circumstances	judge	T	6.55	0.59
vandal	spray	paint	train	T	6.0	1.18
child	tell	lie	teacher	T	5.85	1.62
soldier	throw	bomb	tank	T	6.3	1.38
chauffeur	carry	passenger	hotel	T	6.5	0.87
crew	load	container	barge	T	5.5	2.18
scientist	report	finding	colleague	T	6.85	0.36
teacher	give	homework	student	T	6.9	0.3
government	offer	protection	refugee	T	6.4	0.92
waiter	pour	wine	jug	T	4.6	1.66
student	send	email	secretariat	T	3.2	1.75
general	send	soldier	fort	T	5.65	1.68
porter	load	luggage	elevator	T	5.45	1.63
president	promise	reform	people	T	6.9	0.3
farmer	sell	corn	factory	T	6.05	1.32
waiter	bring	glass	guest	T	6.95	0.22
doctor	offer	support	soldier	T	5.95	1.24
doctor	offer	support	wounded	T	6.8	0.51
teacher	explain	exercise	student	T	6.7	1.1
billionaire	donate	money	hospital	T	5.3	1.23
professor	donate	book	library	T	5.3	1.52
policeman	put	criminal	car	T	6.3	1.27
president	promise	reform	voter	T	6.8	0.51
manager	rent	room	landlord	T	3.7	1.9
chauffeur	carry	passenger	airport	T	5.6	1.93
employer	offer	job	worker	T	6.6	1.32
jeweller	put	necklace	showcase	T	6.6	0.8
footballer	pass	ball	teammate	T	6.9	0.3
child	throw	ball	dog	T	6.1	0.83
anchorman	tell	news	audience	T	6.7	1.1
government	offer	protection	witness	T	5.35	1.46
beautician	spread	cream	hand	T	5.9	1.14
professor	teach	language	child	T	5.75	1.26
witness	report	crime	journalist	T	4.45	1.56
footballer	pass	ball	goalkeeper	T	6.45	1.43
chemist	pour	compound	phial	T	6.25	1.26
confectioner	spread	icing	cake	T	6.6	0.73
professor	teach	language	foreigner	T	5.9	1.14
teacher	lend	book	colleague	T	6.35	1.01
hostess	explain	procedure	butcher	AT	2.0	1.22
porter	load	luggage	shuttle	AT	5.4	1.93
priest	promise	salvation	plumber	AT	2.95	1.6
volunteer	bring	food	judge	AT	2.15	1.82
demonstrator	throw	stone	porter	AT	1.4	0.66
spy	pass	information	bartender	AT	2.4	1.16
programmer	load	file	television	AT	2.8	1.57
mechanic	rent	truck	baker	AT	2.0	1.76
usurer	lend	money	librarian	AT	2.55	1.53
grandfather	tell	story	beautician	AT	2.85	1.59
president	give	speech	nurse	AT	2.7	1.38
crew	load	container	car	AT	3.95	2.11
soldier	throw	bomb	postman	AT	2.0	1.87
waiter	bring	glass	soldier	AT	3.65	1.74
dealer	sell	car	child	AT	2.1	1.97
child	tell	lie	dancer	AT	2.15	1.59
professor	donate	book	actor	AT	2.25	1.41
employer	offer	job	patient	AT	2.2	1.66
professor	teach	language	surfer	AT	3.1	1.81
doctor	offer	support	dolphin	AT	1.85	0.85
