SUBJECT	VERB	OBJECT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
woman	paint	toenail	T	6.1	1.51	The woman painted the toenail .			
reporter	hold	camera	T	4.5	1.57	The reporter held the camera .	0.10577245056629181	camera_(0.10577245);phone_(0.09770232);microphone_(0.07847937);gun_(0.022898382);pen_(0.01752555);	3.49165702573373e-07
programmer	use	computer	T	7.0	0.0	The programmer used the computer .	7.782733882777393e-05	following_(0.3677573);command_(0.06491401);syntax_(0.026509171);format_(0.015607736);string_(0.014276588);	2.3568584310851293e-06
mason	mix	cement	T	6.65	0.65	The mason mixed the cement .	0.07214067131280899	stones_(0.08796914);cement_(0.07214067);stone_(0.06351958);mortar_(0.028179765);bricks_(0.019311508);	3.143656840620679e-06
bodybuilder	lift	weight	T	6.45	1.66	The bodybuilder lifted the weight .	0.0540035218000412	weights_(0.061665017);bar_(0.05725228);weight_(0.05400352);lid_(0.026861463);hammer_(0.02401883);	6.509913418994984e-06
lumberjack	use	saw	T	6.15	1.77	The lumberjack used the saw .	0.007764497771859169	axe_(0.0692536);knife_(0.041785166);word_(0.038193274);._(0.028606098);hammer_(0.01824477);	3.957479748351034e-06
tailor	sew	dress	T	6.55	0.59	The tailor sewed the dress .	0.040176134556531906	garment_(0.0578671);dress_(0.040176135);shirt_(0.031961024);coat_(0.021838887);suit_(0.019343311);	6.082272534513322e-07
skier	gain	speed	T	6.75	0.43	The skier gained the speed .	0.00224740500561893	win_(0.06111927);lead_(0.055527586);title_(0.05085749);most_(0.038822956);record_(0.037961833);	4.4266226950639975e-07
jockey	ride	horse	T	6.2	1.47	The jockey rode the horse .	0.384394109249115	horse_(0.3843941);bull_(0.069978535);horses_(0.035058394);train_(0.021496596);winner_(0.017400108);	1.4623097968069487e-06
fighter	kick	opponent	T	5.55	1.77	The fighter kicked the opponent .	0.03225322812795639	referee_(0.06932942);man_(0.05849536);opponent_(0.032253228);victim_(0.02522379);ground_(0.021089261);	4.10619449553451e-08
