SUBJECT	VERB	OBJECT	typicality	sentence	computed_score	best_completions	baseline_score
ac	cool	water	P	The ac cooled the water .	-3.4641976356506348	room_(-2.4355302);water_(-3.4641976);car_(-3.5607133);air_(-3.5829988);house_(-4.109076);	-13.93812370300293
ac	cool	fire	N	The ac cooled the fire .	-6.369162082672119	room_(-2.4355302);water_(-3.4641976);car_(-3.5607133);air_(-3.5829988);house_(-4.109076);	-14.250478744506836
air	poison	rabbit	P	The air poisoned the rabbit .	-9.788022994995117	water_(-2.7889614);soil_(-3.0759335);earth_(-3.452734);children_(-3.5543728);city_(-3.6807613);	-15.229463577270508
air	poison	banana	N	The air poisoned the banana .	-11.072431564331055	water_(-2.7889614);soil_(-3.0759335);earth_(-3.452734);children_(-3.5543728);city_(-3.6807613);	-17.982236862182617
ant	build	wall	P	The ant built the wall .	-4.020814418792725	house_(-2.4100435);bridge_(-3.355539);castle_(-3.6989076);nest_(-3.8539178);city_(-3.952051);	-15.30702018737793
ant	build	frame	N	The ant built the frame .	-7.270380020141602	house_(-2.4100435);bridge_(-3.355539);castle_(-3.6989076);nest_(-3.8539178);city_(-3.952051);	-13.747865676879883
ant	heave	sand	P	The ant heaved the sand .	-5.460625648498535	ball_(-3.1423275);stone_(-3.3913052);egg_(-3.4720547);rock_(-4.010812);earth_(-4.1638727);	-10.73468017578125
ant	heave	pumpkin	N	The ant heaved the pumpkin .	-8.996960639953613	ball_(-3.1423275);stone_(-3.3913052);egg_(-3.4720547);rock_(-4.010812);earth_(-4.1638727);	-15.119129180908203
ant	lift	leaf	P	The ant lifted the leaf .	-4.489238262176514	lid_(-2.2967181);bag_(-3.9668498);stone_(-4.3341746);paper_(-4.419456);shoe_(-4.4285083);	-18.171586990356445
ant	lift	dumbbell	N	The ant lifted the dumbbell .			
ant	seize	pin	P	The ant seized the pin .	-7.576999187469482	egg_(-3.6217875);mouse_(-3.6273036);pen_(-3.8452487);food_(-4.252258);apple_(-4.393394);	-14.262922286987305
ant	seize	car	N	The ant seized the car .	-5.7882914543151855	egg_(-3.6217875);mouse_(-3.6273036);pen_(-3.8452487);food_(-4.252258);apple_(-4.393394);	-13.64307975769043
ant	tackle	ant	P	The ant tackled the ant .	-4.369908332824707	spider_(-2.7115371);mouse_(-3.2542274);beetle_(-3.8736541);man_(-3.9714518);bird_(-3.9914558);	-15.122831344604492
ant	tackle	rabbit	N	The ant tackled the rabbit .	-5.494118690490723	spider_(-2.7115371);mouse_(-3.2542274);beetle_(-3.8736541);man_(-3.9714518);bird_(-3.9914558);	-15.229463577270508
ant	tug	leaf	P	The ant tugged the leaf .	-4.791517734527588	string_(-1.645415);thread_(-2.630202);strings_(-3.8223636);rope_(-3.984698);hair_(-4.0803285);	-16.383365631103516
ant	tug	table	N	The ant tugged the table .	-9.970770835876465	string_(-1.645415);thread_(-2.630202);strings_(-3.8223636);rope_(-3.984698);hair_(-4.0803285);	-12.639949798583984
arm	fasten	girl	P	The arm fastened the girl .	-8.522658348083496	belt_(-1.395778);zipper_(-3.565059);strap_(-3.590072);clasp_(-3.672355);other_(-3.8908226);	-13.866630554199219
arm	fasten	house	N	The arm fastened the house .	-10.27344036102295	belt_(-1.395778);zipper_(-3.565059);strap_(-3.590072);clasp_(-3.672355);other_(-3.8908226);	-13.887588500976562
arm	hold	monkey	P	The arm held the monkey .	-9.55522632598877	gun_(-2.9419105);book_(-3.0591743);knife_(-3.1217544);phone_(-3.6092536);sword_(-3.718068);	-16.756223678588867
arm	hold	house	N	The arm held the house .	-7.889885425567627	gun_(-2.9419105);book_(-3.0591743);knife_(-3.1217544);phone_(-3.6092536);sword_(-3.718068);	-14.955656051635742
arm	hook	spatula	P	The arm hooked the spatula .			
arm	hook	house	N	The arm hooked the house .	-6.7999043464660645	wrist_(-3.1084144);neck_(-3.1643302);shoulder_(-3.2425354);other_(-3.4043624);back_(-3.8012512);	-14.955656051635742
bag	contain	rabbit	P	The bag contained the rabbit .	-11.653580665588379	following_(-0.38160008);:_(-2.7716336);items_(-3.7468574);drugs_(-4.116444);goods_(-4.2511067);	-15.229463577270508
bag	contain	dolphin	N	The bag contained the dolphin .	-13.44539737701416	following_(-0.38160008);:_(-2.7716336);items_(-3.7468574);drugs_(-4.116444);goods_(-4.2511067);	-16.063932418823242
baker	bake	cake	P	The baker baked the cake .	-1.323567509651184	cake_(-1.3235675);cookies_(-1.909093);bread_(-2.649003);cakes_(-3.882413);pies_(-4.065297);	-16.782194137573242
baker	bake	chair	N	The baker baked the chair .	-10.279595375061035	cake_(-1.3235675);cookies_(-1.909093);bread_(-2.649003);cakes_(-3.882413);pies_(-4.065297);	-17.05329704284668
balloon	leak	air	P	The balloon leaked the air .	-8.538047790527344	information_(-2.7705424);video_(-2.7705996);message_(-3.1933978);data_(-3.2401621);news_(-3.4195635);	-14.473501205444336
balloon	leak	rabbit	N	The balloon leaked the rabbit .	-11.063591003417969	information_(-2.7705424);video_(-2.7705996);message_(-3.1933978);data_(-3.2401621);news_(-3.4195635);	-15.229463577270508
barber	pack	laptop	P	The barber packed the laptop .	-7.284370422363281	bag_(-2.3976514);bags_(-3.2092054);box_(-3.6716878);car_(-3.8237379);cart_(-3.8493268);	-16.90924072265625
barber	pack	ship	N	The barber packed the ship .	-9.366928100585938	bag_(-2.3976514);bags_(-3.2092054);box_(-3.6716878);car_(-3.8237379);cart_(-3.8493268);	-13.984554290771484
barrier	halt	person	P	The barrier halted the person .	-8.152238845825195	train_(-2.8415968);attack_(-3.1736243);march_(-3.46184);protest_(-3.5255988);rally_(-3.9701865);	-17.023481369018555
barrier	halt	house	N	The barrier halted the house .	-10.121831893920898	train_(-2.8415968);attack_(-3.1736243);march_(-3.46184);protest_(-3.5255988);rally_(-3.9701865);	-14.955656051635742
basket	carry	hat	P	The basket carried the hat .	-7.217173099517822	baby_(-3.8589158);food_(-3.9626412);fruit_(-4.083838);eggs_(-4.402022);goods_(-4.4916596);	-15.572553634643555
basket	carry	house	N	The basket carried the house .	-7.317293643951416	baby_(-3.8589158);food_(-3.9626412);fruit_(-4.083838);eggs_(-4.402022);goods_(-4.4916596);	-14.955656051635742
bat	strike	car	P	The bat struck the car .	-6.627857685089111	wall_(-1.2612768);ground_(-2.5095792);fence_(-2.558152);ball_(-3.1298683);window_(-3.970078);	-13.64307975769043
bat	strike	water	N	The bat struck the water .	-5.234421253204346	wall_(-1.2612768);ground_(-2.5095792);fence_(-2.558152);ball_(-3.1298683);window_(-3.970078);	-13.93812370300293
beak	scratch	hand	P	The beak scratched the hand .	-5.583728790283203	ground_(-2.8843727);skin_(-2.9957314);bird_(-3.2905045);head_(-3.783451);face_(-3.9069824);	-11.630073547363281
beak	scratch	oil	N	The beak scratched the oil .	-8.284839630126953	ground_(-2.8843727);skin_(-2.9957314);bird_(-3.2905045);head_(-3.783451);face_(-3.9069824);	-11.825782775878906
beak	tap	finger	P	The beak tapped the finger .	-6.764997482299805	ground_(-2.9525816);water_(-3.463774);egg_(-3.9851592);glass_(-4.0047016);air_(-4.1019497);	-14.741340637207031
