SUBJECT	VERB	OBJECT	TIME	typicality	LM	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
cyclist	complete	race	tour	T	during	5.35	2.01	The cyclist completed the race during the tour .	0.00013256657985039055	race_(0.40713215);sprint_(0.16659297);day_(0.081571385);marathon_(0.07712645);afternoon_(0.03398663);	1.7122815165748762e-07
spectator	enjoy	game	championship	T	during	5.9	1.73	The spectator enjoyed the game during the championship .	0.0005836637574248016	game_(0.16132343);night_(0.11093394);match_(0.09812505);evening_(0.07206351);afternoon_(0.055349734);	1.4495753930532373e-07
refugee	find	shelter	bombing	T	during	5.15	2.2	The refugee found the shelter during the bombing .	0.0018341022077947855	night_(0.28726393);day_(0.0748385);storm_(0.059085146);winter_(0.04520371);war_(0.042069167);	2.0482112006448006e-07
demonstrator	carry	flag	demonstration	T	during	5.95	1.28	The demonstrator carried the flag during the demonstration .	0.028501316905021667	ceremony_(0.11276995);rally_(0.087900065);parade_(0.06327022);event_(0.05832495);game_(0.05097853);	1.0758297364077407e-08
soldier	check	rifle	drill	T	during	5.6	1.83	The soldier checked the rifle during the drill .	0.0011580566642805934	exchange_(0.05904005);conversation_(0.052039348);meal_(0.049701158);silence_(0.04210157);night_(0.027143054);	2.7186839446358135e-09
roofer	climb	ladder	repair	T	during	6.3	1.19	The roofer climbed the ladder during the repair .	0.00020853205933235586	night_(0.07512856);climb_(0.047779903);descent_(0.044046722);storm_(0.036136396);ascent_(0.035558175);	3.2125484494827106e-08
child	climb	tree	game	T	during	5.35	1.62	The child climbed the tree during the game .	0.024374911561608315	night_(0.07395225);ceremony_(0.059409954);day_(0.04688008);game_(0.024374912);descent_(0.023933249);	1.3662746596310171e-06
hound	fetch	bird	hunting	T	during	5.7	1.76	The hound fetched the bird during the hunting .	0.0019173331093043089	night_(0.20506944);day_(0.10653269);hunt_(0.058971856);meal_(0.04172262);battle_(0.025592094);	2.2246455344543392e-08
scoutmaster	assemble	tent	excursion	T	during	6.2	1.54	The scoutmaster assembled the tent during the excursion .			
president	deliver	speech	election	T	after	6.2	1.81	The president delivered the speech after the election .	0.050310466438531876	ceremony_(0.17815326);election_(0.050310466);funeral_(0.035513546);event_(0.034183312);inauguration_(0.030150073);	1.2124918846723176e-09
waiter	deliver	drink	party	T	during	6.15	1.65	The waiter delivered the drink during the party .	0.004792758263647556	meal_(0.20541741);night_(0.06862273);evening_(0.037950955);conversation_(0.03021435);dinner_(0.023945758);	3.588933736864419e-07
