SUBJECT	VERB	OBJECT	INSTRUMENT	typicality	mean_rat	std_rat
gardener	cut	grass	mower	T	6.65	0.65
waiter	deliver	drink	tray	T	6.8	0.4
mechanic	assemble	bicycle	wrench	T	4.9	2.49
carver	build	sculpture	chisel	T	5.85	1.98
mechanic	check	tire	compressor	T	6.35	0.79
housemaid	clean	window	cloth	T	6.7	0.56
hairstylist	flip	hair	hairbrush	T	6.65	0.73
policeman	capture	thief	gun	T	5.95	1.02
painter	paint	picture	brush	T	5.95	2.01
archer	release	arrow	bow	T	6.35	1.8
chemist	mix	substance	centrifuge	T	4.85	1.88
botanist	examine	plant	microscope	T	6.5	0.74
philologist	examine	book	magnifier	T	6.35	0.96
mother	hang	laundry	clothespin	T	6.25	1.41
mason	fix	wall	plaster	T	6.0	1.58
porter	carry	bag	elevator	T	5.0	2.21
policeman	hit	demonstrator	baton	T	5.1	2.12
cook	mix	ingredient	ladle	T	6.25	1.37
waiter	open	bottle	corkscrew	T	6.45	1.36
fisherman	catch	fish	net	T	6.8	0.4
gardener	gather	grass	rake	T	6.8	0.4
child	cross	park	bicycle	T	6.2	1.03
mason	mix	cement	trowel	T	6.0	1.45
pyromaniac	start	fire	gasoline	T	5.75	2.05
milkman	carry	bottle	van	T	6.7	0.56
lumberjack	cut	tree	saw	T	6.6	1.32
climber	face	wall	rope	T	6.7	0.64
soldier	fight	enemy	rifle	T	6.8	0.51
cobbler	fix	shoe	glue	T	6.45	0.67
cyclist	fix	bike	screwdriver	T	5.25	1.41
housemaid	wash	floor	mop	T	6.7	0.64
housemaid	clean	dish	sponge	T	6.75	0.54
butcher	carve	meat	knife	T	6.35	1.53
author	sign	book	pen	T	6.65	0.57
confectioner	decorate	cake	spatula	T	6.55	0.67
hairstylist	fix	hair	hairdryer	T	6.25	1.67
photographer	capture	image	camera	T	6.9	0.3
soldier	cross	river	truck	T	4.65	2.29
hairstylist	wash	hair	shampoo	T	6.55	1.32
scoutmaster	assemble	tent	hammer	T	4.95	2.2
illustrator	draw	picture	pencil	T	6.5	1.36
surgeon	perform	surgery	lancet	T	5.1	2.32
veterinarian	examine	dog	stethoscope	T	6.2	1.21
guard	open	jail	key	T	6.15	1.11
general	gather	soldier	trumpet	T	5.35	1.82
barber	cut	beard	razor	T	6.65	0.96
postman	deliver	mail	bicycle	T	4.5	1.66
cook	clean	fish	knife	T	6.45	0.92
farmer	plow	field	tractor	T	6.85	0.48
climber	climb	rock	rope	T	6.9	0.3
porter	carry	bag	van	T	3.75	1.87
waiter	clear	table	cloth	T	5.9	1.41
astronaut	reach	moon	shuttle	T	5.3	2.35
cook	flip	pancake	spatula	T	6.15	1.24
musician	touch	instrument	plectrum	T	5.8	1.63
goalkeeper	grab	ball	hand	T	6.5	1.32
businessman	read	report	laptop	T	6.4	0.66
hairstylist	fix	hair	gel	T	6.25	0.7
student	send	email	laptop	T	6.6	0.58
mother	prepare	food	microwave	T	6.2	0.81
crew	load	container	crane	T	5.1	1.97
policeman	capture	thief	taser	T	6.0	0.77
guest	hang	coat	hanger	T	6.3	0.84
receiver	catch	baseball	glove	T	5.55	1.75
spectator	watch	game	binoculars	T	6.15	0.96
policeman	examine	car	flashlight	T	5.7	1.19
carpenter	fix	chair	nail	T	6.15	1.24
guard	tie	prisoner	rope	T	4.1	1.55
confectioner	spread	icing	spatula	T	5.9	1.89
musician	entertain	crowd	violin	T	6.35	0.79
mechanic	fix	tire	patch	T	5.85	1.28
volunteer	bring	food	truck	T	5.65	1.01
mother	prepare	food	burner	T	5.55	1.99
firefighter	fight	fire	hydrant	T	6.4	0.73
footballer	hit	ball	foot	T	6.5	1.32
teacher	explain	exercise	slides	T	6.05	0.86
waiter	bring	glass	tray	T	6.45	0.67
child	draw	flower	pencil	T	6.5	0.59
sailor	face	ocean	boat	T	6.25	1.04
guard	tie	prisoner	handcuffs	T	6.7	0.46
demonstrator	throw	stone	hand	T	5.05	1.69
mother	decorate	house	flower	T	5.8	0.98
mover	move	furniture	van	T	6.4	0.86
journalist	write	article	computer	T	6.7	0.56
pyromaniac	start	fire	matchstick	T	6.35	1.19
sweeper	clean	street	broom	T	6.4	1.07
dog	dig	hole	paw	T	6.75	0.54
skier	gain 	speed	poles	T	6.2	1.21
deejay	mix	music	console	T	6.45	0.8
tailor	sew	dress	needle	T	6.45	0.97
surfer	catch	wave	board	T	6.35	1.53
waiter	mix	drink	shaker	T	5.9	1.45
singer	perform	music	guitar	T	6.3	0.84
painter	decorate	wall	brush	T	6.45	0.67
soldier	dig	trench	shovel	T	5.95	1.07
dog	carry	ball	mouth	T	6.8	0.4
butcher	cut	meat	machete	T	3.85	1.82
farmer	plow	field	hoe	T	5.15	1.53
barber	cut	hair	scissors	T	6.9	0.3
chauffeur	carry	passenger	limousine	T	6.4	1.11
