SUBJECT	VERB	OBJECT	TIME	typicality	LM	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
cyclist	complete	race	tour	T	during	5.35	2.01	The cyclist completed the race during the tour .	0.00020979394321329892	first_(0.08447048);second_(0.058451205);day_(0.04643102);final_(0.04370651);morning_(0.041371025);	1.1887342665772849e-08
spectator	enjoy	game	championship	T	during	5.9	1.73	The spectator enjoyed the game during the championship .	0.0022828332148492336	first_(0.14829442);second_(0.065973654);game_(0.04003031);match_(0.02919021);final_(0.023476299);	1.1100564734078944e-06
refugee	find	shelter	bombing	T	during	5.15	2.2	The refugee found the shelter during the bombing .	0.00272665754891932	night_(0.11278646);storm_(0.055560116);attack_(0.020244034);summer_(0.019233758);search_(0.014152251);	4.244720912538469e-07
demonstrator	carry	flag	demonstration	T	during	5.95	1.28	The demonstrator carried the flag during the demonstration .	0.1905849426984787	rally_(0.21963991);demonstration_(0.19058494);protest_(0.13686116);march_(0.089766696);protests_(0.010721267);	1.0998467558920311e-07
soldier	check	rifle	drill	T	during	5.6	1.83	The soldier checked the rifle during the drill .	0.0014585860772058368	shooting_(0.07660633);attack_(0.05663527);assault_(0.043256126);raid_(0.036873527);search_(0.03582586);	0.00010069580457638949
roofer	climb	ladder	repair	T	during	6.3	1.19	The roofer climbed the ladder during the repair .	0.0009763505659066141	night_(0.04940176);storm_(0.046452582);fire_(0.040206578);morning_(0.02781694);day_(0.017105648);	1.7355894669890404e-05
child	climb	tree	game	T	during	5.35	1.62	The child climbed the tree during the game .	0.0017930137692019343	night_(0.044043448);day_(0.032163437);storm_(0.029053254);attack_(0.02242425);morning_(0.019110221);	3.0570870876545087e-05
hound	fetch	bird	hunting	T	during	5.7	1.76	The hound fetched the bird during the hunting .	0.005496093071997166	night_(0.13139412);day_(0.054419994);evening_(0.048298854);afternoon_(0.03204414);hunt_(0.031623006);	4.1177454477292486e-06
scoutmaster	assemble	tent	excursion	T	during	6.2	1.54	The scoutmaster assembled the tent during the excursion .			
president	deliver	speech	election	T	after	6.2	1.81	The president delivered the speech after the election .	0.0023038513027131557	House_(0.09062792);Senate_(0.08259325);Supreme_(0.024007598);U_(0.02318992);Republican_(0.021477953);	2.4054163077380508e-05
waiter	deliver	drink	party	T	during	6.15	1.65	The waiter delivered the drink during the party .	0.015608435496687889	meal_(0.040583853);lunch_(0.023440871);first_(0.021799676);dinner_(0.020889504);night_(0.01854269);	8.956614010457997e-07
policeman	capture	thief	chase	T	during	6.1	0.94	The policeman captured the thief during the chase .	0.037150006741285324	incident_(0.12941425);robbery_(0.10178321);chase_(0.037150007);attack_(0.02472667);arrest_(0.022106072);	8.173242349585053e-07
mother	hang	laundry	morning	T	during	5.55	1.36	The mother hung the laundry during the morning .	0.018525278195738792	day_(0.07367529);night_(0.042821903);last_(0.018634427);morning_(0.018525278);funeral_(0.015804822);	1.8773123883875087e-05
bodybuilder	lift	weight	workout	T	during	6.55	1.32	The bodybuilder lifted the weight during the workout .	0.056299686431884766	workout_(0.056299686);first_(0.042390697);day_(0.02520357);second_(0.020515386);competition_(0.018804444);	3.484595652025746e-07
player	enjoy	game	tournament	T	during	6.35	0.79	The player enjoyed the game during the tournament .	0.008024736307561398	first_(0.1714495);second_(0.06991271);game_(0.03739931);match_(0.029980201);opening_(0.02177791);	9.056864655576646e-06
child	cut	paper	lesson	T	during	3.8	2.44	The child cut the paper during the lesson .	0.002282492583617568	incident_(0.02576606);attack_(0.02423121);interview_(0.019914418);ceremony_(0.017130405);demonstration_(0.015634226);	7.592639303766191e-05
veterinarian	examine	dog	surgery	T	before	6.4	1.2	The veterinarian examined the dog before the surgery .	0.06057403236627579	surgery_(0.060574032);attack_(0.043926764);dog_(0.037599508);shooting_(0.035624582);incident_(0.03544808);	2.798625428113155e-05
surfer	flip	board	summer	T	during	6.25	1.18	The surfer flipped the board during the summer .	0.0014431200688704848	first_(0.08413223);final_(0.048802085);second_(0.046274383);game_(0.030938243);last_(0.021751834);	7.287041808012873e-05
footballer	deliver	kick	match	T	during	6.5	1.36	The footballer delivered the kick during the match .	0.03940588980913162	second_(0.101379335);first_(0.058600042);game_(0.040664524);final_(0.040431887);match_(0.03940589);	3.937612200388685e-05
coach	check	team	match	T	before	6.2	0.87	The coach checked the team before the match .	0.042322788387537	game_(0.44730964);start_(0.053700987);match_(0.04232279);first_(0.026725456);final_(0.015288704);	3.937612200388685e-05
mother	decorate	house	christmas	T	before	6.3	1.05	The mother decorated the house before the christmas .			
soldier	carry	rifle	march	T	during	6.0	1.34	The soldier carried the rifle during the march .	0.00373868178576231	attack_(0.2738977);assault_(0.056790847);raid_(0.05640826);shooting_(0.040817935);battle_(0.034492724);	7.550542250100989e-06
programmer	describe	software	meeting	T	during	5.9	1.3	The programmer described the software during the meeting .	0.018919887021183968	presentation_(0.10583143);interview_(0.06544206);keynote_(0.034077015);talk_(0.031753335);conference_(0.027153227);	1.0152180948352907e-05
mason	fix	roof	hurricane	T	after	5.4	1.74	The mason fixed the roof after the hurricane .	0.00815625675022602	roof_(0.09305828);fire_(0.08284545);storm_(0.049889237);earthquake_(0.022374406);first_(0.018947668);	1.5978621377144009e-06
climber	face	wall	training	T	during	6.15	1.42	The climber faced the wall during the training .	0.0005864948034286499	climb_(0.09919548);first_(0.06629051);ascent_(0.0441981);second_(0.03824531);descent_(0.03483577);	5.88546936342027e-06
student	complete	project	exam	T	before	5.6	1.28	The student completed the project before the exam .	0.0032994935754686594	deadline_(0.16425419);end_(0.09924664);start_(0.03855044);summer_(0.022952702);semester_(0.021323876);	9.449922799831256e-05
