SUBJECT	VERB	OBJECT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
woman	paint	toenail	T	6.1	1.51	The woman painted the toenail .			
reporter	hold	camera	T	4.5	1.57	The reporter held the camera .	0.13684092462062836	microphone_(0.31077927);camera_(0.13684092);gun_(0.0482529);phone_(0.043945238);picture_(0.016276015);	2.97808728646487e-05
programmer	use	computer	T	7.0	0.0	The programmer used the computer .	0.018367189913988113	mouse_(0.024971897);language_(0.020208776);password_(0.020128231);computer_(0.01836719);code_(0.018176453);	9.156297892332077e-06
mason	mix	cement	T	6.65	0.65	The mason mixed the cement .	0.005981829948723316	two_(0.1255195);stones_(0.114684224);materials_(0.08499127);bricks_(0.03592958);pieces_(0.030768942);	6.572636721102754e-06
bodybuilder	lift	weight	T	6.45	1.66	The bodybuilder lifted the weight .	0.001838285243138671	gun_(0.035687122);lid_(0.033240907);knife_(0.025416322);helmet_(0.017905517);weapon_(0.01763577);	0.00010587294673314318
lumberjack	use	saw	T	6.15	1.77	The lumberjack used the saw .	0.0006635210593231022	car_(0.020914538);machine_(0.016875535);truck_(0.011457424);telephone_(0.01129643);house_(0.010162692);	4.378332960186526e-05
tailor	sew	dress	T	6.55	0.59	The tailor sewed the dress .	0.11697812378406525	dress_(0.116978124);clothes_(0.09516414);suit_(0.076675974);garments_(0.047219373);gown_(0.039894883);	0.00022813942632637918
skier	gain	speed	T	6.75	0.43	The skier gained the speed .	0.00046087789814919233	advantage_(0.48729154);points_(0.071533866);point_(0.059245773);lead_(0.051556103);victory_(0.046381492);	3.842874866677448e-05
jockey	ride	horse	T	6.2	1.47	The jockey rode the horse .	0.6389659643173218	horse_(0.63896596);horses_(0.04410244);winner_(0.029309606);mare_(0.010706611);machine_(0.009545471);	0.00014642668247688562
fighter	kick	opponent	T	5.55	1.77	The fighter kicked the opponent .	0.0013445642543956637	man_(0.1092875);ground_(0.07138796);boy_(0.044040572);woman_(0.041287154);girl_(0.031045899);	6.996236265877087e-07
singer	perform	music	T	6.7	0.56	The singer performed the music .	0.0019170944578945637	song_(0.69154626);ballad_(0.028085379);duet_(0.018662028);songs_(0.017277587);single_(0.015308948);	8.157710544764996e-05
firefighter	fight	fire	T	7.0	0.0	The firefighter fought the fire .	0.11718640476465225	flames_(0.37080583);fire_(0.117186405);man_(0.025584577);blaze_(0.025378842);beast_(0.023997243);	8.032065670704469e-05
policeman	capture	thief	T	6.8	0.51	The policeman captured the thief .	0.02774721011519432	girl_(0.063977964);boy_(0.032256037);man_(0.030504704);thief_(0.02774721);woman_(0.027497325);	4.179518327873666e-06
farmer	plow	field	T	6.8	0.51	The farmer plowed the field .	0.42684856057167053	field_(0.42684856);fields_(0.16299894);ground_(0.056509834);land_(0.045945503);road_(0.02678582);	0.0005144050228409469
