SUBJECT	VERB	OBJECT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
woman	paint	toenail	T	6.1	1.51	The woman painted the toenail .	0.00888018123805523	sun_(0.06675954);paint_(0.054699294);blood_(0.039674688);artist_(0.025605964);moonlight_(0.021121616);	1.3609177784701387e-08
reporter	hold	camera	T	4.5	1.57	The reporter held the camera .	0.0038888943381607533	man_(0.31860784);woman_(0.10320231);guy_(0.07859436);guard_(0.04137613);girl_(0.027814882);	5.397929880857077e-10
programmer	use	computer	T	7.0	0.0	The programmer used the computer .	0.00022957264445722103	team_(0.025143772);police_(0.022323476);group_(0.009823852);men_(0.009538258);children_(0.008724463);	1.3884332572544622e-10
mason	mix	cement	T	6.65	0.65	The mason mixed the cement .			
lumberjack	use	saw	T	6.15	1.77	The lumberjack used the saw .			
firefighter	fight	fire	T	7.0	0.0	The firefighter fought the fire .			
policeman	capture	thief	T	6.8	0.51	The policeman captured the thief .	0.0019379227887839079	police_(0.09634976);soldiers_(0.031108506);guards_(0.027203564);gang_(0.016487062);pirates_(0.015742134);	1.2894552613162968e-11
knight	hold	sword	T	6.5	0.92	The knight held the sword .	0.005417557433247566	man_(0.26563203);woman_(0.08281794);boy_(0.05374357);guard_(0.045807913);girl_(0.03969766);	3.2801821155115096e-12
deejay	mix	music	T	6.65	1.11	The deejay mixed the music .			
librarian	climb	ladder	T	5.1	1.67	The librarian climbed the ladder .	0.0001348835794487968	man_(0.09607449);boy_(0.0813321);others_(0.037155457);men_(0.036384236);guard_(0.03448455);	2.660643233509674e-11
photographer	use	camera	T	6.65	1.31	The photographer used the camera .	0.0012784552527591586	team_(0.05860775);film_(0.037156437);band_(0.022280375);crew_(0.017686898);game_(0.015187978);	5.981919404263181e-10
politician	sign	agreement	T	6.35	0.73	The politician signed the agreement .	0.0003087413788307458	President_(0.029890543);president_(0.024394205);Pope_(0.01606359);men_(0.015301571);government_(0.014151228);	1.196443832895966e-09
magician	read	hand	T	4.4	2.08	The magician read the hand .	0.0013507949188351631	man_(0.19126263);boy_(0.0837619);woman_(0.05531906);girl_(0.037959043);guard_(0.02716111);	1.945144045834013e-10
doctor	use	stethoscope	T	5.85	1.68	The doctor used the stethoscope .	0.003402007045224309	team_(0.076945625);expedition_(0.015547268);latter_(0.012800304);crew_(0.012245135);pilot_(0.0118086);	2.513904817647017e-08
bartender	shake	drink	T	6.25	1.37	The bartender shook the drink .	0.12309684604406357	man_(0.31879753);bartender_(0.123096846);woman_(0.049014717);boy_(0.031422567);doctor_(0.020685017);	2.092576329229545e-12
dealer	check	car	T	5.9	0.94	The dealer checked the car .	0.0011536087840795517	driver_(0.14511147);man_(0.11648186);guard_(0.06291167);officer_(0.041207556);cop_(0.034474656);	1.0105551950800873e-09
botanist	examine	plant	T	6.55	1.16	The botanist examined the plant .	0.012004506774246693	team_(0.028753571);couple_(0.023603844);professor_(0.022030395);group_(0.02192957);scientists_(0.020562014);	4.499851533057431e-11
porter	stack	suitcase	T	5.5	2.27	The porter stacked the suitcase .			
climber	climb	rock	T	6.8	0.4	The climber climbed the rock .			
skipper	assemble	sailboat	T	3.8	1.83	The skipper assembled the sailboat .			
driver	hear	horn	T	5.75	1.79	The driver heard the horn .	0.017228925600647926	boy_(0.06047803);man_(0.059005156);men_(0.050401915);others_(0.032503184);guards_(0.030661842);	8.309953281049332e-10
sculptor	carve	stone	T	5.55	1.66	The sculptor carved the stone .	0.006583656650036573	man_(0.044776037);wind_(0.038376633);gods_(0.035674);woman_(0.030286783);angels_(0.023284353);	2.7836183358331823e-10
pilot	begin	race	T	4.8	2.23	The pilot began the race .	0.0014710093382745981	winner_(0.19136351);team_(0.057301737);winners_(0.026442952);drivers_(0.021080794);riders_(0.014113281);	1.5338165182399166e-09
mother	hold	child	T	6.9	0.3	The mother held the child .	0.06470256298780441	woman_(0.2234493);man_(0.13135819);mother_(0.06470256);girl_(0.03357224);boy_(0.029513694);	1.5703884415074754e-08
customer	read	menu	T	5.45	2.29	The customer read the menu .	0.0024673864245414734	waitress_(0.24185938);waiter_(0.22128916);man_(0.0759731);woman_(0.071354136);bartender_(0.058065683);	9.558623892402807e-10
philologist	examine	book	T	6.2	1.25	The philologist examined the book .			
confectioner	decorate	cake	T	6.05	1.36	The confectioner decorated the cake .			
sweeper	clean	street	T	6.5	0.92	The sweeper cleaned the street .			
cobbler	sew	shoe	T	6.6	0.49	The cobbler sewed the shoe .			
surfer	catch	wave	T	7.0	0.0	The surfer caught the wave .			
guard	tie	prisoner	T	4.8	2.29	The guard tied the prisoner .	0.0539969801902771	guards_(0.16506664);men_(0.059205703);guard_(0.05399698);man_(0.050184395);police_(0.026257243);	2.5902626710205823e-09
