SUBJECT	VERB	OBJECT	INSTRUMENT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
gardener	cut	grass	mower	T	6.65	0.65	The gardener cut the grass with the mower .			
waiter	deliver	drink	tray	T	6.8	0.4	The waiter delivered the drink with the tray .	0.08008547872304916	tray_(0.08008548);waiter_(0.046263758);wine_(0.036792744);order_(0.03595755);glasses_(0.033197753);	9.20650500280118e-10
mechanic	assemble	bicycle	wrench	T	4.9	2.49	The mechanic assembled the bicycle with the wrench .			
carver	build	sculpture	chisel	T	5.85	1.98	The carver built the sculpture with the chisel .			
mechanic	check	tire	compressor	T	6.35	0.79	The mechanic checked the tire with the compressor .			
housemaid	clean	window	cloth	T	6.7	0.56	The housemaid cleaned the window with the cloth .	0.1017482653260231	cloth_(0.101748265);towel_(0.07144003);handkerchief_(0.052995026);towels_(0.04223629);soap_(0.039926976);	7.327965789727386e-08
hairstylist	flip	hair	hairbrush	T	6.65	0.73	The hairstylist flipped the hair with the hairbrush .			
policeman	capture	thief	gun	T	5.95	1.02	The policeman captured the thief with the gun .	0.11326278001070023	knife_(0.14732802);gun_(0.11326278);pistol_(0.09487451);sword_(0.0518228);revolver_(0.045754448);	1.4116891122739617e-07
painter	paint	picture	brush	T	5.95	2.01	The painter painted the picture with the brush .	0.004786449484527111	wind_(0.019406209);child_(0.015047126);angels_(0.014773957);sword_(0.011874747);cross_(0.011231543);	1.1458025710453512e-06
archer	release	arrow	bow	T	6.35	1.8	The archer released the arrow with the bow .	0.38758906722068787	bow_(0.38758907);arrow_(0.035298243);spear_(0.027765581);blade_(0.021003563);weapon_(0.018749831);	7.694981832173653e-06
chemist	mix	substance	centrifuge	T	4.85	1.88	The chemist mixed the substance with the centrifuge .			
botanist	examine	plant	microscope	T	6.5	0.74	The botanist examined the plant with the microscope .			
philologist	examine	book	magnifier	T	6.35	0.96	The philologist examined the book with the magnifier .			
mother	hang	laundry	clothespin	T	6.25	1.41	The mother hung the laundry with the clothespin .			
