SUBJECT	VERB	OBJECT	typicality
ac	cool	water	P
ac	cool	fire	N
air	poison	rabbit	P
air	poison	banana	N
ant	build	wall	P
ant	build	frame	N
ant	heave	sand	P
ant	heave	pumpkin	N
ant	lift	leaf	P
ant	lift	dumbbell	N
ant	seize	pin	P
ant	seize	car	N
ant	tackle	ant	P
ant	tackle	rabbit	N
ant	tug	leaf	P
ant	tug	table	N
arm	fasten	girl	P
arm	fasten	house	N
arm	hold	monkey	P
arm	hold	house	N
arm	hook	spatula	P
arm	hook	house	N
bag	contain	rabbit	P
bag	contain	dolphin	N
baker	bake	cake	P
baker	bake	chair	N
balloon	leak	air	P
balloon	leak	rabbit	N
barber	pack	laptop	P
barber	pack	ship	N
barrier	halt	person	P
barrier	halt	house	N
basket	carry	hat	P
basket	carry	house	N
bat	strike	car	P
bat	strike	water	N
beak	scratch	hand	P
beak	scratch	oil	N
beak	tap	finger	P
beak	tap	air	N
bear	hug	table	P
bear	hug	pin	N
bear	pet	dolphin	P
bear	pet	water	N
bear	smash	glass	P
bear	smash	water	N
bear	wrestle	horse	P
bear	wrestle	rock	N
bed	poke	baby	P
bed	poke	oil	N
belt	fasten	lion	P
belt	fasten	rain	N
bird	stretch	snake	P
bird	stretch	pebbles	N
boat	hurl	ship	P
boat	hurl	house	N
bone	fracture	candy	P
bone	fracture	mud	N
bottle	ejaculate	gravy	P
bottle	ejaculate	shirt	N
bottle	leak	water	P
bottle	leak	cup	N
bottle	spill	rice	P
bottle	spill	air	N
bowl	contain	knife	P
bowl	contain	horse	N
bowl	dump	water	P
bowl	dump	elephant	N
bowl	spill	water	P
bowl	spill	paper	N
box	spill	legos	P
box	spill	chair	N
boxer	attack	robber	P
boxer	attack	axe	N
boy	pluck	feather	P
boy	pluck	ant	N
boy	punch	bus	P
boy	punch	vapor	N
brick	hurt	dog	P
brick	hurt	ocean	N
brick	kill	rabbit	P
brick	kill	table	N
brother	heave	bag	P
brother	heave	paper	N
brother	hurt	leg	P
brother	hurt	chair	N
bug	climb	mountain	P
bug	climb	air	N
building	crash	computer	P
building	crash	bike	N
bullet	pierce	cheese	P
bullet	pierce	earring	N
butterfly	tug	leaf	P
butterfly	tug	table	N
cake	feed	rabbit	P
cake	feed	arm	N
cake	hit	closet	P
cake	hit	fire	N
calculator	count	cup	P
calculator	count	water	N
car	pull	truck	P
car	pull	hill	N
car	push	lion	P
car	push	leaf	N
casket	cover	head	P
casket	cover	ground	N
cat	exhale	air	P
cat	exhale	pillow	N
cat	flip	egg	P
cat	flip	man	N
cat	kick	girl	P
cat	kick	air	N
cat	knead	cream	P
cat	knead	elephant	N
cat	lick	frosting	P
cat	lick	cloud	N
cat	lift	rabbit	P
cat	lift	horse	N
cat	pet	monkey	P
cat	pet	table	N
cat	pluck	leaf	P
cat	pluck	pumpkin	N
cat	stomp	ant	P
cat	stomp	boat	N
cat	strike	ball	P
cat	strike	pond	N
cat	swallow	pin	P
cat	swallow	chef	N
cat	toss	ant	P
cat	toss	student	N
cat	vomit	ant	P
cat	vomit	infant	N
cat	wrestle	rabbit	P
cat	wrestle	leaf	N
chair	absorb	water	P
chair	absorb	pin	N
chair	rub	shirt	P
chair	rub	rain	N
chef	burn	cake	P
chef	burn	water	N
chef	create	table	P
chef	create	sun	N
