SUBJECT	VERB	OBJECT	INSTRUMENT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
gardener	cut	grass	mower	T	6.65	0.65	The gardener cut the grass with the mower .			
waiter	deliver	drink	tray	T	6.8	0.4	The waiter delivered the drink with the tray .	0.0038229855708777905	same_(0.029592853);help_(0.014864904);words_(0.013937356);waiter_(0.011477245);most_(0.010661141);	5.064991981384992e-09
mechanic	assemble	bicycle	wrench	T	4.9	2.49	The mechanic assembled the bicycle with the wrench .	0.00023807119578123093	help_(0.21164912);assistance_(0.042427547);aid_(0.02851843);intention_(0.025268627);same_(0.012929999);	3.6069398134941366e-08
carver	build	sculpture	chisel	T	5.85	1.98	The carver built the sculpture with the chisel .			
mechanic	check	tire	compressor	T	6.35	0.79	The mechanic checked the tire with the compressor .	0.00022418009757529944	tire_(0.054043356);brake_(0.025395596);engine_(0.0146453455);car_(0.013652213);oil_(0.012161257);	2.0266048750272603e-07
housemaid	clean	window	cloth	T	6.7	0.56	The housemaid cleaned the window with the cloth .	0.0056301201693713665	broom_(0.04067263);brush_(0.0290138);back_(0.018246496);help_(0.014652078);towel_(0.014237407);	5.066426638222765e-07
hairstylist	flip	hair	hairbrush	T	6.65	0.73	The hairstylist flipped the hair with the hairbrush .			
policeman	capture	thief	gun	T	5.95	1.02	The policeman captured the thief with the gun .	0.04685685411095619	stolen_(0.05421864);gun_(0.046856854);camera_(0.036708284);knife_(0.032004345);police_(0.016654257);	0.00041836200398392975
painter	paint	picture	brush	T	5.95	2.01	The painter painted the picture with the brush .	0.0025187393184751272	help_(0.026000721);words_(0.02556366);famous_(0.013184268);following_(0.010648797);title_(0.010567459);	5.473355031426763e-06
archer	release	arrow	bow	T	6.35	1.8	The archer released the arrow with the bow .	0.021580271422863007	arrow_(0.059581857);intent_(0.03827864);words_(0.031280756);intention_(0.027831867);bow_(0.021580271);	4.449330390343675e-06
chemist	mix	substance	centrifuge	T	4.85	1.88	The chemist mixed the substance with the centrifuge .			
botanist	examine	plant	microscope	T	6.5	0.74	The botanist examined the plant with the microscope .	0.01702846959233284	help_(0.22605327);aid_(0.04943014);assistance_(0.02547126);microscope_(0.01702847);aim_(0.016021928);	3.025450678251218e-05
philologist	examine	book	magnifier	T	6.35	0.96	The philologist examined the book with the magnifier .			
mother	hang	laundry	clothespin	T	6.25	1.41	The mother hung the laundry with the clothespin .			
mason	fix	wall	plaster	T	6.0	1.58	The mason fixed the wall with the plaster .	0.0016811762470752	hammer_(0.021618964);help_(0.018155614);same_(0.016918246);screw_(0.016418757);screws_(0.011310811);	5.427096994026215e-07
porter	carry	bag	elevator	T	5.0	2.21	The porter carried the bag with the elevator .	2.545294955780264e-05	two_(0.012864402);money_(0.010104551);contents_(0.00967654);bag_(0.0086875055);three_(0.00790373);	1.5612587889179963e-09
policeman	hit	demonstrator	baton	T	5.1	2.12	The policeman hit the demonstrator with the baton .			
cook	mix	ingredient	ladle	T	6.25	1.37	The cook mixed the ingredient with the ladle .			
waiter	open	bottle	corkscrew	T	6.45	1.36	The waiter opened the bottle with the corkscrew .			
fisherman	catch	fish	net	T	6.8	0.4	The fisherman caught the fish with the net .	0.03607449680566788	hook_(0.048380118);net_(0.036074497);help_(0.028568428);rod_(0.013958557);aid_(0.01263458);	7.044682206469588e-06
gardener	gather	grass	rake	T	6.8	0.4	The gardener gathered the grass with the rake .	0.005432704463601112	help_(0.14659919);aid_(0.025819499);intention_(0.013693814);brush_(0.012300931);grass_(0.010653937);	7.747825293336064e-06
child	cross	park	bicycle	T	6.2	1.03	The child crossed the park with the bicycle .	0.0009473928366787732	help_(0.045964565);mother_(0.0247877);child_(0.024385536);other_(0.02374009);boy_(0.023737013);	9.338259587821085e-08
mason	mix	cement	trowel	T	6.0	1.45	The mason mixed the cement with the trowel .			
pyromaniac	start	fire	gasoline	T	5.75	2.05	The pyromaniac started the fire with the gasoline .	0.0017228595679625869	intention_(0.06898866);help_(0.05464785);intent_(0.05120547);fire_(0.015330629);aid_(0.013201922);	1.5594106343996827e-06
milkman	carry	bottle	van	T	6.7	0.56	The milkman carried the bottle with the van .	2.8148098863312043e-05	milk_(0.021743981);letter_(0.016776316);bottle_(0.013854254);red_(0.013735328);white_(0.012031826);	5.170240342522447e-07
lumberjack	cut	tree	saw	T	6.6	1.32	The lumberjack cut the tree with the saw .	0.010777234099805355	axe_(0.07669514);ax_(0.0243273);same_(0.017512407);knife_(0.016553365);most_(0.016460422);	2.1094514522701502e-05
climber	face	wall	rope	T	6.7	0.64	The climber faced the wall with the rope .	0.023614345118403435	aid_(0.094411);help_(0.04164288);rope_(0.023614345);first_(0.016188705);assistance_(0.013592584);	1.0248990065520047e-06
soldier	fight	enemy	rifle	T	6.8	0.51	The soldier fought the enemy with the rifle .	0.005573956295847893	same_(0.06646288);help_(0.04130932);sword_(0.040249083);utmost_(0.02925205);best_(0.025398144);	9.334374772151932e-05
cobbler	fix	shoe	glue	T	6.45	0.67	The cobbler fixed the shoe with the glue .	0.003906832076609135	help_(0.03683554);same_(0.029146647);hammer_(0.016100483);shoe_(0.015875315);sole_(0.014467217);	3.911636525799622e-08
cyclist	fix	bike	screwdriver	T	5.25	1.41	The cyclist fixed the bike with the screwdriver .			
housemaid	wash	floor	mop	T	6.7	0.64	The housemaid washed the floor with the mop .			
housemaid	clean	dish	sponge	T	6.75	0.54	The housemaid cleaned the dish with the sponge .	0.01360864657908678	help_(0.035584763);kitchen_(0.029052302);dish_(0.028371729);soap_(0.015757907);towel_(0.014209498);	2.2518559461559562e-08
butcher	carve	meat	knife	T	6.35	1.53	The butcher carved the meat with the knife .	0.057948485016822815	help_(0.072292134);knife_(0.057948485);blade_(0.034158025);sharp_(0.028556872);aid_(0.027897267);	2.5772610570129473e-06
author	sign	book	pen	T	6.65	0.57	The author signed the book with the pen .	0.0014530711341649294	title_(0.10228402);words_(0.06985709);following_(0.03386894);help_(0.031931706);phrase_(0.018459938);	1.3259750630822964e-05
confectioner	decorate	cake	spatula	T	6.55	0.67	The confectioner decorated the cake with the spatula .			
hairstylist	fix	hair	hairdryer	T	6.25	1.67	The hairstylist fixed the hair with the hairdryer .			
photographer	capture	image	camera	T	6.9	0.3	The photographer captured the image with the camera .	0.03159639984369278	help_(0.10870512);camera_(0.0315964);lens_(0.02229828);iPhone_(0.016469719);aid_(0.015255725);	7.55530345486477e-06
soldier	cross	river	truck	T	4.65	2.29	The soldier crossed the river with the truck .	0.0024549204390496016	help_(0.05930419);aid_(0.029636078);other_(0.025458587);intention_(0.022819713);rest_(0.01621113);	3.0575114351449884e-07
hairstylist	wash	hair	shampoo	T	6.55	1.32	The hairstylist washed the hair with the shampoo .	0.04641837999224663	same_(0.058535695);shampoo_(0.04641838);help_(0.043526594);hair_(0.03647759);soap_(0.012571262);	2.479891691109515e-06
scoutmaster	assemble	tent	hammer	T	4.95	2.2	The scoutmaster assembled the tent with the hammer .	0.0001848572719609365	help_(0.10587289);aid_(0.052207746);best_(0.017564824);rest_(0.0125098);intention_(0.012384259);	3.594052770949929e-07
illustrator	draw	picture	pencil	T	6.5	1.36	The illustrator drew the picture with the pencil .	0.00199207104742527	words_(0.037970968);help_(0.028848466);caption_(0.026045322);intention_(0.014358157);idea_(0.013376945);	6.079451964069449e-08
surgeon	perform	surgery	lancet	T	5.1	2.32	The surgeon performed the surgery with the lancet .			
veterinarian	examine	dog	stethoscope	T	6.2	1.21	The veterinarian examined the dog with the stethoscope .			
guard	open	jail	key	T	6.15	1.11	The guard opened the jail with the key .	0.00562087818980217	help_(0.104897775);intention_(0.023634829);aid_(0.018863177);force_(0.018275289);sound_(0.017634943);	9.284438419854268e-06
general	gather	soldier	trumpet	T	5.35	1.82	The general gathered the soldier with the trumpet .	0.00012786584557034075	sword_(0.03795621);rifle_(0.031172184);gun_(0.013675695);knife_(0.01237345);bow_(0.011937257);	8.666714990113178e-08
barber	cut	beard	razor	T	6.65	0.96	The barber cut the beard with the razor .	0.02404543198645115	same_(0.069528416);blade_(0.047690347);scissors_(0.038703118);help_(0.026592324);sharp_(0.026269482);	1.4871514508740802e-07
postman	deliver	mail	bicycle	T	4.5	1.66	The postman delivered the mail with the bicycle .	4.9477599532110617e-05	message_(0.040058307);letter_(0.022274723);package_(0.019039502);address_(0.018793868);delivery_(0.014554388);	7.184987538266796e-08
cook	clean	fish	knife	T	6.45	0.92	The cook cleaned the fish with the knife .	0.02199845388531685	fish_(0.034125462);help_(0.03014228);same_(0.0268935);knife_(0.021998454);aid_(0.017379124);	2.5772610570129473e-06
farmer	plow	field	tractor	T	6.85	0.48	The farmer plowed the field with the tractor .	0.11652924865484238	tractor_(0.11652925);help_(0.030395225);pl_(0.013912126);same_(0.013680356);shovel_(0.013251971);	7.472922902707069e-08
climber	climb	rock	rope	T	6.9	0.3	The climber climbed the rock with the rope .	0.01884816214442253	aid_(0.1753194);help_(0.15322694);assistance_(0.03536458);intention_(0.031226281);rope_(0.018848162);	1.0248990065520047e-06
porter	carry	bag	van	T	3.75	1.87	The porter carried the bag with the van .	0.00021347292931750417	two_(0.012864402);money_(0.010104551);contents_(0.00967654);bag_(0.0086875055);three_(0.00790373);	5.170240342522447e-07
waiter	clear	table	cloth	T	5.9	1.41	The waiter cleared the table with the cloth .	0.0006894436082802713	help_(0.07508726);knife_(0.02457052);tip_(0.020932266);fork_(0.017457835);table_(0.0165823);	5.346209377421474e-07
astronaut	reach	moon	shuttle	T	5.3	2.35	The astronaut reached the moon with the shuttle .	0.008452522568404675	Apollo_(0.13376704);help_(0.07134786);International_(0.04884768);space_(0.048647594);first_(0.033020236);	5.779691605312109e-07
cook	flip	pancake	spatula	T	6.15	1.24	The cook flipped the pancake with the spatula .			
musician	touch	instrument	plectrum	T	5.8	1.63	The musician touched the instrument with the plectrum .			
goalkeeper	grab	ball	hand	T	6.5	1.32	The goalkeeper grabbed the ball with the hand .	0.006104184314608574	ball_(0.07349109);back_(0.055944487);outside_(0.039824937);help_(0.026799692);goalkeeper_(0.023957197);	7.92010087025119e-06
businessman	read	report	laptop	T	6.4	0.66	The businessman read the report with the laptop .	3.331808329676278e-05	same_(0.023169037);help_(0.01737957);understanding_(0.014033446);intention_(0.012180661);words_(0.008413386);	7.924303702111501e-08
hairstylist	fix	hair	gel	T	6.25	0.7	The hairstylist fixed the hair with the gel .	0.0017226026393473148	help_(0.09754859);same_(0.052364796);most_(0.030666);best_(0.02436899);hair_(0.021727705);	4.839153575630917e-07
student	send	email	laptop	T	6.6	0.58	The student sent the email with the laptop .	0.00012703464017249644	link_(0.06960749);photo_(0.045164365);question_(0.025459893);following_(0.021214513);photos_(0.014560276);	7.924303702111501e-08
mother	prepare	food	microwave	T	6.2	0.81	The mother prepared the food with the microwave .	0.0002820122754201293	help_(0.48556903);assistance_(0.032633267);intention_(0.022008788);aid_(0.017333379);baby_(0.009079716);	3.042913476747344e-08
crew	load	container	crane	T	5.1	1.97	The crew loaded the container with the crane .	0.0002611240779515356	cargo_(0.028613986);goods_(0.014180196);first_(0.014159224);contents_(0.009561113);food_(0.008768418);	1.8073671526508406e-05
policeman	capture	thief	taser	T	6.0	0.77	The policeman captured the thief with the taser .			
guest	hang	coat	hanger	T	6.3	0.84	The guest hung the coat with the hanger .			
receiver	catch	baseball	glove	T	5.55	1.75	The receiver caught the baseball with the glove .	0.18474729359149933	glove_(0.1847473);ball_(0.03655083);bat_(0.021837657);help_(0.021054331);first_(0.016727297);	2.2230862484207137e-08
spectator	watch	game	binoculars	T	6.15	0.96	The spectator watched the game with the binoculars .			
policeman	examine	car	flashlight	T	5.7	1.19	The policeman examined the car with the flashlight .	0.0005200631567277014	gun_(0.023079624);license_(0.01952893);driver_(0.0174908);blood_(0.017121773);bullet_(0.015480512);	3.638282578322105e-06
carpenter	fix	chair	nail	T	6.15	1.24	The carpenter fixed the chair with the nail .	0.0032345845829695463	help_(0.066328146);same_(0.03763525);wood_(0.014305888);aid_(0.013744619);wooden_(0.009901615);	2.1046965059667855e-07
guard	tie	prisoner	rope	T	4.1	1.55	The guard tied the prisoner with the rope .	0.2594088912010193	rope_(0.2594089);chains_(0.028418513);chain_(0.028227277);ropes_(0.018090662);strap_(0.015955577);	1.0103648264703224e-06
confectioner	spread	icing	spatula	T	5.9	1.89	The confectioner spread the icing with the spatula .			
musician	entertain	crowd	violin	T	6.35	0.79	The musician entertained the crowd with the violin .	0.0006577986059710383	"song_(0.036804166);lyrics_(0.016260756);following_(0.015528913);""_(0.014635107);first_(0.012341308);"	7.296667945411173e-07
mechanic	fix	tire	patch	T	5.85	1.28	The mechanic fixed the tire with the patch .	0.0006209105486050248	tire_(0.039861213);help_(0.037054807);same_(0.031450406);wheel_(0.01344188);car_(0.011378596);	9.843088628258556e-05
volunteer	bring	food	truck	T	5.65	1.01	The volunteer brought the food with the truck .	0.0009333800990134478	help_(0.024887158);sign_(0.012859283);message_(0.011553312);same_(0.007392131);aid_(0.007060458);	3.0575114351449884e-07
mother	prepare	food	burner	T	5.55	1.99	The mother prepared the food with the burner .	7.744358299532905e-06	help_(0.48556903);assistance_(0.032633267);intention_(0.022008788);aid_(0.017333379);baby_(0.009079716);	2.5051988927771163e-08
firefighter	fight	fire	hydrant	T	6.4	0.73	The firefighter fought the fire with the hydrant .			
footballer	hit	ball	foot	T	6.5	1.32	The footballer hit the ball with the foot .	0.0032069433946162462	force_(0.0620056);same_(0.04864574);ball_(0.03612508);intent_(0.028647143);intention_(0.027573029);	1.5889263238477724e-07
teacher	explain	exercise	slides	T	6.05	0.86	The teacher explained the exercise with the slides .	6.0206817579455674e-05	students_(0.16022901);help_(0.07828325);student_(0.03709566);class_(0.018744882);following_(0.017014107);	3.122128327959217e-05
waiter	bring	glass	tray	T	6.45	0.67	The waiter brought the glass with the tray .	0.0034208979923278093	wine_(0.015192143);ice_(0.011764145);red_(0.010345608);glass_(0.0091990465);white_(0.008654241);	5.064991981384992e-09
child	draw	flower	pencil	T	6.5	0.59	The child drew the flower with the pencil .	0.003960734698921442	help_(0.032931622);same_(0.02251523);other_(0.01413047);words_(0.011495707);intention_(0.010625141);	8.759563741023157e-08
sailor	face	ocean	boat	T	6.25	1.04	The sailor faced the ocean with the boat .	0.0036941298749297857	help_(0.029382052);intention_(0.022069022);same_(0.017527163);crew_(0.01635632);aid_(0.014994294);	2.822846170147386e-07
guard	tie	prisoner	handcuffs	T	6.7	0.46	The guard tied the prisoner with the handcuffs .	0.00411797733977437	rope_(0.2594089);chains_(0.028418513);chain_(0.028227277);ropes_(0.018090662);strap_(0.015955577);	2.5242805179459538e-08
demonstrator	throw	stone	hand	T	5.05	1.69	The demonstrator threw the stone with the hand .	0.0032263165339827538	intention_(0.23090035);intent_(0.111995675);aim_(0.039645504);help_(0.032884587);force_(0.0151399765);	6.327868959488114e-06
mother	decorate	house	flower	T	5.8	0.98	The mother decorated the house with the flower .	0.0009572591516189277	"words_(0.02449031);same_(0.013810856);names_(0.011241347);""_(0.011087264);most_(0.009953508);"	1.5569008837701404e-06
mover	move	furniture	van	T	6.4	0.86	The mover moved the furniture with the van .	0.000254870014032349	help_(0.13328698);power_(0.02998687);force_(0.028871993);aid_(0.01977208);same_(0.017296905);	5.170240342522447e-07
journalist	write	article	computer	T	6.7	0.56	The journalist wrote the article with the computer .	3.7994643207639456e-05	help_(0.088359535);intention_(0.077926464);title_(0.0663481);headline_(0.04957882);aim_(0.037249442);	0.0010244307341054082
pyromaniac	start	fire	matchstick	T	6.35	1.19	The pyromaniac started the fire with the matchstick .			
sweeper	clean	street	broom	T	6.4	1.07	The sweeper cleaned the street with the broom .	0.0011665866477414966	help_(0.0901882);same_(0.022043638);speed_(0.011775458);aid_(0.010991436);power_(0.009670352);	6.445907807517415e-09
dog	dig	hole	paw	T	6.75	0.54	The dog dug the hole with the paw .	0.001095952233299613	help_(0.042955168);shovel_(0.03573901);hole_(0.028354833);rope_(0.011272665);stick_(0.011206723);	3.1566362395096803e-06
skier	gain	speed	poles	T	6.2	1.21	The skier gained the speed with the poles .	0.00024833501083776355	help_(0.15487583);aid_(0.043983374);right_(0.01983545);power_(0.012788764);assistance_(0.0123635605);	6.166938959495383e-09
deejay	mix	music	console	T	6.45	0.8	The deejay mixed the music with the console .	1.7918624507728964e-05	lyrics_(0.035307635);sound_(0.017172026);video_(0.014498739);words_(0.012311681);dance_(0.011338938);	0.00016847476945258677
tailor	sew	dress	needle	T	6.45	0.97	The tailor sewed the dress with the needle .	0.0014538514660671353	help_(0.16663674);same_(0.029830541);most_(0.019205019);best_(0.011997489);fabric_(0.009694613);	1.1936590453842655e-06
surfer	catch	wave	board	T	6.35	1.53	The surfer caught the wave with the board .	0.0005270627443678677	wave_(0.024953945);first_(0.023885818);help_(0.017679073);best_(0.014422855);most_(0.013608069);	4.3014959373977035e-05
waiter	mix	drink	shaker	T	5.9	1.45	The waiter mixed the drink with the shaker .			
singer	perform	music	guitar	T	6.3	0.84	The singer performed the music with the guitar .	0.0010751935187727213	help_(0.090112515);band_(0.0312878);group_(0.021823581);backing_(0.012388115);rest_(0.012264075);	7.716514005551289e-07
painter	decorate	wall	brush	T	6.45	0.67	The painter decorated the wall with the brush .	0.00011458693188615143	words_(0.048398525);images_(0.0243094);image_(0.019231785);names_(0.017932696);picture_(0.011062943);	5.473355031426763e-06
soldier	dig	trench	shovel	T	5.95	1.07	The soldier dug the trench with the shovel .	0.03249959275126457	help_(0.06095813);shovel_(0.032499593);aid_(0.028792383);other_(0.013895178);intention_(0.0114296);	1.119862602649846e-08
dog	carry	ball	mouth	T	6.8	0.4	The dog carried the ball with the mouth .	0.0005037820083089173	ball_(0.12552828);goal_(0.012568586);help_(0.011225138);same_(0.008412501);rest_(0.007535109);	4.378174708108418e-06
butcher	cut	meat	machete	T	3.85	1.82	The butcher cut the meat with the machete .			
farmer	plow	field	hoe	T	5.15	1.53	The farmer plowed the field with the hoe .			
barber	cut	hair	scissors	T	6.9	0.3	The barber cut the hair with the scissors .	0.05080273002386093	same_(0.054513354);scissors_(0.05080273);blade_(0.024605986);best_(0.023371607);most_(0.020491421);	2.0421805402293103e-07
chauffeur	carry	passenger	limousine	T	6.4	1.11	The chauffeur carried the passenger with the limousine .			
gardener	gather	grass	helicopter	AT	1.6	1.36	The gardener gathered the grass with the helicopter .	9.983346535591409e-05	help_(0.14659919);aid_(0.025819499);intention_(0.013693814);brush_(0.012300931);grass_(0.010653937);	3.8325429159158375e-06
hairstylist	wash	hair	beer	AT	1.6	1.43	The hairstylist washed the hair with the beer .	0.00010833788110176101	same_(0.058535695);shampoo_(0.04641838);help_(0.043526594);hair_(0.03647759);soap_(0.012571262);	0.00015770802565384656
soldier	fight	enemy	spoon	AT	1.6	1.36	The soldier fought the enemy with the spoon .	1.3303589184943121e-05	same_(0.06646288);help_(0.04130932);sword_(0.040249083);utmost_(0.02925205);best_(0.025398144);	2.7340917085894034e-07
housemaid	clean	window	chisel	AT	3.75	2.74	The housemaid cleaned the window with the chisel .			
painter	paint	picture	napkin	AT	3.1	2.32	The painter painted the picture with the napkin .			
