SUBJECT	VERB	OBJECT	typicality	sentence	computed_score	best_completions	baseline_score
house	absorb	rain	P	The house absorbed the rain .	-3.731158494949341	water_(-2.577491);heat_(-2.6065247);energy_(-3.3718102);rain_(-3.7311585);shock_(-3.9325097);	-17.05097007751465
soil	absorb	rain	N	The soil absorbed the rain .	-3.862579822540283	water_(-2.3737378);toxins_(-3.0370336);salt_(-3.1927953);heat_(-3.2869802);moisture_(-3.3179555);	-17.05097007751465
girl	attach	letter	P	The girl attached the letter .	-3.3547327518463135	video_(-1.6759989);photo_(-1.701359);picture_(-2.377392);following_(-2.6741755);letter_(-3.3547328);	-14.199243545532227
rope	attach	letter	N	The rope attached the letter .	-8.851713180541992	camera_(-3.2334385);car_(-4.3409977);cable_(-4.352598);boat_(-4.420061);device_(-4.597872);	-14.199243545532227
chair	attach	note	P	The chair attached the note .	-8.005249977111816	chair_(-3.7674608);seat_(-4.165681);right_(-4.296998);table_(-4.398408);laptop_(-4.442956);	-14.62236213684082
map	attach	note	N	The map attached the note .	-6.135644912719727	following_(-2.14937);image_(-3.0162446);map_(-3.6819475);text_(-4.0462627);link_(-4.0613117);	-14.62236213684082
girl	bake	beans	P	The girl baked the beans .	-7.2155585289001465	cake_(-0.94930387);cookies_(-1.4569218);bread_(-2.8883488);cakes_(-3.2076542);cookie_(-4.1475043);	-16.98406410217285
wheel	bake	beans	N	The wheel baked the beans .	-6.734140872955322	world_(-2.5072544);earth_(-2.5697124);sun_(-2.8927524);bread_(-3.7716548);egg_(-3.8257396);	-16.98406410217285
baker	bake	cake	P	The baker baked the cake .	-1.323567509651184	cake_(-1.3235675);cookies_(-1.909093);bread_(-2.649003);cakes_(-3.882413);pies_(-4.065297);	-16.782194137573242
giraffe	bake	cake	N	The giraffe baked the cake .	-2.2878530025482178	cake_(-2.287853);egg_(-2.4463615);eggs_(-2.6057966);cookies_(-2.8507538);bread_(-2.97134);	-14.398704528808594
witch	bake	turkey	P	The witch baked the turkey .	-6.2473320960998535	cake_(-1.6806434);bread_(-2.5035882);egg_(-2.7604432);eggs_(-2.9619088);pie_(-3.059504);	-16.330671310424805
rabbit	bake	turkey	N	The rabbit baked the turkey .	-5.784604072570801	egg_(-1.8837636);eggs_(-2.4317906);cake_(-2.8392994);bread_(-2.9491513);cookies_(-3.4614766);	-16.330671310424805
flea	bite	dog	P	The flea bit the dog .	-3.143848180770874	dust_(-0.7282141);dog_(-3.1438482);man_(-3.246761);bullet_(-3.3447263);cat_(-4.348259);	-12.818523406982422
spoon	bite	dog	N	The spoon bit the dog .	-5.672388076782227	ground_(-2.841143);floor_(-3.400759);egg_(-3.6689093);table_(-3.8695776);wall_(-4.076021);	-14.203401565551758
cat	bite	turtle	P	The cat bit the turtle .	-8.227226257324219	dog_(-1.9428562);cat_(-3.2517476);man_(-3.2697415);mouse_(-3.4465108);tail_(-4.1508336);	-17.639570236206055
pebbles	bite	turtle	N	The pebbles bit the turtle .	-8.089990615844727	ground_(-2.9615533);glass_(-3.4655397);pavement_(-3.4844606);grass_(-3.574167);skin_(-3.6478746);	-16.25128173828125
man	breed	cat	P	The man bred the cat .	-5.498963356018066	beast_(-1.4368526);monster_(-3.0355196);animal_(-3.1905336);man_(-3.2526102);dog_(-3.6180658);	-15.633939743041992
fish	breed	cat	N	The fish bred the cat .	-5.313920021057129	fish_(-1.8594028);parasite_(-3.1408627);shark_(-3.5918972);salmon_(-4.072797);parasites_(-4.1249323);	-15.633939743041992
student	breed	cow	P	The student bred the cow .	-4.502189636230469	dog_(-2.2116015);dogs_(-2.6520767);cat_(-2.9681857);puppy_(-3.3925097);puppies_(-3.4531708);	-15.799909591674805
horse	breed	cow	N	The horse bred the cow .	-3.105957508087158	horse_(-1.8069044);dog_(-2.9757202);calf_(-2.9916198);cow_(-3.1059575);bull_(-3.2199218);	-15.799909591674805
chef	breed	dog	P	The chef bred the dog .	-3.1396987438201904	dogs_(-2.3280723);dog_(-3.1396987);cat_(-3.3628318);cats_(-3.3878448);pigs_(-3.449105);	-14.203401565551758
turtle	breed	dog	N	The turtle bred the dog .	-3.9209346771240234	fish_(-2.6496713);turtle_(-3.4467409);calf_(-3.6227891);baby_(-3.6313188);egg_(-3.6956499);	-14.203401565551758
dentist	breed	gorilla	P	The dentist bred the gorilla .	-6.591763973236084	dog_(-3.4020479);dentist_(-3.4826105);cat_(-3.503164);mouse_(-3.6829317);devil_(-3.9037378);	-16.3382625579834
elephant	breed	gorilla	N	The elephant bred the gorilla .	-4.607900142669678	calf_(-2.1038108);elephant_(-2.1626563);buffalo_(-2.841886);bull_(-3.240541);lion_(-3.3684287);	-16.3382625579834
woman	build	frame	P	The woman built the frame .	-5.949551105499268	house_(-3.0955052);bridge_(-3.459103);wall_(-4.0001225);robot_(-4.009438);car_(-4.0706143);	-13.747865676879883
ant	build	frame	N	The ant built the frame .	-7.270380020141602	house_(-2.4100435);bridge_(-3.355539);castle_(-3.6989076);nest_(-3.8539178);city_(-3.952051);	-13.747865676879883
tree	build	house	P	The tree built the house .	-1.0833345651626587	house_(-1.0833346);city_(-2.7521274);world_(-3.3300347);bridge_(-3.3767269);village_(-3.6809258);	-14.955656051635742
dolphin	build	house	N	The dolphin built the house .	-3.2249183654785156	bridge_(-2.6138687);house_(-3.2249184);boat_(-3.3453102);dam_(-3.5365524);whale_(-3.7620316);	-14.955656051635742
girl	build	laptop	P	The girl built the laptop .	-6.519242286682129	robot_(-3.006314);house_(-3.244855);bridge_(-3.4910555);car_(-4.0716486);wall_(-4.409772);	-16.06556510925293
wool	build	laptop	N	The wool built the laptop .	-10.665719985961914	house_(-2.2774217);web_(-3.4464395);wheel_(-3.761522);wool_(-3.8110483);world_(-4.010607);	-16.06556510925293
torch	burn	cloth	P	The torch burned the cloth .	-6.1972503662109375	man_(-3.547455);body_(-4.2838097);earth_(-4.4274826);paper_(-4.6538467);wood_(-4.6884003);	-16.60249137878418
paper	burn	cloth	N	The paper burned the cloth .	-6.351345539093018	ink_(-4.0783315);book_(-4.1719937);paper_(-4.4187894);floor_(-4.5002255);man_(-4.5062985);	-16.60249137878418
sun	burn	ham	P	The sun burned the ham .	-10.827085494995117	earth_(-1.9830071);moon_(-2.8898332);Earth_(-3.3587663);stars_(-3.8829818);world_(-3.9017425);	-19.438642501831055
rabbit	burn	ham	N	The rabbit burned the ham .	-8.330547332763672	cat_(-3.3173294);rabbit_(-3.4822311);mouse_(-3.7767715);house_(-4.0126343);book_(-4.240547);	-19.438642501831055
man	bury	book	P	The man buried the book .	-5.763926982879639	body_(-1.798118);phone_(-3.286155);gun_(-3.323867);money_(-3.8741524);dog_(-4.0318484);	-14.884981155395508
plant	bury	book	N	The plant buried the book .	-6.766629695892334	body_(-1.8775498);bodies_(-3.152761);remains_(-3.544813);corpse_(-3.7914064);man_(-4.2963386);	-14.884981155395508
ship	capsize	boat	P	The ship capsized the boat .	-2.867358922958374	tanker_(-2.587345);boat_(-2.867359);yacht_(-2.967594);vessel_(-3.7073324);submarine_(-3.711559);	-12.647430419921875
bone	capsize	boat	N	The bone capsized the boat .	-8.631525039672852	brain_(-2.7545068);tumor_(-2.926729);eye_(-3.2810037);artery_(-3.594957);wound_(-3.6516283);	-12.647430419921875
woman	capsize	canoe	P	The woman capsized the canoe .	-3.9950852394104004	boat_(-1.4965348);car_(-2.6746812);yacht_(-3.0236878);vehicle_(-3.6372857);canoe_(-3.9950852);	-15.497116088867188
rabbit	capsize	canoe	N	The rabbit capsized the canoe .	-4.052255630493164	boat_(-2.2121794);tank_(-2.9565337);car_(-3.6145613);pool_(-3.809168);ship_(-3.870352);	-15.497116088867188
dentist	capsize	ship	P	The dentist capsized the ship .	-7.4138031005859375	tooth_(-1.7464905);cavity_(-3.8259277);bottle_(-4.024559);problem_(-4.191429);tumor_(-4.3884354);	-13.984554290771484
