SUBJECT	VERB	OBJECT	INSTRUMENT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
gardener	cut	grass	mower	T	6.65	0.65	The gardener cut the grass with the mower .			
waiter	deliver	drink	tray	T	6.8	0.4	The waiter delivered the drink with the tray .	0.02844339609146118	wine_(0.0460075);bill_(0.04145197);champagne_(0.036046155);coffee_(0.035556007);check_(0.03457887);	1.4457217730523553e-05
mechanic	assemble	bicycle	wrench	T	4.9	2.49	The mechanic assembled the bicycle with the wrench .			
carver	build	sculpture	chisel	T	5.85	1.98	The carver built the sculpture with the chisel .			
mechanic	check	tire	compressor	T	6.35	0.79	The mechanic checked the tire with the compressor .			
housemaid	clean	window	cloth	T	6.7	0.56	The housemaid cleaned the window with the cloth .	0.04536210745573044	rag_(0.097742766);soap_(0.094136275);handkerchief_(0.08966643);brush_(0.046443243);cloth_(0.045362107);	8.08385229902342e-05
hairstylist	flip	hair	hairbrush	T	6.65	0.73	The hairstylist flipped the hair with the hairbrush .			
policeman	capture	thief	gun	T	5.95	1.02	The policeman captured the thief with the gun .	0.12754343450069427	gun_(0.12754343);money_(0.086741984);knife_(0.045356125);pistol_(0.02863067);key_(0.025326183);	0.00048338479246012866
painter	paint	picture	brush	T	5.95	2.01	The painter painted the picture with the brush .	0.009066931903362274	child_(0.024294028);sun_(0.024097202);sword_(0.015554398);angels_(0.009530155);brush_(0.009066932);	8.414074841311958e-07
archer	release	arrow	bow	T	6.35	1.8	The archer released the arrow with the bow .	0.39267483353614807	bow_(0.39267483);arrow_(0.10706331);string_(0.03704232);sword_(0.022634447);stick_(0.015470425);	0.0001271768705919385
chemist	mix	substance	centrifuge	T	4.85	1.88	The chemist mixed the substance with the centrifuge .			
botanist	examine	plant	microscope	T	6.5	0.74	The botanist examined the plant with the microscope .			
philologist	examine	book	magnifier	T	6.35	0.96	The philologist examined the book with the magnifier .			
mother	hang	laundry	clothespin	T	6.25	1.41	The mother hung the laundry with the clothespin .			
mason	fix	wall	plaster	T	6.0	1.58	The mason fixed the wall with the plaster .	0.014078808948397636	hammer_(0.11042225);bricks_(0.08134933);mortar_(0.065214776);stone_(0.06318489);stones_(0.057832543);	1.535980914013635e-06
porter	carry	bag	elevator	T	5.0	2.21	The porter carried the bag with the elevator .	0.0003191133728250861	others_(0.15613268);food_(0.038346272);wine_(0.0327036);luggage_(0.026719382);rest_(0.019021397);	2.9723636544076726e-05
policeman	hit	demonstrator	baton	T	5.1	2.12	The policeman hit the demonstrator with the baton .			
cook	mix	ingredient	ladle	T	6.25	1.37	The cook mixed the ingredient with the ladle .			
waiter	open	bottle	corkscrew	T	6.45	1.36	The waiter opened the bottle with the corkscrew .			
fisherman	catch	fish	net	T	6.8	0.4	The fisherman caught the fish with the net .	0.1530752182006836	net_(0.15307522);hook_(0.13696432);spear_(0.072367005);knife_(0.06867716);nets_(0.058187522);	4.859805994783528e-05
gardener	gather	grass	rake	T	6.8	0.4	The gardener gathered the grass with the rake .			
child	cross	park	bicycle	T	6.2	1.03	The child crossed the park with the bicycle .	0.004953304305672646	woman_(0.09051454);man_(0.060448434);others_(0.045124337);dog_(0.03227848);boy_(0.02608159);	1.333256750513101e-05
mason	mix	cement	trowel	T	6.0	1.45	The mason mixed the cement with the trowel .			
pyromaniac	start	fire	gasoline	T	5.75	2.05	The pyromaniac started the fire with the gasoline .	0.058592554181814194	gasoline_(0.058592554);rope_(0.031000618);gun_(0.022942396);gas_(0.017474273);lamp_(0.015352925);	2.032350948866224e-06
milkman	carry	bottle	van	T	6.7	0.56	The milkman carried the bottle with the van .	0.00024718334316276014	others_(0.27407047);rest_(0.037413485);milk_(0.032386027);food_(0.023559514);other_(0.021243831);	0.0011419423390179873
lumberjack	cut	tree	saw	T	6.6	1.32	The lumberjack cut the tree with the saw .	0.02020973153412342	axe_(0.618798);knife_(0.12923408);saw_(0.020209732);axes_(0.015675211);rope_(0.01436015);	8.618504944024608e-05
climber	face	wall	rope	T	6.7	0.64	The climber faced the wall with the rope .	0.010756580159068108	flashlight_(0.16003148);rifle_(0.07791766);torch_(0.06765266);knife_(0.037637506);axe_(0.03298829);	2.675757605175022e-05
soldier	fight	enemy	rifle	T	6.8	0.51	The soldier fought the enemy with the rifle .	0.22986911237239838	sword_(0.30639642);rifle_(0.22986911);knife_(0.09070459);weapon_(0.039987758);axe_(0.03904971);	0.00035352291888557374
cobbler	fix	shoe	glue	T	6.45	0.67	The cobbler fixed the shoe with the glue .			
cyclist	fix	bike	screwdriver	T	5.25	1.41	The cyclist fixed the bike with the screwdriver .			
housemaid	wash	floor	mop	T	6.7	0.64	The housemaid washed the floor with the mop .			
housemaid	clean	dish	sponge	T	6.75	0.54	The housemaid cleaned the dish with the sponge .			
butcher	carve	meat	knife	T	6.35	1.53	The butcher carved the meat with the knife .	0.7917324304580688	knife_(0.79173243);knives_(0.058498763);axe_(0.04271021);sword_(0.014284846);blade_(0.011558881);	9.523682820145041e-05
author	sign	book	pen	T	6.65	0.57	The author signed the book with the pen .	0.002415131311863661	title_(0.08076364);initials_(0.026330633);date_(0.025055846);name_(0.021833263);author_(0.021510037);	2.1959906007396057e-05
confectioner	decorate	cake	spatula	T	6.55	0.67	The confectioner decorated the cake with the spatula .			
hairstylist	fix	hair	hairdryer	T	6.25	1.67	The hairstylist fixed the hair with the hairdryer .			
photographer	capture	image	camera	T	6.9	0.3	The photographer captured the image with the camera .	0.299570232629776	camera_(0.29957023);lens_(0.13046804);mirror_(0.047700677);microphone_(0.039352406);phone_(0.034577314);	8.485731086693704e-05
soldier	cross	river	truck	T	4.65	2.29	The soldier crossed the river with the truck .	0.003814167343080044	others_(0.10055349);woman_(0.034408875);other_(0.032522723);girl_(0.032065872);boat_(0.030422395);	3.569363252609037e-05
hairstylist	wash	hair	shampoo	T	6.55	1.32	The hairstylist washed the hair with the shampoo .			
scoutmaster	assemble	tent	hammer	T	4.95	2.2	The scoutmaster assembled the tent with the hammer .	4.599781095748767e-05	others_(0.098058276);boys_(0.05251986);horses_(0.037306927);supplies_(0.02631369);staff_(0.023021972);	2.5991278107539983e-06
illustrator	draw	picture	pencil	T	6.5	1.36	The illustrator drew the picture with the pencil .	0.19044242799282074	pencil_(0.19044243);pen_(0.1534202);brush_(0.047651034);chalk_(0.030589579);knife_(0.016534843);	5.546649504140078e-07
