SUBJECT	VERB	OBJECT	typicality	sentence	computed_score	best_completions	baseline_score
ac	cool	water	P	The ac cooled the water .	-1.66536545753479	water_(-1.6653655);glass_(-3.1116278);air_(-3.2333567);coffee_(-3.677788);skin_(-3.7443316);	-11.825273513793945
ac	cool	fire	N	The ac cooled the fire .	-5.5717878341674805	water_(-1.6653655);glass_(-3.1116278);air_(-3.2333567);coffee_(-3.677788);skin_(-3.7443316);	-9.429483413696289
air	poison	rabbit	P	The air poisoned the rabbit .	-8.310012817382812	room_(-2.5208395);air_(-3.3190343);windows_(-4.26568);senses_(-4.367724);skin_(-4.4544287);	-14.226879119873047
air	poison	banana	N	The air poisoned the banana .	-11.14246654510498	room_(-2.5208395);air_(-3.3190343);windows_(-4.26568);senses_(-4.367724);skin_(-4.4544287);	-11.169524192810059
ant	build	wall	P	The ant built the wall .	-2.8526082038879395	nest_(-1.6485877);house_(-2.584516);wall_(-2.8526082);structure_(-3.9736857);fire_(-4.0772567);	-12.227970123291016
ant	build	frame	N	The ant built the frame .	-7.727407932281494	nest_(-1.6485877);house_(-2.584516);wall_(-2.8526082);structure_(-3.9736857);fire_(-4.0772567);	-6.424880027770996
ant	heave	sand	P	The ant heaved the sand .	-5.630794525146484	body_(-2.7204247);rock_(-3.270665);stone_(-3.335966);corpse_(-3.6752203);child_(-3.8571863);	-13.335556030273438
ant	heave	pumpkin	N	The ant heaved the pumpkin .			
ant	lift	leaf	P	The ant lifted the leaf .	-5.205887317657471	body_(-3.116072);lid_(-3.2522357);head_(-3.3602567);child_(-3.5943253);corpse_(-3.6966212);	-11.87275505065918
ant	lift	dumbbell	N	The ant lifted the dumbbell .			
ant	seize	pin	P	The ant seized the pin .	-6.53634786605835	child_(-3.614652);boy_(-4.1125364);bait_(-4.1636577);body_(-4.3274302);girl_(-4.335534);	-5.253531455993652
ant	seize	car	N	The ant seized the car .	-6.8793768882751465	child_(-3.614652);boy_(-4.1125364);bait_(-4.1636577);body_(-4.3274302);girl_(-4.335534);	-9.32065200805664
ant	tackle	ant	P	The ant tackled the ant .	-2.877007246017456	ant_(-2.8770072);man_(-2.9822214);bird_(-3.340061);girl_(-3.875666);boy_(-3.8931382);	-8.49675178527832
ant	tackle	rabbit	N	The ant tackled the rabbit .	-5.161522388458252	ant_(-2.8770072);man_(-2.9822214);bird_(-3.340061);girl_(-3.875666);boy_(-3.8931382);	-14.022906303405762
ant	tug	leaf	P	The ant tugged the leaf .	-5.038630962371826	rope_(-2.7509024);string_(-3.3127894);thread_(-3.4534144);trigger_(-3.9376652);cord_(-4.237348);	-11.87275505065918
ant	tug	table	N	The ant tugged the table .	-7.7599568367004395	rope_(-2.7509024);string_(-3.3127894);thread_(-3.4534144);trigger_(-3.9376652);cord_(-4.237348);	-11.925941467285156
arm	fasten	girl	P	The arm fastened the girl .	-6.807779312133789	door_(-2.6972945);belt_(-3.4982426);button_(-3.8009093);bag_(-4.0506763);bolt_(-4.057932);	-10.369489669799805
arm	fasten	house	N	The arm fastened the house .	-8.490467071533203	door_(-2.6972945);belt_(-3.4982426);button_(-3.8009093);bag_(-4.0506763);bolt_(-4.057932);	-10.33023738861084
arm	hold	monkey	P	The arm held the monkey .	-9.511168479919434	gun_(-2.3170838);knife_(-2.5679278);weapon_(-3.7158122);blade_(-3.9172692);key_(-3.947146);	-12.0909423828125
arm	hold	house	N	The arm held the house .	-7.592342853546143	gun_(-2.3170838);knife_(-2.5679278);weapon_(-3.7158122);blade_(-3.9172692);key_(-3.947146);	-10.33023738861084
arm	hook	spatula	P	The arm hooked the spatula .			
arm	hook	house	N	The arm hooked the house .	-8.17890739440918	handle_(-2.6916265);railing_(-3.6129751);door_(-3.71342);wall_(-3.7330275);knob_(-3.8916588);	-10.33023738861084
bag	contain	rabbit	P	The bag contained the rabbit .	-6.758812427520752	key_(-2.8577373);money_(-3.8327005);gun_(-4.0513973);book_(-4.3026366);pills_(-4.4545226);	-14.226879119873047
bag	contain	dolphin	N	The bag contained the dolphin .			
baker	bake	cake	P	The baker baked the cake .	-2.9054512977600098	bread_(-0.70051336);dough_(-2.045319);cakes_(-2.2097793);cake_(-2.9054513);cookies_(-3.7451463);	-11.62639045715332
baker	bake	chair	N	The baker baked the chair .	-11.574372291564941	bread_(-0.70051485);dough_(-2.0453157);cakes_(-2.2097797);cake_(-2.9054499);cookies_(-3.7451458);	-9.985260963439941
balloon	leak	air	P	The balloon leaked the air .	-2.9772610664367676	oil_(-1.4919715);water_(-1.5960354);air_(-2.977261);gas_(-2.9980311);fuel_(-3.101725);	-11.045646667480469
balloon	leak	rabbit	N	The balloon leaked the rabbit .	-12.64964771270752	oil_(-1.4919715);water_(-1.5960354);air_(-2.977261);gas_(-2.9980311);fuel_(-3.101725);	-14.226879119873047
