SUBJECT	VERB	OBJECT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
woman	paint	toenail	T	6.1	1.51	The woman painted the toenail .			
reporter	hold	camera	T	4.5	1.57	The reporter held the camera .	-2.9307568073272705	camera_(-2.9307568);microphone_(-2.9983077);phone_(-3.505113);news_(-3.8739638);press_(-4.0216537);	-11.25601863861084
programmer	use	computer	T	7.0	0.0	The programmer used the computer .	-6.447276592254639	code_(-3.594425);term_(-3.7833517);same_(-3.967098);word_(-4.002193);following_(-4.341991);	-6.444911956787109
mason	mix	cement	T	6.65	0.65	The mason mixed the cement .	-4.690045356750488	two_(-3.6677368);clay_(-4.6269655);water_(-4.640622);ingredients_(-4.6561933);cement_(-4.6900454);	-22.644763946533203
lumberjack	use	saw	T	6.15	1.77	The lumberjack used the saw .	-7.185283660888672	"same_(-3.995251);rope_(-4.0536613);power_(-4.6631203);knife_(-4.8509483);""_(-4.9775352);"	-10.629500389099121
firefighter	fight	fire	T	7.0	0.0	The firefighter fought the fire .	-1.9104962348937988	blaze_(-1.8936429);fire_(-1.9104962);flames_(-3.251103);wind_(-4.3178754);urge_(-4.5000196);	-9.42544174194336
policeman	capture	thief	T	6.8	0.51	The policeman captured the thief .	-9.114975929260254	moment_(-2.079301);incident_(-2.5915384);video_(-3.1046689);shooting_(-3.7680905);attack_(-3.7741404);	-12.620661735534668
knight	hold	sword	T	6.5	0.92	The knight held the sword .	-2.0172882080078125	sword_(-2.0172882);blade_(-4.0516663);reins_(-4.2697906);spear_(-4.34906);key_(-4.413414);	-10.477560997009277
deejay	mix	music	T	6.65	1.11	The deejay mixed the music .	-3.6869890689849854	crowd_(-3.129845);music_(-3.686989);two_(-3.9414446);sound_(-4.1689377);show_(-4.1900787);	-12.358226776123047
librarian	climb	ladder	T	5.1	1.67	The librarian climbed the ladder .	-3.0793936252593994	stairs_(-1.0717337);steps_(-2.4285147);ladder_(-3.0793936);staircase_(-4.001536);tower_(-4.4659142);	-14.358527183532715
photographer	use	camera	T	6.65	1.31	The photographer used the camera .	-3.407532215118408	same_(-3.3442998);camera_(-3.4075322);lens_(-4.0198674);photo_(-4.1011662);image_(-4.655251);	-11.25601863861084
politician	sign	agreement	T	6.35	0.73	The politician signed the agreement .	-3.9407360553741455	bill_(-1.7457821);letter_(-2.5209286);document_(-3.1524289);petition_(-3.1887372);order_(-3.7872937);	-13.538451194763184
magician	read	hand	T	4.4	2.08	The magician read the hand .	-6.453183650970459	script_(-3.3520942);book_(-3.4297311);words_(-3.494245);letter_(-4.047178);spell_(-4.202909);	-10.871404647827148
doctor	use	stethoscope	T	5.85	1.68	The doctor used the stethoscope .			
bartender	shake	drink	T	6.25	1.37	The bartender shook the drink .	-4.014200210571289	glass_(-2.6337984);bottle_(-2.7673128);hand_(-3.2469652);beer_(-3.783075);bartender_(-3.9800813);	-8.949480056762695
dealer	check	car	T	5.9	0.94	The dealer checked the car .	-2.94726300239563	car_(-2.947263);vehicle_(-3.086324);condition_(-4.0529304);engine_(-4.065046);gun_(-4.5321174);	-11.726816177368164
botanist	examine	plant	T	6.55	1.16	The botanist examined the plant .	-3.1165854930877686	plant_(-3.1165855);plants_(-3.5282905);soil_(-4.283692);remains_(-4.3221364);bot_(-4.3904047);	-10.46988582611084
porter	stack	suitcase	T	5.5	2.27	The porter stacked the suitcase .	-7.274662017822266	deck_(-3.576023);shelves_(-3.582119);crates_(-3.9711647);bar_(-4.03603);beer_(-4.1300774);	-21.607810974121094
climber	climb	rock	T	6.8	0.4	The climber climbed the rock .	-5.892697334289551	first_(-3.1578074);highest_(-3.1993036);world_(-3.571931);last_(-4.0113916);mountain_(-4.0879526);	-11.839617729187012
skipper	assemble	sailboat	T	3.8	1.83	The skipper assembled the sailboat .			
driver	hear	horn	T	5.75	1.79	The driver heard the horn .	-4.648041248321533	crash_(-2.7604604);noise_(-3.25322);car_(-3.469544);sound_(-3.7815099);loud_(-3.9537969);	-16.623714447021484
sculptor	carve	stone	T	5.55	1.66	The sculptor carved the stone .	-6.132672309875488	face_(-3.1515474);statue_(-3.5406008);figure_(-3.6193817);figures_(-3.8860598);likeness_(-3.9257476);	-11.630549430847168
