SUBJECT	VERB	OBJECT	typicality	sentence	computed_score	best_completions	baseline_score
ac	cool	water	P	The ac cooled the water .	-2.1901612281799316	water_(-2.1901612);air_(-3.3763185);blood_(-3.4916406);fire_(-3.7055812);engine_(-3.8390994);	-13.92038631439209
ac	cool	fire	N	The ac cooled the fire .	-3.7055811882019043	water_(-2.1901612);air_(-3.3763185);blood_(-3.4916406);fire_(-3.7055812);engine_(-3.8390994);	-13.040234565734863
air	poison	rabbit	P	The air poisoned the rabbit .	-9.124494552612305	air_(-3.0618267);room_(-3.3593626);house_(-3.745634);water_(-3.7996922);fire_(-3.8319077);	-17.39076805114746
air	poison	banana	N	The air poisoned the banana .	-11.068848609924316	air_(-3.0618267);room_(-3.3593626);house_(-3.745634);water_(-3.7996922);fire_(-3.8319077);	-15.746047019958496
ant	build	wall	P	The ant built the wall .	-3.7606492042541504	nest_(-3.4037085);house_(-3.5288992);door_(-3.693551);wall_(-3.7606492);tunnel_(-3.9799201);	-9.673748970031738
ant	build	frame	N	The ant built the frame .	-8.89500617980957	nest_(-3.4037085);house_(-3.5288992);door_(-3.693551);wall_(-3.7606492);tunnel_(-3.9799201);	-13.81961441040039
ant	heave	sand	P	The ant heaved the sand .	-5.390948295593262	rock_(-3.1463168);lid_(-3.5895398);bucket_(-3.993313);air_(-4.015429);stone_(-4.044172);	-16.368167877197266
ant	heave	pumpkin	N	The ant heaved the pumpkin .			
ant	lift	leaf	P	The ant lifted the leaf .	-6.0013957023620605	lid_(-2.4662006);head_(-3.5385406);blade_(-4.057438);spear_(-4.1380897);weapon_(-4.312339);	-18.189794540405273
ant	lift	dumbbell	N	The ant lifted the dumbbell .			
ant	seize	pin	P	The ant seized the pin .	-7.408166408538818	knife_(-3.5999792);weapon_(-4.0884213);sword_(-4.210467);opportunity_(-4.228756);gun_(-4.311653);	-16.210752487182617
ant	seize	car	N	The ant seized the car .	-6.432071685791016	knife_(-3.5999792);weapon_(-4.0884213);sword_(-4.210467);opportunity_(-4.228756);gun_(-4.311653);	-10.86610221862793
ant	tackle	ant	P	The ant tackled the ant .	-5.173543453216553	man_(-3.2344623);creature_(-3.40705);boy_(-3.452352);girl_(-3.52529);animal_(-3.882277);	-20.239940643310547
ant	tackle	rabbit	N	The ant tackled the rabbit .	-5.163957595825195	man_(-3.2344623);creature_(-3.40705);boy_(-3.452352);girl_(-3.52529);animal_(-3.882277);	-15.92467975616455
ant	tug	leaf	P	The ant tugged the leaf .	-6.1486921310424805	trigger_(-2.6084058);string_(-2.8834436);strings_(-3.4371498);rope_(-3.6138456);chain_(-3.858853);	-18.189794540405273
ant	tug	table	N	The ant tugged the table .	-7.670489311218262	trigger_(-2.6084058);string_(-2.8834436);strings_(-3.4371498);rope_(-3.6138456);chain_(-3.858853);	-12.572300910949707
arm	fasten	girl	P	The arm fastened the girl .	-8.381786346435547	belt_(-2.2690258);door_(-2.887743);chain_(-3.3804836);lock_(-3.5210161);handle_(-3.6729012);	-8.59033489227295
arm	fasten	house	N	The arm fastened the house .	-8.965752601623535	belt_(-2.2690258);door_(-2.887743);chain_(-3.3804836);lock_(-3.5210161);handle_(-3.6729012);	-12.618318557739258
arm	hold	monkey	P	The arm held the monkey .	-9.735058784484863	knife_(-2.1522305);gun_(-2.528826);door_(-3.4151814);weapon_(-3.6749375);pistol_(-3.906584);	-18.065763473510742
arm	hold	house	N	The arm held the house .	-8.09244441986084	knife_(-2.1522305);gun_(-2.528826);door_(-3.4151814);weapon_(-3.6749375);pistol_(-3.906584);	-12.618318557739258
arm	hook	spatula	P	The arm hooked the spatula .			
arm	hook	house	N	The arm hooked the house .	-7.837873458862305	door_(-3.096988);handle_(-3.203296);side_(-3.2450488);way_(-3.4046786);wall_(-3.5845416);	-12.618318557739258
bag	contain	rabbit	P	The bag contained the rabbit .	-7.469271659851074	key_(-3.3973181);gun_(-3.5844874);knife_(-3.9172814);keys_(-4.0986238);book_(-4.199931);	-17.39076805114746
bag	contain	dolphin	N	The bag contained the dolphin .			
baker	bake	cake	P	The baker baked the cake .	-3.437427520751953	bread_(-1.5597315);meal_(-2.9534712);food_(-3.1161728);meat_(-3.275899);soup_(-3.3218222);	-13.705692291259766
baker	bake	chair	N	The baker baked the chair .	-9.922308921813965	bread_(-1.5597315);meal_(-2.9534712);food_(-3.1161728);meat_(-3.275899);soup_(-3.3218222);	-18.200119018554688
balloon	leak	air	P	The balloon leaked the air .	-3.2064754962921143	water_(-2.1563294);contents_(-2.7087004);oil_(-2.7175524);air_(-3.2064755);gas_(-3.653722);	-13.207496643066406
balloon	leak	rabbit	N	The balloon leaked the rabbit .	-11.568492889404297	water_(-2.1563294);contents_(-2.7087004);oil_(-2.7175524);air_(-3.2064755);gas_(-3.653722);	-17.39076805114746
barber	pack	laptop	P	The barber packed the laptop .	-8.760286331176758	bags_(-2.1954546);bar_(-3.2073624);plates_(-3.3276787);bag_(-3.4767609);drinks_(-3.5972357);	-17.189512252807617
barber	pack	ship	N	The barber packed the ship .	-8.768848419189453	bags_(-2.1954546);bar_(-3.2073624);plates_(-3.3276787);bag_(-3.4767609);drinks_(-3.5972357);	-13.299738883972168
barrier	halt	person	P	The barrier halted the person .	-7.007794380187988	car_(-3.4111516);man_(-3.8366442);vehicle_(-3.9769065);movement_(-4.050826);attack_(-4.183126);	-9.102657318115234
barrier	halt	house	N	The barrier halted the house .	-7.987852573394775	car_(-3.4111516);man_(-3.8366442);vehicle_(-3.9769065);movement_(-4.050826);attack_(-4.183126);	-12.618318557739258
basket	carry	hat	P	The basket carried the hat .	-7.519352912902832	food_(-2.4046793);fruit_(-4.1684575);baby_(-4.2315016);money_(-4.2738805);child_(-4.444207);	-13.7979154586792
basket	carry	house	N	The basket carried the house .	-7.153743267059326	food_(-2.4046793);fruit_(-4.1684575);baby_(-4.2315016);money_(-4.2738805);child_(-4.444207);	-12.618318557739258
bat	strike	car	P	The bat struck the car .	-6.517645359039307	ground_(-1.3508254);wall_(-2.705226);floor_(-2.7895403);man_(-3.548417);target_(-4.260728);	-10.86610221862793
bat	strike	water	N	The bat struck the water .	-7.23028564453125	ground_(-1.3508254);wall_(-2.705226);floor_(-2.7895403);man_(-3.548417);target_(-4.260728);	-14.246530532836914
beak	scratch	hand	P	The beak scratched the hand .	-6.993386268615723	ground_(-2.1652043);floor_(-2.732362);air_(-3.3721163);wood_(-3.6042035);skin_(-3.768144);	-10.135823249816895
beak	scratch	oil	N	The beak scratched the oil .	-8.81519889831543	ground_(-2.1652043);floor_(-2.732362);air_(-3.3721163);wood_(-3.6042035);skin_(-3.768144);	-14.321488380432129
beak	tap	finger	P	The beak tapped the finger .	-8.33946418762207	air_(-2.6177695);ground_(-2.7907088);floor_(-2.8557513);stone_(-3.0690825);glass_(-3.2287858);	-11.363813400268555
beak	tap	air	N	The beak tapped the air .	-2.617769479751587	air_(-2.6177695);ground_(-2.7907088);floor_(-2.8557513);stone_(-3.0690825);glass_(-3.2287858);	-12.629517555236816
bear	hug	table	P	The bear hugged the table .	-6.140458106994629	girl_(-2.3194852);woman_(-2.7432723);boy_(-3.0198674);tree_(-3.5359674);dog_(-3.6099362);	-12.572300910949707
bear	hug	pin	N	The bear hugged the pin .	-10.405223846435547	girl_(-2.3194852);woman_(-2.7432723);boy_(-3.0198674);tree_(-3.5359674);dog_(-3.6099362);	-16.210752487182617
bear	pet	dolphin	P	The bear petted the dolphin .			
bear	pet	water	N	The bear petted the water .	-7.702394008636475	dog_(-1.6881626);cat_(-2.803851);animal_(-2.9224002);bird_(-3.2933643);boy_(-3.5817268);	-13.92038631439209
bear	smash	glass	P	The bear smashed the glass .	-2.4539690017700195	door_(-2.0851698);glass_(-2.453969);window_(-2.7382097);table_(-3.8329744);wall_(-4.0782433);	-17.778484344482422
