SUBJECT	VERB	OBJECT	typicality	LC_sim	AC_sim	computed_score
ac	cool	water	P	0.422062684113898		0.422062684113898
ac	cool	fire	N	0.36809811842906603		0.36809811842906603
air	poison	rabbit	P	0.4157296026391033	0.5038795469379188	0.9196091495770221
air	poison	banana	N	0.3708368575521518	0.4763947048197639	0.8472315623719158
ant	build	wall	P	0.45779729577333345	0.5177881002796448	0.9755853960529783
ant	build	frame	N	0.47729588894740743	0.4845660007188649	0.9618618896662723
ant	heave	sand	P	0.4946045165248459	0.5578798568856153	1.0524843734104612
ant	heave	pumpkin	N	0.38143037896796994	0.5232220453770016	0.9046524243449715
ant	lift	leaf	P	0.5067828314517848	0.6109338306603922	1.117716662112177
ant	lift	dumbbell	N	0.46248838307889006	0.3926111955526884	0.8550995786315785
ant	seize	pin	P	0.4837976337944861	0.4636991066396993	0.9474967404341854
ant	seize	car	N	0.42821151353636866	0.5616999191654878	0.9899114327018564
ant	tackle	ant	P	0.7979460507523778	0.7409500051743246	1.5388960559267024
ant	tackle	rabbit	N	0.40977803091125936	0.5433324952413675	0.9531105261526269
ant	tug	leaf	P	0.4357984836456515	0.6109338306603922	1.0467323143060436
ant	tug	table	N	0.3387569598960301	0.46253092200089324	0.8012878818969233
arm	fasten	girl	P	0.3784946020798848	0.5960919659063066	0.9745865679861914
arm	fasten	house	N	0.3999778972193191	0.61438188094617	1.0143597781654892
arm	hold	monkey	P	0.35572037126733813	0.5510407850576079	0.906761156324946
arm	hold	house	N	0.41919113656868123	0.61438188094617	1.0335730175148512
arm	hook	spatula	P	0.35786745332744063	0.43335938452174005	0.7912268378491807
arm	hook	house	N	0.41996852179722405	0.61438188094617	1.034350402743394
bag	contain	rabbit	P	0.38982559479323625	0.5311477948471969	0.9209733896404331
bag	contain	dolphin	N	0.2872386786278598	0.4975873537280816	0.7848260323559414
baker	bake	cake	P	0.6258274095364723	0.894253879858944	1.5200812893954163
baker	bake	chair	N	0.28230495902898656	0.36593766101392805	0.6482426200429146
balloon	leak	air	P	0.5321644972665653	0.4864109752868091	1.0185754725533744
balloon	leak	rabbit	N	0.43509645069001845	0.4770370758543034	0.9121335265443218
barber	pack	laptop	P	0.39458981982510744		0.39458981982510744
barber	pack	ship	N	0.4773734401256912		0.4773734401256912
barrier	halt	person	P	0.3170520271554045	0.6129869178020898	0.9300389449574943
barrier	halt	house	N	0.3789503249818263	0.5900268453193638	0.96897717030119
basket	carry	hat	P	0.435110045404605	0.47277049090248147	0.9078805363070865
basket	carry	house	N	0.4316006973106145	0.4757333880343679	0.9073340853449824
bat	strike	car	P	0.42138506886165294	0.5293429268498978	0.9507279957115508
bat	strike	water	N	0.38947360835262346	0.5602245229490378	0.9496981313016613
beak	scratch	hand	P	0.5186133053597461	0.3847324296682052	0.9033457350279513
beak	scratch	oil	N	0.3252342819375585	0.46850844458714525	0.7937427265247037
beak	tap	finger	P	0.5393413033843725	0.4545548297752708	0.9938961331596432
beak	tap	air	N	0.43662079293324046	0.48796922740408194	0.9245900203373224
bear	hug	table	P	0.3475176447123991	0.5375475928548145	0.8850652375672136
bear	hug	pin	N	0.4695443973803375	0.487356034023704	0.9569004314040415
bear	pet	dolphin	P	0.5204289457039626	0.5328892458821974	1.05331819158616
