SUBJECT	VERB	OBJECT	RECIPIENT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
volunteer	bring	food	refugee	T	5.5	1.53	The volunteer brought the food to the refugee .	2.0982670321245678e-06	table_(0.29117128);kitchen_(0.0476805);house_(0.017926339);room_(0.017437734);group_(0.01710602);	1.0318055299052276e-09
spy	pass	information	government	T	6.1	0.77	The spy passed the information to the government .	0.0009372207568958402	guard_(0.03532411);others_(0.03230906);guards_(0.029972611);man_(0.025499506);king_(0.023053464);	3.902043772541219e-06
dealer	sell	car	manager	T	4.55	1.63	The dealer sold the car to the manager .	0.0006658228230662644	police_(0.0823664);FBI_(0.042987812);company_(0.039866347);government_(0.030373408);city_(0.028953971);	7.132098858164682e-07
parent	give	present	child	T	6.7	0.46	The parent gave the present to the child .	0.5396139025688171	child_(0.5396139);children_(0.04646941);mother_(0.03959964);family_(0.028081795);daughter_(0.021722749);	5.281152334646322e-05
child	tell	lie	parent	T	6.0	0.84	The child told the lie to the parent .	0.0018199407495558262	mother_(0.06521886);man_(0.04600599);woman_(0.042571884);boy_(0.03945694);child_(0.037738834);	7.3817112422602804e-09
child	lend	pen	deskmate	T	5.45	1.66	The child lent the pen to the deskmate .			
usurer	lend	money	gambler	T	4.75	1.92	The usurer lent the money to the gambler .			
scientist	report	finding	community	T	5.8	1.29	The scientist reported the finding to the community .	0.01622753217816353	police_(0.10802313);public_(0.06997336);authorities_(0.046921115);world_(0.024220759);court_(0.02328135);	2.7981943730992498e-06
vandal	spray	paint	statue	T	6.05	0.86	The vandal sprayed the paint to the statue .	0.00019992289890069515	ground_(0.2262281);floor_(0.183665);wall_(0.054678172);pavement_(0.05326556);ceiling_(0.028623436);	4.414931424889801e-07
priest	teach	bible	believer	T	6.6	0.58	The priest taught the bible to the believer .			
policeman	put	criminal	jail	T	6.15	1.28	The policeman put the criminal to the jail .	0.0008787366095930338	ground_(0.31781027);test_(0.105037846);grave_(0.061390154);bed_(0.041914184);hospital_(0.030605588);	2.524347619825562e-09
waiter	bring	glass	customer	T	6.6	0.49	The waiter brought the glass to the customer .	0.00015248633280862123	table_(0.8025939);bar_(0.01792359);sink_(0.017171795);counter_(0.015577261);tray_(0.014811654);	3.7141759889891546e-07
president	give	speech	journalist	T	5.45	1.2	The president gave the speech to the journalist .	3.148058021906763e-05	crowd_(0.37344208);audience_(0.09519544);people_(0.045698542);nation_(0.045407087);world_(0.02326495);	1.020024456011015e-06
salesperson	send	questionnaire	customer	T	5.45	1.28	The salesperson sent the questionnaire to the customer .	0.1501213014125824	customer_(0.1501213);buyer_(0.032252427);clerk_(0.031906147);customers_(0.024725704);manager_(0.022538058);	6.011009645590093e-07
employer	offer	job	unemployed	T	6.55	0.59	The employer offered the job to the unemployed .	0.0021308891009539366	employee_(0.027438035);student_(0.021446027);family_(0.020946203);manager_(0.01843185);owner_(0.018135918);	6.365748816961059e-08
employee	pass	report	boss	T	6.7	0.46	The employee passed the report to the boss .	0.008050036616623402	clerk_(0.049641404);manager_(0.039237425);secretary_(0.03528667);supervisor_(0.034939382);officer_(0.01858211);	5.945723273725889e-07
teacher	lend	book	student	T	5.95	1.47	The teacher lent the book to the student .	0.05401533097028732	students_(0.10978952);children_(0.096676536);student_(0.05401533);child_(0.03714048);school_(0.031461976);	1.5580937997583533e-06
pusher	sell	drug	addict	T	4.65	2.61	The pusher sold the drug to the addict .			
priest	promise	salvation	believer	T	5.9	1.76	The priest promised the salvation to the believer .			
