SUBJECT	VERB	OBJECT	typicality	sentence	computed_score	best_completions	baseline_score
ac	cool	water	P	The ac cooled the water .	-5.171116352081299	room_(-3.3330274);air_(-4.3115964);engine_(-4.547848);car_(-4.8474317);machine_(-5.005635);	-10.135640144348145
ac	cool	fire	N	The ac cooled the fire .	-6.457760334014893	room_(-3.3330274);air_(-4.3115964);engine_(-4.547848);car_(-4.8474317);machine_(-5.005635);	-9.42544174194336
air	poison	rabbit	P	The air poisoned the rabbit .	-10.909134864807129	room_(-2.1482475);air_(-2.5468223);streets_(-2.9224021);city_(-4.246079);house_(-4.261658);	-20.82135581970215
air	poison	banana	N	The air poisoned the banana .	-11.638566017150879	room_(-2.1482475);air_(-2.5468223);streets_(-2.9224021);city_(-4.246079);house_(-4.261658);	-11.975492477416992
ant	build	wall	P	The ant built the wall .	-4.535484313964844	first_(-3.6104891);world_(-3.6902468);ant_(-3.8879244);bridge_(-4.459404);wall_(-4.5354843);	-17.92261505126953
ant	build	frame	N	The ant built the frame .	-7.902900695800781	first_(-3.6104891);world_(-3.6902468);ant_(-3.8879244);bridge_(-4.459404);wall_(-4.5354843);	-17.568113327026367
ant	heave	sand	P	The ant heaved the sand .	-6.747653484344482	heavy_(-3.647785);last_(-3.7704809);metal_(-4.4082675);weight_(-4.6232715);air_(-4.6918674);	-13.854564666748047
ant	heave	pumpkin	N	The ant heaved the pumpkin .	-9.428455352783203	heavy_(-3.647785);last_(-3.7704809);metal_(-4.4082675);weight_(-4.6232715);air_(-4.6918674);	-12.0299654006958
ant	lift	leaf	P	The ant lifted the leaf .	-6.583966255187988	lid_(-2.9749727);door_(-4.6215334);hood_(-4.8819246);heavy_(-4.9744997);roof_(-5.0315676);	-11.64400863647461
ant	lift	dumbbell	N	The ant lifted the dumbbell .			
ant	seize	pin	P	The ant seized the pin .	-8.732636451721191	man_(-4.6194773);first_(-4.864106);victim_(-5.030877);car_(-5.03502);body_(-5.096444);	-9.424660682678223
ant	seize	car	N	The ant seized the car .	-5.035019874572754	man_(-4.6194773);first_(-4.864106);victim_(-5.030877);car_(-5.03502);body_(-5.096444);	-11.726816177368164
ant	tackle	ant	P	The ant tackled the ant .	-5.208388805389404	man_(-4.0406337);dog_(-4.6813507);elephant_(-4.6823883);beast_(-4.7623744);animal_(-4.9972);	-10.344440460205078
ant	tackle	rabbit	N	The ant tackled the rabbit .	-5.3715362548828125	man_(-4.0406337);dog_(-4.6813507);elephant_(-4.6823883);beast_(-4.7623744);animal_(-4.9972);	-20.82135581970215
ant	tug	leaf	P	The ant tugged the leaf .	-7.178905487060547	boat_(-3.9871025);air_(-4.5283623);rope_(-4.6171684);ship_(-4.717144);water_(-4.9174767);	-11.774815559387207
ant	tug	table	N	The ant tugged the table .	-8.467235565185547	boat_(-3.9871025);air_(-4.5283623);rope_(-4.6171684);ship_(-4.717144);water_(-4.9174767);	-13.161869049072266
arm	fasten	girl	P	The arm fastened the girl .	-5.312996864318848	door_(-3.3547142);man_(-4.3824167);gun_(-4.646386);rope_(-4.659112);two_(-4.6978693);	-10.339034080505371
arm	fasten	house	N	The arm fastened the house .	-7.67745304107666	door_(-3.3547142);man_(-4.3824167);gun_(-4.646386);rope_(-4.659112);two_(-4.6978693);	-13.508946418762207
arm	hold	monkey	P	The arm held the monkey .	-9.239418029785156	sword_(-3.7984233);gun_(-3.939117);weapon_(-4.1118083);knife_(-4.2009807);blade_(-4.325912);	-19.087749481201172
arm	hold	house	N	The arm held the house .	-8.740287780761719	sword_(-3.7984233);gun_(-3.939117);weapon_(-4.1118083);knife_(-4.2009807);blade_(-4.325912);	-13.212278366088867
arm	hook	spatula	P	The arm hooked the spatula .			
arm	hook	house	N	The arm hooked the house .	-7.490840435028076	gun_(-3.8792603);arm_(-3.9244263);back_(-4.48064);door_(-4.5927534);camera_(-4.8464994);	-13.212278366088867
bag	contain	rabbit	P	The bag contained the rabbit .	-9.902884483337402	body_(-3.3836281);remains_(-3.3910744);contents_(-3.7266612);following_(-4.0325236);two_(-4.7356486);	-20.82135581970215
bag	contain	dolphin	N	The bag contained the dolphin .	-11.047324180603027	body_(-3.3836281);remains_(-3.3910744);contents_(-3.7266612);following_(-4.0325236);two_(-4.7356486);	-22.945463180541992
baker	bake	cake	P	The baker baked the cake .	-1.7852786779403687	cake_(-1.7852787);cookies_(-2.7275622);cakes_(-2.9304967);bread_(-3.2539523);pies_(-3.5388644);	-19.470396041870117
baker	bake	chair	N	The baker baked the chair .	-11.744964599609375	cake_(-1.7852787);cookies_(-2.7275622);cakes_(-2.9304967);bread_(-3.2539523);pies_(-3.5388644);	-12.661497116088867
balloon	leak	air	P	The balloon leaked the air .	-4.483793258666992	contents_(-2.9161966);first_(-3.1279275);same_(-3.372091);second_(-3.4038599);next_(-3.96652);	-11.240942001342773
balloon	leak	rabbit	N	The balloon leaked the rabbit .	-11.801572799682617	contents_(-2.9161966);first_(-3.1279275);same_(-3.372091);second_(-3.4038599);next_(-3.96652);	-20.82135581970215
barber	pack	laptop	P	The barber packed the laptop .	-8.592705726623535	hair_(-2.7711496);bar_(-3.5420313);last_(-3.6716242);rest_(-4.188119);room_(-4.510911);	-15.735559463500977
