SUBJECT	VERB	OBJECT	TIME	typicality	LM	mean_rat	std_rat
cyclist	complete	race	tour	T	during	5.35	2.01
spectator	enjoy	game	championship	T	during	5.9	1.73
refugee	find	shelter	bombing	T	during	5.15	2.2
demonstrator	carry	flag	demonstration	T	during	5.95	1.28
soldier	check	rifle	drill	T	during	5.6	1.83
roofer	climb	ladder	repair	T	during	6.3	1.19
child	climb	tree	game	T	during	5.35	1.62
hound	fetch	bird	hunting	T	during	5.7	1.76
scoutmaster	assemble	tent	excursion	T	during	6.2	1.54
president	deliver	speech	election	T	after	6.2	1.81
waiter	deliver	drink	party	T	during	6.15	1.65
policeman	capture	thief	chase	T	during	6.1	0.94
mother	hang	laundry	morning	T	during	5.55	1.36
bodybuilder	lift	weight	workout	T	during	6.55	1.32
player	enjoy	game	tournament	T	during	6.35	0.79
child	cut	paper	lesson	T	during	3.8	2.44
veterinarian	examine	dog	surgery	T	before	6.4	1.2
surfer	flip	board	summer	T	during	6.25	1.18
footballer	deliver	kick	match	T	during	6.5	1.36
coach	check	team	match	T	before	6.2	0.87
mother	decorate	house	christmas	T	before	6.3	1.05
soldier	carry	rifle	march	T	during	6.0	1.34
programmer	describe	software	meeting	T	during	5.9	1.3
mason	fix	roof	hurricane	T	after	5.4	1.74
climber	face	wall	training	T	during	6.15	1.42
student	complete	project	exam	T	before	5.6	1.28
athlete	celebrate	victory	competition	T	after	6.8	0.4
guest	hang	coat	party	T	during	5.8	1.25
professor	deliver	lecture	conference	T	during	5.7	1.65
priest	celebrate	marriage	mass	T	during	4.85	1.98
player	gather	balls	training	T	after	5.75	1.18
footballer	chase	ball	match	T	during	6.1	1.58
candidate	celebrate	victory	poll	T	after	5.8	1.21
speaker	entertain	audience	conference	T	during	5.95	1.53
thief	grab	money	robbery	T	during	6.85	0.36
undertaker	dig	grave	funeral	T	before	3.8	2.75
soldier	cross	river	invasion	T	during	5.35	1.68
musician	hold	guitar	concert	T	during	6.15	1.68
waiter	carry	tray	lunch	T	during	6.0	1.41
artist	hang	picture	exhibition	T	during	6.1	1.45
policeman	examine	car	search	T	during	6.65	0.48
soldier	fight	enemy	battle	T	during	6.5	1.36
goalkeeper	catch	ball	match	T	during	6.3	1.31
policeman	hit	demonstrator	demonstration	T	during	4.65	1.88
musician	entertain	crowd	concert	T	during	6.8	0.4
dealer	check	car	purchase	T	before	6.2	1.25
burglar	climb	wall	robbery	T	during	5.9	1.45
cat	chase	bird	hunting	T	during	6.05	1.6
housemaid	clean	dish	dinner	T	after	6.75	0.43
skipper	assemble	sailboat	departure	T	before	5.3	1.62
policeman	check	bag	control	T	during	6.55	1.02
librarian	climb	ladder	inventory	T	during	5.45	1.56
botanist	examine	plant	research	T	during	6.25	0.99
student	drink	beer	night	T	during	4.85	1.59
cyclist	fix	bike	training	T	after	6.15	0.85
model	face	camera	service	T	during	5.0	2.02
horse	draw	carriage	wedding	T	during	3.6	2.01
skier	gain	speed	competition	T	during	6.45	1.4
soldier	celebrate	victory	battle	T	after	6.7	0.46
doctor	help	woman	childbirth	T	during	6.25	1.79
singer	begin	performance	concert	T	during	6.1	1.67
photographer	capture	image	service	T	during	5.55	1.5
milkman	carry	bottle	morning	T	during	6.45	1.12
spectator	buy	ticket	exhibition	T	before	5.85	1.46
child	build	snowman	winter	T	during	6.35	1.46
photographer	examine	camera	service	T	before	5.9	1.45
truck	hit	car	accident	T	during	5.9	0.94
dog	fetch	ball	game	T	during	6.15	1.15
hiker	face	mountain	excursion	T	during	6.5	0.97
waiter	cut	cake	birthday	T	during	5.0	2.47
student	hear	lecture	course	T	during	6.0	1.3
speleologist	examine	cave	excursion	T	during	6.15	1.49
passenger	buy	ticket	departure	T	before	6.1	1.45
mechanic	check	tire	race	T	before	6.8	0.51
traveller	check	watch	departure	T	before	6.5	0.97
cheerleader	carry	flag	match	T	before	5.9	1.73
boxer	deliver	punch	fight	T	during	6.75	0.89
guide	describe	monument	tour	T	during	6.5	1.12
mechanic	assemble	bicycle	race	T	before	3.5	2.44
soldier	dig	trench	assault	T	before	5.75	2.0
soldier	hear	command	mission	T	during	6.55	0.67
mother	push	stroller	walk	T	during	6.45	0.67
child	open	present	birthday	T	during	6.65	1.31
mason	fix	wall	earthquake	T	after	6.1	1.41
cameraman	record	video	documentary	T	during	6.85	0.36
swimmer	wear	goggles	competition	T	during	6.75	0.54
businessman	tie	necktie	meeting	T	before	6.25	0.77
fighter	kick	opponent	match	T	during	6.2	0.87
traveller	check	bag	departure	T	before	6.7	0.56
soldier	gather	ammunition	battle	T	before	6.65	0.48
