SUBJECT	VERB	OBJECT	typicality	sentence	computed_score	best_completions	baseline_score
house	absorb	rain	P	The house absorbed the rain .	-6.413557052612305	world_(-2.9883082);rest_(-3.5893672);city_(-3.776666);landscape_(-3.989339);family_(-4.2604814);	-16.31743621826172
soil	absorb	rain	N	The soil absorbed the rain .	-4.459089279174805	light_(-2.4143403);sunlight_(-2.4902575);heat_(-2.595401);sun_(-2.813331);energy_(-3.3348858);	-16.31743621826172
girl	attach	letter	P	The girl attached the letter .	-5.657822132110596	necklace_(-3.3893976);rope_(-3.43332);bow_(-3.645687);knife_(-3.8027897);chain_(-3.8977365);	-12.052099227905273
rope	attach	letter	N	The rope attached the letter .	-7.24306583404541	door_(-2.821003);rope_(-4.1513214);body_(-4.407638);boat_(-4.445871);wheel_(-4.4893255);	-12.052099227905273
chair	attach	note	P	The chair attached the note .	-8.177203178405762	door_(-1.9756037);bed_(-2.958391);desk_(-3.5357623);table_(-3.6536872);chair_(-4.047748);	-16.019004821777344
map	attach	note	N	The map attached the note .	-4.941239833831787	map_(-3.230689);door_(-3.4649162);letter_(-4.744894);lid_(-4.7620654);top_(-4.817994);	-16.019004821777344
girl	bake	beans	P	The girl baked the beans .	-3.8970727920532227	bread_(-1.9369642);cake_(-2.0004933);pie_(-2.4668562);cookies_(-2.8843184);food_(-3.8819067);	-17.37679100036621
wheel	bake	beans	N	The wheel baked the beans .	-5.389392375946045	earth_(-3.7502596);world_(-3.803623);floor_(-4.3062363);bread_(-4.3303485);grass_(-4.336799);	-17.37679100036621
baker	bake	cake	P	The baker baked the cake .	-3.437427520751953	bread_(-1.5597315);meal_(-2.9534712);food_(-3.1161728);meat_(-3.275899);soup_(-3.3218222);	-13.705692291259766
giraffe	bake	cake	N	The giraffe baked the cake .	-2.711135149002075	meal_(-2.6484406);cake_(-2.7111351);bread_(-2.7995894);toast_(-3.2953646);pie_(-3.3429682);	-14.190496444702148
witch	bake	turkey	P	The witch baked the turkey .	-6.229334354400635	cake_(-2.0475042);cookies_(-2.51177);bread_(-2.7349832);pie_(-2.9519143);cakes_(-3.8190494);	-19.582618713378906
rabbit	bake	turkey	N	The rabbit baked the turkey .	-5.901375770568848	cake_(-2.3550544);bread_(-2.4069695);pie_(-3.1496558);beans_(-3.2961354);meal_(-3.4397597);	-19.582618713378906
flea	bite	dog	P	The flea bit the dog .	-5.278867244720459	ground_(-3.2448876);air_(-3.4204266);floor_(-3.7749884);wall_(-3.9629662);tongue_(-4.240379);	-14.809309959411621
